dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,1,3,1,1,1,0,0,0,1,1,36,78,3
2015-07-01,2,2,1,2,1,0,0,0,1,0,6,35,2
2015-08-01,1,1,0,1,0,0,0,0,25,1,48,32,6
2015-09-01,2,25,0,2,0,0,0,0,29,46,81,48,8
2015-10-01,1,18,0,1,0,0,0,0,38,31,168,33,5
2015-11-01,1,9,1,1,1,0,0,0,7,7,75,30,6
2015-12-01,1,7,0,1,0,2,0,2,13,16,51,22,6
2016-01-01,7,67,5,5,3,9,0,9,52,34,185,33,13
2016-02-01,6,502,3,2,0,4,2,2,220,225,532,35,7
2016-03-01,5,353,2,3,0,3,0,3,179,173,445,17,11
2016-04-01,5,167,1,3,1,1,0,1,59,48,179,29,12
2016-05-01,5,65,2,4,2,2,0,2,37,32,278,28,10
2016-06-01,3,60,1,2,0,2,0,2,37,46,293,22,10
2016-07-01,2,6,1,2,0,1,0,0,29,4,164,15,8
2016-08-01,4,46,2,2,0,1,1,0,56,53,296,25,7
2016-09-01,3,7,0,2,0,1,0,0,60,7,103,22,3
2016-10-01,6,109,2,2,0,1,0,2,73,91,280,21,3
2016-11-01,3,62,0,1,0,0,0,0,27,74,108,13,2
2016-12-01,3,10,0,2,0,0,0,0,13,15,61,13,3
2017-01-01,3,49,1,3,0,4,4,1,44,58,258,50,10
2017-02-01,2,45,0,2,0,2,0,2,78,37,192,20,7
2017-03-01,5,61,1,3,0,0,0,0,75,99,305,18,3
2017-04-01,2,5,0,2,0,0,0,0,14,3,18,11,3
2017-05-01,4,25,1,4,1,1,0,1,23,38,178,21,6
2017-06-01,2,30,0,2,0,3,0,3,25,13,66,22,5
2017-07-01,2,30,0,2,0,0,0,0,49,32,175,17,6
2017-08-01,1,22,0,1,0,0,0,0,34,30,121,16,4
2017-09-01,2,35,0,2,0,3,0,3,59,37,201,25,8
2017-10-01,1,2,0,1,0,0,0,0,20,10,118,17,8
2017-11-01,5,29,1,2,0,2,0,2,26,23,71,17,4
2017-12-01,3,50,0,1,0,0,0,0,45,54,85,51,2
2018-01-01,4,108,1,3,1,0,0,0,60,52,73,24,4
2018-02-01,5,128,1,3,1,4,0,4,89,95,227,21,6
2018-03-01,10,190,5,5,3,2,0,2,112,109,220,19,4
2018-04-01,5,131,1,4,1,0,0,0,62,72,109,30,4
2018-05-01,4,126,0,3,0,3,0,3,92,89,127,24,5
2018-06-01,2,42,0,2,0,0,0,0,38,33,68,11,1
2018-07-01,3,108,0,2,0,0,0,0,85,79,118,24,8
2018-08-01,3,74,0,1,0,0,0,0,51,49,39,14,5
2018-09-01,3,69,0,2,0,0,0,0,46,47,30,18,2
2018-10-01,6,169,2,3,0,0,0,0,97,110,72,17,2
2018-11-01,2,45,0,1,0,3,0,3,55,41,83,14,4
2018-12-01,2,43,0,1,0,0,0,0,34,34,89,22,0
2019-01-01,4,69,0,2,0,0,0,0,45,46,50,29,7
2019-02-01,4,144,1,2,0,0,0,0,105,97,57,22,7
2019-03-01,3,315,0,1,0,0,0,0,93,106,37,35,4
2019-04-01,3,162,0,1,0,1,0,1,60,58,46,28,7
2019-05-01,3,114,0,1,0,1,0,1,63,68,87,22,6
2019-06-01,3,63,0,1,0,0,0,0,51,53,51,19,9
2019-07-01,4,43,1,2,0,0,0,0,54,42,90,20,6
2019-08-01,4,232,1,1,0,0,0,0,255,204,231,32,5
2019-09-01,4,239,1,2,1,0,0,0,235,219,215,34,9
2019-10-01,5,120,1,3,1,0,0,0,80,112,122,15,9
2019-11-01,6,324,1,2,0,0,0,0,313,277,364,25,5
2019-12-01,5,178,0,2,0,1,0,1,166,188,195,23,2
2020-01-01,4,37,1,3,1,0,0,0,33,41,31,22,3
2020-02-01,2,90,0,1,0,0,0,0,146,128,218,22,6
2020-03-01,4,41,0,3,0,0,0,0,46,51,154,27,6
2020-04-01,4,26,0,3,0,0,0,0,19,26,90,35,6
2020-05-01,5,56,1,3,1,0,0,0,42,67,154,27,9
2020-06-01,3,49,0,2,0,0,0,0,26,30,43,28,6
2020-07-01,4,26,1,3,0,0,0,0,30,26,96,19,5
2020-08-01,2,22,0,2,0,1,0,1,17,16,73,14,5
