dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-03-01,9,346,9,3,3,2,0,2,19,13,256,845,55
2016-04-01,17,192,13,11,8,21,9,11,183,165,1527,786,123
2016-05-01,8,136,3,4,1,5,1,5,175,145,1727,219,65
2016-06-01,14,204,7,7,2,14,5,6,192,145,1620,149,82
2016-07-01,16,181,9,7,4,10,2,6,291,259,2568,181,86
2016-08-01,18,107,12,5,1,11,3,8,272,306,2606,161,94
2016-09-01,17,83,8,5,2,11,4,5,218,187,1927,155,71
2016-10-01,12,107,2,4,2,9,6,4,203,143,1581,170,70
2016-11-01,16,220,9,9,5,17,6,10,209,260,2100,190,110
2016-12-01,11,96,2,4,0,7,2,3,171,175,1660,163,93
2017-01-01,11,75,3,6,1,8,1,2,211,113,1845,148,89
2017-02-01,9,54,3,4,2,7,4,3,215,200,1986,161,79
2017-03-01,10,27,4,3,0,9,2,1,163,181,1392,164,83
2017-04-01,9,59,3,3,0,12,2,5,137,206,1451,143,84
2017-05-01,23,86,14,7,3,28,17,26,192,210,1875,151,89
2017-06-01,11,30,4,4,0,19,5,6,204,181,2034,105,58
2017-07-01,13,28,7,5,2,13,2,11,161,127,1505,99,59
2017-08-01,6,13,0,3,0,13,3,4,174,164,1661,94,39
2017-09-01,8,13,5,2,0,11,0,7,142,109,1084,86,58
2017-10-01,13,21,9,5,1,14,5,12,148,183,1658,101,38
2017-11-01,9,17,1,5,1,13,5,14,162,111,1117,92,40
2017-12-01,4,5,1,2,0,8,1,3,120,93,1140,81,28
2018-01-01,11,12,4,7,2,9,0,10,152,123,1327,101,50
2018-02-01,7,10,3,3,0,11,2,8,117,100,906,121,42
2018-03-01,6,16,3,3,0,8,0,8,157,125,1347,92,38
2018-04-01,8,12,3,3,0,15,2,9,142,122,1364,95,35
2018-05-01,12,23,7,4,0,21,2,16,137,111,965,81,43
2018-06-01,20,25,9,6,3,20,2,24,129,268,1997,73,42
2018-07-01,3,7,0,2,0,8,0,2,105,128,1211,72,49
2018-08-01,6,15,2,3,0,14,2,12,105,103,905,61,38
2018-09-01,4,12,0,3,0,8,4,4,58,64,365,52,22
2018-10-01,9,12,5,4,0,10,1,5,47,236,1443,56,25
2018-11-01,0,0,0,0,0,0,2,0,56,51,159,43,16
2018-12-01,0,0,0,0,0,0,25,0,30,53,167,43,8
2019-01-01,0,0,0,0,0,1,1,0,32,19,119,37,6
2019-02-01,4,6,1,2,0,3,5,3,27,26,162,33,6
2019-03-01,0,0,0,0,0,0,0,0,14,12,120,56,16
2019-04-01,4,6,3,3,1,2,0,3,42,26,133,52,16
2019-05-01,9,25,4,5,1,7,1,7,25,22,150,56,14
2019-06-01,2,2,1,2,0,2,0,2,32,16,154,20,10
2019-07-01,1,1,1,1,0,5,1,1,36,21,208,27,6
2019-08-01,0,0,0,0,0,0,0,0,90,20,221,24,9
2019-09-01,4,5,1,2,0,3,0,5,52,105,301,22,11
2019-10-01,2,2,1,1,0,2,0,2,28,23,156,35,4
2019-11-01,2,2,1,1,0,2,1,2,16,17,134,31,9
2019-12-01,3,6,2,3,0,9,1,6,21,25,110,38,10
2020-01-01,7,8,2,2,0,8,0,8,28,27,81,30,14
2020-02-01,6,9,4,2,0,8,0,9,34,33,138,47,12
2020-03-01,7,8,1,2,0,9,0,8,26,23,77,59,12
2020-04-01,7,33,1,3,0,7,0,9,32,29,123,53,14
2020-05-01,6,10,3,2,0,9,0,9,34,31,140,82,16
2020-06-01,3,5,2,3,1,7,1,5,71,72,270,54,17
2020-07-01,5,10,0,4,0,10,0,10,21,37,128,58,15
2020-08-01,4,8,2,2,0,5,1,5,36,39,95,38,9
