dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,2,21,2,2,2,2,0,1,7,4,62,126,4
2016-03-01,2,138,1,2,1,4,1,1,6,4,19,25,3
2016-04-01,1,141,0,1,0,0,0,0,0,0,0,17,0
2016-05-01,1,236,0,1,0,0,0,1,2,2,13,21,2
2016-06-01,2,91,0,2,0,1,0,0,4,1,67,13,1
2016-07-01,3,181,1,2,0,4,0,1,7,3,88,44,2
2016-08-01,1,219,0,1,0,0,4,0,2,6,15,17,0
2016-09-01,2,142,0,2,0,1,0,0,2,0,12,11,3
2016-10-01,1,188,0,1,0,0,0,1,1,1,10,29,0
2016-11-01,1,175,0,1,0,1,0,0,4,0,55,9,0
2016-12-01,1,312,0,1,0,0,1,0,1,3,16,9,1
2017-01-01,2,291,0,2,0,1,0,0,4,3,57,18,1
2017-02-01,1,252,0,1,0,1,2,0,1,2,3,23,3
2017-03-01,1,253,0,1,0,0,0,0,2,2,11,16,0
2017-04-01,2,235,1,2,1,1,0,1,4,5,34,18,0
2017-05-01,1,150,0,1,0,0,0,0,1,0,2,12,1
2017-06-01,1,489,0,1,0,0,0,0,1,1,2,8,0
2017-07-01,1,77,0,1,0,0,0,0,1,0,5,13,1
2017-08-01,1,47,0,1,0,0,2,0,3,5,19,13,2
2017-09-01,2,48,0,2,0,1,0,0,6,3,43,247,14
2017-10-01,2,12,0,2,0,1,1,0,4,2,57,25,1
2017-11-01,2,2,2,2,0,3,0,0,11,0,96,11,3
2017-12-01,0,0,0,0,0,0,0,0,2,1,4,23,0
2018-01-01,1,1,0,1,0,0,0,0,4,1,13,15,0
2018-02-01,0,0,0,0,0,0,0,0,4,0,21,20,0
2018-03-01,0,0,0,0,0,0,0,0,3,0,15,20,2
2018-04-01,0,0,0,0,0,1,0,0,2,0,13,7,1
2018-05-01,1,6,0,1,0,1,4,0,4,7,40,21,0
2018-06-01,0,0,0,0,0,1,0,0,6,0,18,24,2
2018-07-01,1,1,1,1,1,2,1,0,4,2,27,21,1
2018-08-01,1,4,0,1,0,1,0,0,4,1,8,30,0
2018-09-01,2,3,1,1,0,0,0,0,7,0,20,18,1
2018-10-01,0,0,0,0,0,0,0,0,3,0,2,19,0
2018-11-01,2,129,1,2,0,1,3,0,16,25,139,29,3
2018-12-01,2,36,0,2,0,2,0,0,10,1,41,36,4
2019-01-01,0,0,0,0,0,0,0,0,2,1,10,28,2
2019-02-01,0,0,0,0,0,0,1,0,1,2,9,21,1
2019-03-01,0,0,0,0,0,0,0,0,2,1,5,27,1
2019-04-01,1,47,0,1,0,0,0,0,3,3,30,25,2
2019-05-01,2,9,1,2,0,1,4,0,6,9,94,36,3
2019-06-01,1,38,0,1,0,0,0,0,4,3,92,27,5
2019-07-01,0,0,0,0,0,0,0,0,1,1,8,22,0
2019-08-01,2,111,1,2,1,9,10,0,15,16,153,23,1
2019-09-01,2,3,1,2,1,9,0,0,18,3,82,27,5
2019-10-01,2,55,0,2,0,1,1,2,8,10,69,36,5
2019-11-01,1,45,0,1,0,0,4,0,11,11,105,31,4
2019-12-01,1,4,0,1,0,0,0,0,4,2,13,27,0
2020-01-01,2,26,1,2,0,1,2,0,2,3,17,38,1
2020-02-01,2,92,1,2,0,1,3,0,14,17,133,120,10
2020-03-01,1,70,0,1,0,0,0,0,14,7,81,33,2
2020-04-01,3,9,1,3,1,2,1,0,9,11,100,36,2
2020-05-01,1,67,0,1,0,0,1,0,8,8,64,36,0
2020-06-01,1,63,0,1,0,1,0,0,8,4,95,44,4
2020-07-01,1,2,0,1,0,2,2,0,5,4,65,28,3
2020-08-01,1,6,0,1,0,0,0,0,11,6,38,46,4
