dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-08-01,1,10,1,1,1,0,0,0,1,0,9,1,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,1,23,0,1,0,0,0,0,1,2,13,1,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2016-03-01,2,10,1,2,1,1,0,0,3,2,20,4,1
2016-04-01,3,66,1,2,0,6,0,7,12,11,135,5,2
2016-05-01,2,5,0,1,0,1,0,1,3,1,24,4,1
2016-06-01,2,16,1,2,0,1,0,0,13,5,56,4,1
2016-07-01,3,12,2,2,0,3,1,0,10,5,59,6,2
2016-08-01,3,21,2,3,2,5,0,6,18,13,101,13,4
2016-09-01,1,1,1,1,0,1,0,0,4,0,11,12,2
2016-10-01,3,8,1,3,1,0,0,2,3,7,22,4,3
2016-11-01,2,8,0,2,0,0,0,0,6,13,42,9,4
2016-12-01,3,14,1,3,1,1,0,1,12,5,62,18,5
2017-01-01,4,65,2,3,0,4,1,2,12,17,149,18,6
2017-02-01,8,97,4,6,2,14,4,8,30,29,157,29,7
2017-03-01,11,150,4,6,1,23,5,20,39,39,193,36,7
2017-04-01,8,37,4,6,2,8,1,7,22,20,145,26,6
2017-05-01,2,11,1,2,1,2,1,2,11,9,83,18,3
2017-06-01,2,4,1,2,1,2,1,0,14,7,54,22,5
2017-07-01,7,97,3,4,1,25,1,22,47,50,276,37,6
2017-08-01,8,53,2,5,1,18,1,13,44,35,263,38,3
2017-09-01,9,53,6,7,3,11,0,17,45,59,291,46,8
2017-10-01,5,24,2,2,0,4,1,2,28,15,65,35,8
2017-11-01,4,28,2,2,0,1,0,3,20,23,134,39,6
2017-12-01,3,13,1,1,0,0,0,0,26,17,183,53,7
2018-01-01,2,9,0,1,0,0,0,0,21,13,74,53,4
2018-02-01,2,6,1,2,1,1,0,1,12,9,138,37,10
2018-03-01,5,19,4,4,2,4,1,3,21,24,125,50,11
2018-04-01,2,8,0,1,0,1,0,0,25,7,109,62,4
2018-05-01,2,8,1,2,1,2,1,1,12,18,111,70,5
2018-06-01,4,10,3,3,1,5,1,0,18,8,73,43,11
2018-07-01,5,40,4,5,3,3,1,5,31,41,249,71,4
2018-08-01,4,44,2,4,2,3,1,2,33,41,227,50,9
2018-09-01,10,68,6,7,3,13,3,8,53,45,369,72,15
2018-10-01,9,37,5,6,1,11,2,4,41,20,145,93,8
2018-11-01,5,28,3,3,0,5,1,9,26,32,137,64,13
2018-12-01,4,11,2,4,1,3,0,2,23,18,94,84,6
2019-01-01,9,94,7,4,1,17,2,15,51,48,384,101,10
2019-02-01,10,53,4,8,4,6,3,3,37,33,255,90,10
2019-03-01,10,58,7,5,3,7,0,4,42,19,217,98,16
2019-04-01,5,38,3,4,0,5,2,5,29,35,250,96,16
2019-05-01,4,25,2,4,0,5,0,5,31,17,139,99,20
2019-06-01,6,40,2,6,1,3,2,2,24,19,124,83,15
2019-07-01,6,56,2,5,0,7,5,4,43,56,488,104,13
2019-08-01,8,30,6,8,4,4,0,0,35,21,167,100,18
2019-09-01,1,13,0,1,0,0,0,4,19,16,108,80,9
2019-10-01,7,22,6,5,1,7,0,6,23,12,63,188,16
2019-11-01,5,16,3,4,1,3,0,5,22,20,100,86,10
2019-12-01,7,62,5,5,3,6,0,2,25,28,210,144,14
2020-01-01,9,87,5,5,0,13,0,12,51,32,179,151,15
2020-02-01,15,95,10,8,3,15,1,15,65,64,435,128,21
2020-03-01,9,34,2,7,2,8,1,5,46,32,215,145,19
2020-04-01,12,115,6,8,3,17,2,15,57,69,335,192,29
2020-05-01,13,145,6,8,2,23,3,25,116,110,657,164,38
2020-06-01,5,33,1,5,0,8,4,5,57,54,427,128,16
2020-07-01,3,19,1,2,0,2,1,0,37,21,176,100,14
2020-08-01,8,28,6,5,2,11,0,10,44,28,195,106,25
