dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,1,1,1,1,1,0,0,0,1,0,4,0,0
2016-08-01,3,8,3,2,1,2,0,2,12,3,15,0,0
2016-09-01,3,42,3,3,2,1,0,1,1,1,0,0,0
2016-10-01,16,154,10,6,2,63,5,52,117,72,211,15,10
2016-11-01,18,182,5,7,2,82,5,70,153,122,374,11,8
2016-12-01,13,143,3,5,1,78,9,71,144,126,378,23,7
2017-01-01,10,52,2,4,1,25,5,20,47,37,177,13,7
2017-02-01,14,116,3,5,1,49,6,49,79,84,319,8,5
2017-03-01,15,110,1,6,1,49,7,39,97,73,256,7,8
2017-04-01,15,75,3,6,2,39,3,37,83,74,388,20,7
2017-05-01,14,85,3,7,2,51,10,37,89,96,465,15,6
2017-06-01,16,84,4,6,0,44,8,35,61,55,238,9,9
2017-07-01,21,128,6,7,1,67,8,56,96,92,460,16,7
2017-08-01,23,102,8,8,4,52,5,44,88,84,465,32,15
2017-09-01,25,105,10,7,2,57,11,44,88,84,578,33,9
2017-10-01,32,177,12,12,6,100,16,78,133,115,536,32,16
2017-11-01,27,185,2,6,1,95,10,81,140,122,596,37,8
2017-12-01,24,141,5,8,2,80,15,69,139,139,471,28,13
2018-01-01,19,78,2,9,1,47,12,37,84,74,464,44,14
2018-02-01,14,48,2,7,1,24,6,25,58,65,367,23,8
2018-03-01,21,140,6,10,2,79,19,64,118,133,420,47,14
2018-04-01,14,128,4,7,1,66,8,60,119,127,440,39,10
2018-05-01,11,52,2,6,1,30,4,25,69,67,350,42,7
2018-06-01,15,44,4,10,1,22,1,22,42,40,213,31,8
2018-07-01,8,15,0,5,0,8,2,7,31,17,115,27,6
2018-08-01,14,89,0,7,0,45,5,42,72,83,246,49,6
2018-09-01,15,62,3,7,0,29,4,27,54,63,368,61,17
2018-10-01,19,93,6,11,4,37,6,31,50,54,311,40,7
2018-11-01,14,86,3,7,1,35,0,38,55,93,301,50,7
2018-12-01,12,39,3,8,3,22,1,16,38,34,239,57,10
2019-01-01,15,52,2,6,1,25,3,21,42,51,287,51,10
2019-02-01,15,78,4,6,0,38,8,26,56,46,212,42,11
2019-03-01,15,104,6,5,0,40,7,40,61,69,393,53,12
2019-04-01,19,97,7,6,2,46,3,39,69,74,394,74,15
2019-05-01,20,93,3,4,0,38,1,35,57,49,274,74,12
2019-06-01,21,69,4,6,1,42,9,33,53,60,298,40,6
2019-07-01,13,69,4,4,1,39,4,41,69,64,406,54,16
2019-08-01,14,68,4,8,4,40,0,39,65,58,318,68,9
2019-09-01,19,76,4,7,2,49,3,40,63,59,282,41,16
2019-10-01,19,68,6,9,4,41,7,39,76,77,484,51,10
2019-11-01,12,35,3,7,2,21,1,16,46,59,341,74,15
2019-12-01,19,69,6,10,5,66,22,35,83,73,398,69,21
2020-01-01,18,134,4,6,0,68,9,66,111,124,392,52,10
2020-02-01,14,72,2,5,1,56,21,40,86,86,274,46,7
2020-03-01,13,77,1,4,0,51,5,36,111,93,392,50,18
2020-04-01,20,80,4,5,0,50,6,39,91,75,373,52,16
2020-05-01,18,48,3,5,0,41,5,34,115,115,354,78,16
2020-06-01,25,109,2,7,1,51,7,54,115,122,353,69,16
2020-07-01,22,54,5,4,1,42,5,32,117,80,353,75,21
2020-08-01,22,69,6,5,1,45,8,47,111,156,337,74,15
