dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,3,140,2,2,1,6,1,5,15,10,142,90,4
2015-06-01,3,83,1,2,1,7,2,5,13,15,170,23,1
2015-07-01,2,18,1,2,1,2,0,2,2,2,8,15,2
2015-08-01,1,13,0,1,0,0,0,0,0,0,0,289,8
2015-09-01,1,37,0,1,0,2,0,2,3,4,26,101,4
2015-10-01,2,64,1,1,0,2,0,2,5,6,34,24,0
2015-11-01,1,23,0,1,0,2,0,0,5,3,54,147,6
2015-12-01,2,59,1,2,1,5,1,6,16,13,110,58,2
2016-01-01,1,42,0,1,0,4,0,3,8,6,23,83,5
2016-02-01,2,48,0,2,0,6,1,6,10,10,91,36,2
2016-03-01,1,60,0,1,0,4,0,4,8,8,40,36,3
2016-04-01,2,33,1,2,1,4,1,2,5,4,17,33,4
2016-05-01,1,4,0,1,0,1,0,1,2,3,19,26,6
2016-06-01,1,10,0,1,0,0,0,1,2,4,41,43,2
2016-07-01,1,4,0,1,0,2,0,2,5,4,43,38,3
2016-08-01,1,4,0,1,0,1,0,1,3,3,35,47,4
2016-09-01,1,4,0,1,0,1,0,1,7,6,71,50,3
2016-10-01,1,1,0,1,0,1,0,0,4,3,40,31,0
2016-11-01,1,22,0,1,0,3,0,4,8,7,95,26,5
2016-12-01,1,29,0,1,0,4,1,3,17,17,209,36,3
2017-01-01,1,27,0,1,0,3,0,3,8,8,68,51,9
2017-02-01,1,16,0,1,0,3,0,3,15,15,115,205,23
2017-03-01,1,8,0,1,0,1,0,1,7,8,87,70,7
2017-04-01,2,8,1,2,1,3,1,2,8,9,98,153,7
2017-05-01,1,2,0,1,0,3,0,1,6,5,96,47,10
2017-06-01,2,4,0,2,0,1,0,2,4,6,31,70,4
2017-07-01,1,2,0,1,0,0,0,1,1,2,12,64,4
2017-08-01,2,4,1,1,0,1,0,1,1,1,6,55,9
2017-09-01,0,0,0,0,0,0,0,0,3,2,21,60,6
2017-10-01,1,1,0,1,0,0,0,0,2,2,46,112,15
2017-11-01,3,6,2,2,1,2,0,2,5,4,34,69,3
2017-12-01,0,0,0,0,0,0,0,0,1,1,8,57,7
2018-01-01,0,0,0,0,0,1,0,0,4,2,13,63,9
2018-02-01,1,2,1,1,0,2,1,2,2,3,15,62,3
2018-03-01,2,10,0,2,0,1,0,1,4,4,24,59,4
2018-04-01,1,6,0,1,0,0,0,0,11,8,90,91,9
2018-05-01,2,3,1,1,0,2,0,1,5,4,53,57,4
2018-06-01,2,6,0,1,0,0,0,1,1,6,33,38,4
2018-07-01,2,3,1,2,1,1,0,1,3,4,23,101,9
2018-08-01,0,0,0,0,0,0,0,0,2,0,14,68,4
2018-09-01,3,15,0,3,0,2,0,2,5,11,103,52,6
2018-10-01,3,14,2,2,0,4,0,4,11,8,75,103,11
2018-11-01,1,10,0,1,0,0,0,0,4,4,36,145,8
2018-12-01,1,17,0,1,0,4,0,4,10,10,44,73,6
2019-01-01,1,5,0,1,0,4,0,2,5,2,5,47,8
2019-02-01,1,3,0,1,0,0,2,0,4,7,45,61,5
2019-03-01,3,13,1,3,1,5,0,4,7,6,55,78,6
2019-04-01,1,8,0,1,0,1,0,1,4,4,53,73,14
2019-05-01,1,7,0,1,0,2,0,1,5,6,42,71,9
2019-06-01,2,15,0,2,0,0,0,0,3,3,18,62,5
2019-07-01,1,5,0,1,0,0,0,0,0,0,0,61,6
2019-08-01,2,5,1,2,1,2,0,2,6,5,25,64,13
2019-09-01,3,5,2,2,1,2,0,2,5,5,16,60,8
2019-10-01,1,13,0,1,0,0,0,0,6,4,18,62,7
2019-11-01,1,13,0,1,0,9,1,6,16,15,76,74,7
2019-12-01,2,16,1,1,0,4,2,5,9,14,68,59,8
2020-01-01,2,14,1,2,1,3,0,3,10,9,51,66,4
2020-02-01,1,5,0,1,0,0,0,0,8,6,44,60,4
2020-03-01,2,13,1,1,0,4,1,3,6,4,13,70,5
2020-04-01,1,4,0,1,0,0,0,0,4,3,32,82,8
2020-05-01,2,21,1,1,0,7,1,6,14,15,86,96,7
2020-06-01,1,8,0,1,0,0,0,0,0,0,0,73,5
2020-07-01,1,20,0,1,0,3,1,3,7,9,72,77,5
2020-08-01,1,8,0,1,0,1,0,1,8,4,34,82,8
