dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,33,296,33,6,6,151,10,132,331,217,1956,140,21
2016-03-01,35,403,5,8,3,170,12,163,372,422,2066,904,101
2016-04-01,32,332,6,7,3,171,9,159,213,227,1652,122,19
2016-05-01,35,249,8,7,2,164,21,138,238,205,2418,70,18
2016-06-01,31,251,3,5,1,134,5,120,217,183,2223,79,29
2016-07-01,28,277,2,4,2,142,10,136,384,268,2750,127,24
2016-08-01,30,182,3,4,0,108,13,91,288,245,2589,92,21
2016-09-01,37,225,8,6,2,139,8,127,381,366,2970,71,24
2016-10-01,39,169,7,8,1,114,4,108,278,234,2083,66,17
2016-11-01,32,151,2,4,0,117,9,103,266,224,1794,138,22
2016-12-01,36,177,4,6,2,162,10,140,365,342,2876,127,27
2017-01-01,32,204,1,4,0,161,12,157,391,369,3605,86,13
2017-02-01,33,140,4,5,1,107,5,101,296,244,2462,89,22
2017-03-01,35,152,5,5,1,130,14,116,394,367,2953,75,21
2017-04-01,30,225,2,4,0,108,10,103,311,349,2043,286,16
2017-05-01,28,176,3,4,1,88,5,86,281,224,1844,67,14
2017-06-01,47,176,21,5,0,74,16,57,257,194,1929,51,15
2017-07-01,36,248,4,5,0,92,10,97,346,504,3093,48,20
2017-08-01,36,221,5,5,1,87,5,78,251,242,1693,38,14
2017-09-01,41,307,7,8,4,139,8,123,404,351,2496,58,7
2017-10-01,48,411,7,10,1,146,13,148,604,546,3120,70,23
2017-11-01,43,336,5,7,2,57,2,57,552,482,2574,55,16
2017-12-01,36,221,2,5,1,89,2,82,440,418,1873,71,10
2018-01-01,37,224,2,7,0,212,7,198,443,471,2386,50,10
2018-02-01,36,212,2,5,0,179,9,175,411,393,2045,50,15
2018-03-01,33,119,2,6,0,117,5,107,341,310,2080,84,19
2018-04-01,32,97,3,6,0,97,9,87,273,254,1735,66,15
2018-05-01,33,131,4,5,1,102,4,94,323,260,1861,91,16
2018-06-01,31,116,3,5,0,98,1,88,333,293,2122,59,22
2018-07-01,37,157,3,5,0,114,14,110,373,315,2063,59,27
2018-08-01,35,200,4,6,0,140,11,120,417,328,1914,63,16
2018-09-01,30,200,0,5,0,148,11,131,392,444,2572,60,7
2018-10-01,35,222,1,4,0,163,12,158,382,360,2321,55,14
2018-11-01,40,133,5,7,1,112,5,107,292,245,2229,92,23
2018-12-01,22,111,3,5,1,89,7,81,231,230,1879,73,14
2019-01-01,27,116,1,6,0,79,9,71,252,189,1938,66,15
2019-02-01,23,85,2,5,0,74,8,67,234,177,1825,62,17
2019-03-01,32,119,8,8,1,80,3,75,232,193,2003,70,26
2019-04-01,24,96,1,8,1,79,9,64,252,191,1731,102,22
2019-05-01,24,56,2,4,0,62,7,55,217,140,1669,48,11
2019-06-01,21,47,1,5,1,43,3,37,200,127,1421,36,16
2019-07-01,22,79,3,4,0,76,26,63,378,374,4229,69,10
2019-08-01,18,70,0,3,0,71,13,58,307,375,3831,43,16
2019-09-01,26,73,4,3,0,69,5,65,321,657,4805,55,16
2019-10-01,21,67,0,3,0,64,5,64,333,336,4030,75,11
2019-11-01,19,49,1,4,1,57,9,47,315,265,3026,50,7
2019-12-01,18,50,1,4,0,56,10,46,218,199,2409,70,20
2020-01-01,23,63,2,5,0,79,12,60,311,344,2966,40,16
2020-02-01,21,77,0,2,0,72,11,70,292,300,3323,47,12
2020-03-01,23,76,1,2,0,73,9,64,312,368,3183,45,16
2020-04-01,17,50,1,2,0,50,5,46,314,281,2348,58,8
2020-05-01,18,42,2,3,0,41,3,38,231,287,2274,45,17
2020-06-01,13,35,0,2,0,30,6,32,244,174,1492,56,13
2020-07-01,16,45,0,2,0,39,1,34,255,280,1959,56,15
2020-08-01,17,34,1,4,1,33,5,30,210,229,1307,48,15
