dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,14,137,13,8,7,35,0,35,37,37,136,322,17
2015-11-01,8,94,2,7,1,25,1,23,33,30,147,252,12
2015-12-01,7,73,2,5,1,20,0,21,25,28,105,62,6
2016-01-01,6,111,1,4,0,18,1,16,31,28,161,192,14
2016-02-01,7,79,0,5,0,12,0,13,18,20,95,106,6
2016-03-01,8,201,2,5,0,34,1,33,51,47,337,156,13
2016-04-01,9,30,2,6,1,7,1,6,22,20,192,125,11
2016-05-01,10,38,5,5,1,12,0,11,26,27,198,116,10
2016-06-01,5,46,0,3,0,9,0,8,30,24,329,132,5
2016-07-01,3,6,0,3,0,1,0,1,17,11,105,81,6
2016-08-01,3,12,1,2,0,4,2,3,21,17,161,82,15
2016-09-01,3,22,2,2,1,4,0,3,17,18,115,86,8
2016-10-01,2,8,1,2,0,2,0,2,15,13,117,87,14
2016-11-01,0,0,0,0,0,0,0,0,5,1,20,109,12
2016-12-01,1,2,1,1,1,7,3,2,12,8,33,85,7
2017-01-01,1,2,0,1,0,2,0,2,20,9,84,110,7
2017-02-01,5,14,2,3,0,7,2,9,25,44,272,121,10
2017-03-01,2,12,0,1,0,5,0,5,20,27,170,140,14
2017-04-01,1,1,0,1,0,1,0,0,8,7,61,70,7
2017-05-01,2,8,1,1,0,8,0,6,19,16,125,101,5
2017-06-01,4,13,2,2,0,9,1,9,31,32,237,91,10
2017-07-01,3,6,2,2,0,2,0,4,7,9,63,72,5
2017-08-01,1,1,0,1,0,1,0,0,10,10,80,70,9
2017-09-01,5,8,2,3,0,5,0,6,17,25,215,99,14
2017-10-01,3,5,1,2,0,2,0,1,12,12,69,81,12
2017-11-01,5,12,2,4,1,5,1,5,9,10,51,71,15
2017-12-01,3,9,0,1,0,4,0,4,11,9,67,46,15
2018-01-01,0,0,0,0,0,1,0,0,6,4,40,45,11
2018-02-01,0,0,0,0,0,0,1,0,3,1,13,27,4
2018-03-01,2,4,2,2,0,4,0,4,7,9,24,48,5
2018-04-01,1,1,0,1,0,1,0,1,4,3,12,36,3
2018-05-01,0,0,0,0,0,0,0,0,1,4,31,33,5
2018-06-01,1,1,1,1,0,1,0,1,3,2,2,42,3
2018-07-01,1,2,0,1,0,2,0,2,7,5,20,27,7
2018-08-01,3,3,2,3,0,3,0,3,7,10,41,33,7
2018-09-01,1,1,0,1,0,2,0,1,3,2,11,34,4
2018-10-01,3,3,3,2,0,2,1,2,8,10,63,31,9
2018-11-01,1,1,0,1,0,1,0,1,5,4,31,35,8
2018-12-01,0,0,0,0,0,0,0,0,4,3,16,33,7
2019-01-01,0,0,0,0,0,0,0,0,5,5,51,28,4
2019-02-01,0,0,0,0,0,0,0,0,2,1,5,20,1
2019-03-01,0,0,0,0,0,0,0,0,8,3,29,18,4
2019-04-01,0,0,0,0,0,0,0,0,1,6,24,30,5
2019-05-01,0,0,0,0,0,0,0,0,3,2,21,29,2
2019-06-01,2,2,1,2,0,1,0,1,5,3,32,34,11
2019-07-01,2,2,1,1,0,4,0,2,7,6,44,28,5
2019-08-01,4,13,3,3,0,13,0,13,17,16,29,32,7
2019-09-01,0,0,0,0,0,0,0,0,4,0,15,26,3
2019-10-01,1,1,1,1,0,2,0,1,7,3,33,25,8
2019-11-01,0,0,0,0,0,1,0,0,10,1,36,28,2
2019-12-01,3,6,1,2,0,6,0,6,9,7,7,30,4
2020-01-01,1,2,0,1,0,2,0,2,10,5,38,15,0
2020-02-01,2,2,0,2,0,2,0,2,4,6,44,15,1
2020-03-01,1,3,0,1,0,3,4,3,4,28,51,22,0
2020-04-01,3,3,2,3,1,3,0,3,6,4,13,22,3
2020-05-01,0,0,0,0,0,0,0,0,3,0,11,13,1
2020-06-01,1,5,0,1,0,5,1,4,7,8,13,17,2
2020-07-01,1,1,0,1,0,2,0,1,5,6,37,12,4
2020-08-01,3,9,0,2,0,9,1,9,11,14,10,17,4
