dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-01-01,7,50,7,6,6,28,18,8,50,30,338,312,19
2016-02-01,7,18,3,3,0,26,12,14,73,47,641,313,29
2016-03-01,18,73,12,7,2,83,44,36,127,118,944,578,50
2016-04-01,11,62,4,6,1,66,7,55,131,115,1037,379,45
2016-05-01,19,77,9,7,1,89,18,70,209,193,1656,567,92
2016-06-01,18,47,7,7,1,73,19,47,204,183,1735,427,75
2016-07-01,15,49,5,6,2,60,8,48,144,116,1195,417,69
2016-08-01,12,59,3,7,2,65,10,54,206,159,1660,453,102
2016-09-01,19,67,10,9,3,94,24,67,247,182,1820,630,110
2016-10-01,23,85,18,8,5,116,19,85,268,246,2155,610,131
2016-11-01,26,134,13,10,4,189,42,133,378,390,3136,569,126
2016-12-01,24,173,9,6,2,214,29,170,446,390,3618,536,127
2017-01-01,28,137,18,6,2,158,28,128,391,360,3258,468,112
2017-02-01,25,142,12,10,4,167,20,139,464,385,3380,470,107
2017-03-01,28,159,11,8,2,174,34,157,524,445,3509,506,128
2017-04-01,26,144,13,10,5,168,20,144,474,496,4011,496,147
2017-05-01,19,149,11,5,2,212,31,149,562,453,3994,480,124
2017-06-01,22,196,10,7,4,225,22,195,550,531,4179,476,121
2017-07-01,27,264,13,4,0,312,47,264,724,656,5799,533,113
2017-08-01,21,187,11,6,3,245,42,187,596,515,4251,543,131
2017-09-01,20,214,9,5,1,261,36,214,681,641,5198,449,130
2017-10-01,22,183,7,4,1,259,36,182,715,603,5766,513,130
2017-11-01,23,173,11,5,1,182,31,173,576,611,5009,511,108
2017-12-01,24,130,11,5,2,177,20,130,436,345,2898,426,114
2018-01-01,32,243,16,9,6,208,49,243,543,695,4597,420,126
2018-02-01,24,152,8,9,4,175,9,152,480,395,3257,361,116
2018-03-01,15,153,3,3,0,190,19,153,448,409,3039,410,119
2018-04-01,23,172,9,5,1,197,19,171,433,397,2616,423,110
2018-05-01,37,172,21,8,2,193,15,169,525,425,3563,426,117
2018-06-01,25,121,13,8,4,131,11,121,396,360,2823,403,113
2018-07-01,18,141,8,6,1,188,15,141,463,376,2744,352,96
2018-08-01,20,225,10,5,1,226,17,225,468,453,2899,348,117
2018-09-01,23,163,13,6,3,213,8,163,437,333,2480,318,91
2018-10-01,22,207,10,6,2,234,24,206,530,474,3482,448,124
2018-11-01,18,172,10,5,3,178,15,170,420,389,2321,303,105
2018-12-01,10,125,3,4,0,172,12,125,351,256,1591,270,91
2019-01-01,25,131,13,9,3,148,26,131,357,280,1577,300,109
2019-02-01,24,100,12,7,1,117,9,90,297,234,1340,271,97
2019-03-01,19,105,8,6,2,142,8,102,325,222,1441,262,90
2019-04-01,18,84,8,7,1,114,17,84,260,184,1180,252,89
2019-05-01,15,94,8,7,4,102,9,87,241,209,1226,301,82
2019-06-01,24,91,13,5,0,86,27,86,240,230,1553,228,66
2019-07-01,14,72,4,3,0,107,18,64,244,168,1281,193,107
2019-08-01,26,129,12,5,0,138,8,131,270,221,1232,237,84
2019-09-01,24,155,7,5,2,162,15,141,304,232,1289,138,80
2019-10-01,19,158,3,6,2,167,7,158,314,256,1377,204,78
2019-11-01,17,138,9,4,0,169,6,138,292,222,1203,199,76
2019-12-01,24,107,11,5,0,114,7,96,229,164,1024,130,70
2020-01-01,21,149,10,4,1,139,10,141,276,242,1207,141,74
2020-02-01,18,114,4,4,0,129,13,89,306,202,1454,176,58
2020-03-01,22,105,9,4,0,131,42,100,295,250,1356,147,82
2020-04-01,22,112,9,7,2,99,14,104,250,252,1160,216,89
2020-05-01,15,104,3,6,0,131,13,97,281,592,3098,174,80
2020-06-01,26,190,10,8,3,169,16,146,314,294,1553,180,79
2020-07-01,28,170,11,6,1,177,18,160,339,364,1885,179,72
2020-08-01,26,147,10,7,1,156,14,145,305,335,1128,156,55
