dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,12,132,11,6,5,31,3,21,63,41,153,251,19
2016-01-01,7,45,4,5,3,23,5,20,31,34,130,36,7
2016-02-01,6,63,4,4,2,21,6,19,26,35,148,31,8
2016-03-01,12,119,8,5,2,51,3,41,61,53,247,25,13
2016-04-01,15,81,7,7,2,35,3,35,48,52,266,57,17
2016-05-01,11,34,5,7,2,17,0,18,23,25,161,24,9
2016-06-01,7,23,4,4,3,24,5,16,28,25,162,25,7
2016-07-01,3,15,0,3,0,10,2,9,12,12,61,17,4
2016-08-01,9,13,5,6,2,11,3,10,18,20,185,22,8
2016-09-01,5,42,1,3,0,9,1,9,11,14,87,10,6
2016-10-01,1,11,0,1,0,14,2,12,17,16,102,11,2
2016-11-01,2,23,0,2,0,15,3,10,20,17,86,5,5
2016-12-01,21,120,11,11,4,27,7,16,47,26,339,526,40
2017-01-01,21,135,10,10,4,55,7,55,77,78,567,80,16
2017-02-01,19,173,5,11,1,82,10,69,102,95,720,31,15
2017-03-01,22,151,7,13,3,68,8,57,93,84,607,64,21
2017-04-01,26,135,10,13,1,70,11,59,110,91,865,117,29
2017-05-01,24,211,4,12,0,106,9,90,153,141,1287,53,24
2017-06-01,21,273,2,12,1,132,20,116,181,179,1380,46,13
2017-07-01,23,260,7,16,5,109,10,100,146,148,1168,65,18
2017-08-01,20,284,4,12,1,128,12,116,186,182,1601,66,11
2017-09-01,21,182,7,14,3,85,5,80,124,120,1153,85,20
2017-10-01,25,210,4,15,2,93,9,81,127,122,1091,90,15
2017-11-01,19,215,4,10,0,103,13,85,136,125,1175,89,19
2017-12-01,20,151,4,12,1,75,5,67,111,133,1058,196,25
2018-01-01,26,164,4,11,0,69,6,65,130,135,1333,93,17
2018-02-01,27,126,6,15,4,59,9,54,93,95,936,83,19
2018-03-01,18,103,1,10,0,48,3,49,86,85,672,95,12
2018-04-01,21,84,7,9,2,39,4,34,57,54,528,102,14
2018-05-01,20,82,6,10,0,38,5,28,58,47,505,122,16
2018-06-01,17,51,7,13,5,28,2,23,56,45,490,92,17
2018-07-01,21,110,8,11,2,52,11,47,81,85,915,84,22
2018-08-01,18,122,4,11,1,67,8,54,91,86,805,87,21
2018-09-01,30,138,14,16,4,67,9,52,91,77,571,81,20
2018-10-01,18,89,3,9,1,45,7,43,60,63,433,71,21
2018-11-01,21,88,4,14,2,44,4,40,96,95,881,155,22
2018-12-01,15,56,4,11,2,29,2,24,54,51,543,118,23
2019-01-01,16,69,4,10,1,35,10,36,61,77,692,105,23
2019-02-01,21,90,4,10,1,49,6,32,85,63,750,110,28
2019-03-01,27,93,9,17,4,43,3,33,95,70,828,300,29
2019-04-01,24,136,8,13,4,66,9,48,107,87,775,163,31
2019-05-01,21,69,8,15,4,37,8,36,60,96,917,180,34
2019-06-01,19,76,6,16,4,35,8,40,64,77,726,126,37
2019-07-01,24,126,6,16,0,64,11,50,94,114,1075,121,31
2019-08-01,29,179,8,19,1,84,22,77,132,150,1633,143,40
2019-09-01,14,119,2,12,1,65,7,58,94,103,918,117,28
2019-10-01,16,77,4,11,2,44,5,36,88,75,765,121,19
2019-11-01,18,67,7,14,4,39,3,28,66,58,690,135,32
2019-12-01,18,77,6,13,3,39,7,32,62,54,668,129,30
2020-01-01,17,85,5,13,2,40,3,38,75,67,664,127,26
2020-02-01,16,52,4,13,1,36,7,24,80,71,746,151,26
2020-03-01,18,78,4,12,0,35,5,37,58,65,680,126,23
2020-04-01,20,92,5,14,2,52,9,39,85,77,749,131,32
2020-05-01,20,100,7,13,5,52,9,43,73,71,604,140,24
2020-06-01,17,55,4,9,2,34,7,25,59,57,489,112,29
2020-07-01,20,94,3,10,1,57,8,45,89,89,722,119,25
2020-08-01,16,80,2,11,0,39,7,35,69,64,486,120,27
