dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,2,41,1,1,0,3,0,3,3,3,0,5,1
2015-03-01,5,103,3,2,1,12,2,10,14,14,60,22,1
2015-04-01,5,51,3,3,2,14,3,10,26,20,124,46,3
2015-05-01,9,66,5,7,4,23,1,21,43,35,239,45,4
2015-06-01,14,78,9,10,6,29,3,25,62,54,498,35,7
2015-07-01,11,68,4,6,1,23,2,21,51,34,433,28,9
2015-08-01,10,35,4,5,2,29,6,16,53,30,461,14,8
2015-09-01,9,24,3,6,1,13,5,6,38,33,428,24,3
2015-10-01,6,17,1,2,0,5,5,6,28,26,230,11,2
2015-11-01,7,21,1,2,0,11,1,9,34,30,306,16,5
2015-12-01,6,23,1,2,1,8,0,6,25,22,275,17,2
2016-01-01,4,6,0,2,0,3,0,2,19,11,161,9,4
2016-02-01,2,44,0,1,0,11,1,10,35,28,264,2,3
2016-03-01,6,49,1,3,1,29,9,21,57,59,563,9,3
2016-04-01,7,29,1,2,0,17,2,14,31,24,269,7,0
2016-05-01,8,39,3,4,1,20,3,17,39,29,393,4,7
2016-06-01,5,25,1,3,0,17,2,14,30,33,339,7,1
2016-07-01,8,94,3,5,1,45,6,37,66,79,762,8,1
2016-08-01,9,112,1,5,1,43,5,45,63,101,736,11,1
2016-09-01,7,70,2,5,1,46,8,32,66,54,608,6,3
2016-10-01,6,45,1,3,0,26,2,22,35,33,222,7,3
2016-11-01,9,76,0,5,0,32,3,31,46,54,364,3,1
2016-12-01,6,33,2,3,0,8,0,4,31,22,222,10,5
2017-01-01,8,35,1,4,1,7,1,3,33,26,343,7,3
2017-02-01,5,31,2,5,2,5,1,4,35,21,278,16,3
2017-03-01,11,49,5,7,3,12,4,8,61,37,778,11,3
2017-04-01,14,82,8,7,3,17,7,11,66,70,681,14,9
2017-05-01,8,77,0,4,0,14,2,11,58,54,580,17,3
2017-06-01,18,64,7,10,3,27,3,20,69,80,929,16,11
2017-07-01,13,76,7,9,5,33,7,27,79,57,664,12,9
2017-08-01,13,40,5,7,2,20,4,16,49,37,408,13,5
2017-09-01,12,61,5,8,3,14,2,13,50,44,430,13,4
2017-10-01,19,93,9,9,2,23,5,18,76,67,481,15,9
2017-11-01,16,92,6,9,2,19,4,16,63,61,445,15,11
2017-12-01,10,84,2,6,1,22,1,19,88,65,412,46,10
2018-01-01,11,46,3,8,2,9,4,8,50,40,377,34,7
2018-02-01,16,80,5,10,4,25,0,14,67,39,416,34,7
2018-03-01,19,92,7,11,4,20,2,15,67,49,543,26,12
2018-04-01,18,99,6,7,1,29,13,19,106,151,1335,25,7
2018-05-01,20,80,3,9,2,20,5,13,79,73,627,46,5
2018-06-01,18,76,8,10,4,17,3,10,72,52,648,29,13
2018-07-01,19,64,8,10,2,9,0,10,72,48,422,29,9
2018-08-01,10,36,3,6,2,8,3,2,49,28,330,23,18
2018-09-01,8,28,2,7,2,4,2,2,38,32,267,12,1
2018-10-01,19,74,9,9,3,21,5,8,77,62,500,28,12
2018-11-01,13,46,4,8,2,11,2,11,58,44,408,28,5
2018-12-01,16,90,5,9,2,27,1,22,77,62,432,27,9
2019-01-01,12,63,3,5,0,13,5,13,51,43,327,80,5
2019-02-01,11,78,2,8,0,11,13,9,82,69,656,38,9
2019-03-01,15,118,5,8,2,15,3,12,107,94,768,39,9
2019-04-01,15,76,3,9,2,19,7,13,97,140,1131,27,14
2019-05-01,9,34,4,6,2,12,5,6,62,48,481,41,15
2019-06-01,8,42,1,3,0,9,1,8,59,34,276,28,5
2019-07-01,11,54,5,9,2,22,2,14,71,55,386,38,16
2019-08-01,20,57,10,9,4,28,6,17,75,48,401,45,11
2019-09-01,11,72,3,5,0,21,9,12,82,66,575,44,13
2019-10-01,29,91,19,12,4,24,9,9,110,88,656,44,28
2019-11-01,13,55,5,5,1,20,13,11,61,65,453,42,10
2019-12-01,10,26,2,7,2,12,3,5,41,38,324,23,11
2020-01-01,10,18,5,5,2,5,1,0,44,13,193,38,25
2020-02-01,9,40,4,4,1,8,1,5,46,38,332,34,17
2020-03-01,12,39,7,8,3,11,5,5,51,32,258,39,13
2020-04-01,14,84,5,8,0,16,5,12,65,64,327,34,13
2020-05-01,8,17,4,7,3,9,4,3,51,27,204,35,16
2020-06-01,5,25,0,5,0,6,2,4,38,21,90,35,12
2020-07-01,7,18,4,5,1,6,0,7,33,23,81,22,7
2020-08-01,8,16,5,4,1,9,4,0,38,35,169,21,7
