dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,6,24,6,2,2,11,1,10,12,11,17,1,0
2015-10-01,19,280,14,4,2,127,5,116,159,129,569,1,0
2015-11-01,32,366,16,7,4,184,13,168,264,200,1335,82,35
2015-12-01,24,236,6,3,0,108,6,105,145,135,688,72,11
2016-01-01,33,273,13,5,1,98,4,96,187,159,687,55,14
2016-02-01,30,311,6,5,1,121,4,110,198,183,804,20,9
2016-03-01,20,166,4,5,1,70,4,70,104,115,452,35,4
2016-04-01,20,193,1,4,0,91,5,87,154,145,474,25,8
2016-05-01,16,147,1,4,0,91,7,86,121,123,377,21,2
2016-06-01,18,167,4,3,0,66,1,64,108,111,229,19,3
2016-07-01,25,182,7,5,1,78,2,74,153,138,361,18,6
2016-08-01,27,199,5,6,2,57,8,51,173,142,277,15,4
2016-09-01,27,242,5,6,0,75,5,71,179,195,252,10,13
2016-10-01,21,170,6,6,1,91,6,88,155,174,517,46,9
2016-11-01,24,211,6,7,3,98,4,91,172,153,411,31,11
2016-12-01,26,128,7,5,0,75,5,72,143,117,408,23,8
2017-01-01,33,236,3,7,1,131,11,112,196,198,705,17,15
2017-02-01,39,292,13,9,3,116,11,111,226,234,610,23,6
2017-03-01,54,472,16,11,5,174,14,158,323,318,503,21,6
2017-04-01,44,399,7,7,1,142,4,143,290,289,540,14,9
2017-05-01,51,332,13,11,5,161,11,148,286,261,513,27,13
2017-06-01,41,348,5,8,1,153,7,139,291,301,651,23,6
2017-07-01,44,307,12,9,1,112,8,102,211,211,478,16,2
2017-08-01,44,221,9,12,2,105,14,95,180,188,435,33,5
2017-09-01,42,196,8,10,3,106,8,96,206,158,658,35,11
2017-10-01,47,274,9,13,1,126,11,117,213,216,741,34,8
2017-11-01,34,234,4,10,0,123,9,117,189,189,608,28,7
2017-12-01,30,158,8,11,1,93,5,82,132,133,336,34,9
2018-01-01,42,174,11,13,2,106,4,106,149,155,383,128,8
2018-02-01,38,177,9,10,2,112,8,101,144,139,443,49,3
2018-03-01,43,215,5,10,2,130,5,126,175,176,537,125,10
2018-04-01,26,99,1,7,0,73,1,72,115,112,344,63,5
2018-05-01,32,101,5,10,1,75,7,64,117,105,552,54,10
2018-06-01,43,168,8,15,6,121,23,98,162,169,466,96,7
2018-07-01,30,134,5,7,2,60,5,56,124,115,480,34,8
2018-08-01,35,128,4,11,0,61,11,56,119,116,461,70,5
2018-09-01,34,126,6,10,2,58,1,53,122,108,388,59,4
2018-10-01,31,106,8,10,1,59,3,56,108,104,414,72,7
2018-11-01,38,174,5,10,0,78,3,76,112,116,309,62,6
2018-12-01,30,133,5,9,1,97,6,87,120,119,319,82,8
2019-01-01,34,196,7,12,2,137,10,129,174,175,597,97,11
2019-02-01,27,172,5,9,1,122,12,106,172,158,701,83,14
2019-03-01,46,213,13,12,1,118,7,114,137,144,605,116,8
2019-04-01,45,273,12,12,4,109,13,98,143,145,446,69,6
2019-05-01,36,127,4,6,0,74,6,71,94,92,213,91,9
2019-06-01,36,138,10,7,1,77,1,75,94,91,328,54,10
2019-07-01,17,82,1,6,0,73,3,68,86,91,252,47,6
2019-08-01,23,149,6,5,0,84,1,81,98,95,152,53,8
2019-09-01,21,66,3,8,0,36,4,37,44,54,107,41,3
2019-10-01,34,116,7,10,2,41,0,40,52,45,109,37,8
2019-11-01,23,62,6,7,1,31,2,31,39,35,61,30,3
2019-12-01,10,26,3,7,1,25,0,23,37,40,240,37,10
2020-01-01,10,33,3,4,0,12,0,12,24,20,181,67,7
2020-02-01,12,44,3,7,1,38,3,34,56,51,247,48,6
2020-03-01,11,38,1,6,0,31,1,32,49,47,207,52,6
2020-04-01,7,28,2,5,0,34,7,28,53,52,213,46,14
2020-05-01,9,50,2,6,0,49,4,42,63,63,215,48,7
2020-06-01,7,23,1,6,1,23,0,22,38,36,156,37,8
2020-07-01,5,14,0,4,0,16,7,14,31,31,219,38,5
2020-08-01,5,20,1,5,1,20,3,20,41,37,235,39,6
