dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,0,0,0,0,0,0,0,0,2,0,6,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,1,3,0,1,0,1,0,0,1,0,1,2,2
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,1,0,2,0,0
2017-01-01,5,62,4,4,2,1,2,0,15,13,49,7,2
2017-02-01,6,73,2,5,1,2,0,1,26,18,61,6,3
2017-03-01,6,53,2,4,1,2,0,3,18,13,39,7,0
2017-04-01,3,52,0,3,0,6,3,3,17,17,64,7,0
2017-05-01,8,77,3,6,2,0,0,0,15,22,56,5,1
2017-06-01,4,149,0,3,0,2,0,2,55,45,246,4,0
2017-07-01,4,240,2,3,1,0,0,0,46,24,181,10,1
2017-08-01,7,111,3,5,2,1,1,0,47,35,280,8,2
2017-09-01,3,36,0,2,0,0,0,0,8,7,54,11,5
2017-10-01,4,105,0,4,0,1,1,0,20,40,116,9,2
2017-11-01,2,18,0,2,0,1,1,0,12,3,24,5,5
2017-12-01,2,37,0,2,0,3,1,1,33,27,66,17,6
2018-01-01,6,99,0,5,0,3,1,2,92,81,458,61,8
2018-02-01,11,213,5,8,3,1,2,0,120,103,615,42,10
2018-03-01,15,352,7,8,3,3,1,2,234,149,1020,62,12
2018-04-01,10,376,2,7,1,6,0,6,170,172,958,38,9
2018-05-01,19,368,8,10,3,5,0,5,167,104,954,53,11
2018-06-01,27,348,11,12,2,23,7,11,393,327,2312,51,15
2018-07-01,32,527,12,15,5,36,7,31,403,381,2614,46,17
2018-08-01,31,351,9,13,6,6,3,6,308,277,2343,52,23
2018-09-01,25,339,6,10,1,0,0,0,219,230,1866,37,17
2018-10-01,26,392,3,12,0,3,1,2,225,244,1956,71,27
2018-11-01,31,301,8,14,1,5,2,3,317,276,2165,45,34
2018-12-01,23,129,5,9,0,5,2,3,237,193,1561,35,21
2019-01-01,20,130,3,10,1,3,0,3,258,276,1977,25,10
2019-02-01,22,162,8,9,2,4,0,4,300,265,2006,36,18
2019-03-01,27,127,6,13,3,3,0,3,248,220,1672,104,31
2019-04-01,20,127,5,9,0,29,2,17,225,240,1502,102,39
2019-05-01,24,92,7,12,3,118,20,92,225,271,1735,116,35
2019-06-01,18,70,4,8,0,87,14,70,183,181,1171,90,36
2019-07-01,20,72,5,6,0,91,11,72,178,188,1195,97,52
2019-08-01,19,66,8,7,2,72,8,66,149,139,727,46,29
2019-09-01,17,57,4,7,1,76,13,57,139,159,1045,45,18
2019-10-01,19,52,7,8,1,65,19,52,151,142,794,52,24
2019-11-01,14,27,5,7,1,32,6,27,79,87,535,67,32
2019-12-01,19,49,5,6,0,57,11,49,110,139,666,42,28
2020-01-01,20,58,6,11,3,68,14,57,139,129,619,42,22
2020-02-01,18,196,6,8,1,74,11,71,131,134,503,29,18
2020-03-01,16,278,4,8,1,97,17,76,169,149,910,35,31
2020-04-01,20,99,6,12,1,124,17,97,207,191,1263,41,29
2020-05-01,29,105,14,10,0,128,19,105,201,185,1267,37,32
2020-06-01,24,124,7,10,2,151,22,124,245,221,1556,32,18
2020-07-01,28,221,10,11,1,238,15,221,354,412,2219,53,19
2020-08-01,26,152,3,12,0,175,21,152,297,268,1648,49,28
