dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,2,36,2,1,1,3,0,1,6,1,13,0,0
2016-07-01,9,118,7,3,2,31,3,29,61,42,164,0,0
2016-08-01,6,42,0,3,0,39,2,36,49,54,98,0,0
2016-09-01,6,27,2,2,0,21,2,17,28,20,101,9,5
2016-10-01,7,14,3,4,2,2,2,2,13,12,58,7,5
2016-11-01,4,23,0,3,0,4,1,1,19,29,97,12,5
2016-12-01,4,5,3,3,1,7,1,5,18,9,73,8,9
2017-01-01,9,14,3,6,2,12,0,10,22,18,114,8,5
2017-02-01,4,8,0,3,0,0,1,2,8,11,59,10,5
2017-03-01,5,12,1,3,1,0,0,0,16,10,43,14,9
2017-04-01,4,34,3,2,0,2,0,2,13,6,41,11,7
2017-05-01,12,57,4,5,1,3,0,0,23,14,128,14,13
2017-06-01,4,24,3,3,1,0,1,0,8,6,35,15,10
2017-07-01,11,44,7,4,0,1,2,0,17,17,75,16,8
2017-08-01,10,46,7,5,1,3,1,1,24,14,115,9,13
2017-09-01,5,21,0,4,0,1,0,0,18,10,89,15,3
2017-10-01,10,58,5,7,3,1,0,1,23,18,59,16,12
2017-11-01,8,57,3,4,1,3,0,0,17,9,68,15,12
2017-12-01,7,20,4,5,2,2,0,2,12,7,71,11,6
2018-01-01,6,15,1,4,1,2,0,0,20,8,115,10,11
2018-02-01,5,33,3,2,0,0,0,0,23,15,46,22,16
2018-03-01,4,9,3,3,1,0,0,0,14,4,47,18,15
2018-04-01,9,41,3,3,0,1,0,1,17,10,75,16,9
2018-05-01,10,46,4,4,1,6,1,2,27,15,91,21,15
2018-06-01,15,44,5,6,2,4,1,4,27,23,88,19,15
2018-07-01,14,121,2,4,0,6,0,2,24,16,44,22,19
2018-08-01,9,91,1,4,0,8,2,7,39,35,117,21,23
2018-09-01,7,38,3,4,1,1,0,1,19,21,95,19,13
2018-10-01,9,65,0,3,0,3,2,3,21,17,54,21,11
2018-11-01,9,38,0,4,0,0,0,0,13,9,36,29,17
2018-12-01,5,28,0,2,0,0,0,0,23,10,97,22,11
2019-01-01,3,9,1,3,1,2,1,1,16,10,39,32,14
2019-02-01,12,180,5,5,2,0,0,0,24,23,69,25,21
2019-03-01,9,114,0,4,0,4,1,0,16,8,57,36,19
2019-04-01,5,24,1,4,1,2,0,1,10,9,25,36,23
2019-05-01,6,28,3,3,0,0,0,0,10,6,40,33,14
2019-06-01,9,34,3,5,1,1,1,0,12,8,33,32,22
2019-07-01,7,14,1,3,0,2,2,1,24,17,74,34,25
2019-08-01,9,152,2,2,0,1,0,1,15,7,35,21,25
2019-09-01,6,108,0,2,0,1,0,1,11,4,47,23,13
2019-10-01,2,25,0,2,0,1,0,0,8,3,33,28,13
2019-11-01,0,0,0,0,0,0,0,0,6,1,8,30,11
2019-12-01,1,3,0,1,0,0,0,0,5,2,13,26,7
2020-01-01,0,0,0,0,0,3,0,1,10,3,46,20,8
2020-02-01,2,5,2,2,0,2,0,1,9,5,52,17,11
2020-03-01,2,4,1,1,0,0,0,0,4,1,15,20,8
2020-04-01,3,25,0,2,0,0,0,0,13,6,23,20,15
2020-05-01,3,18,1,2,0,0,1,0,6,7,39,10,8
2020-06-01,1,19,0,1,0,0,1,0,10,8,47,30,22
