dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,2,49,2,2,2,3,1,0,3,1,20,5,1
2015-07-01,2,256,1,2,1,1,0,0,18,9,90,4,3
2015-08-01,1,18,0,1,0,0,0,0,9,0,120,2,1
2015-09-01,0,0,0,0,0,0,0,0,4,2,19,21,6
2015-10-01,4,6,3,4,2,3,1,3,20,23,140,19,8
2015-11-01,4,29,2,4,2,2,0,1,18,19,269,26,4
2015-12-01,6,76,4,5,3,9,0,9,25,24,240,20,14
2016-01-01,11,136,8,9,5,9,1,8,32,32,334,28,12
2016-02-01,2,38,0,2,0,2,0,1,11,8,102,9,3
2016-03-01,4,20,3,4,3,3,0,2,11,7,111,28,10
2016-04-01,6,113,4,6,4,5,0,3,16,11,128,33,14
2016-05-01,3,137,2,2,1,2,0,3,7,11,118,19,6
2016-06-01,4,132,2,4,2,4,1,5,34,32,213,24,6
2016-07-01,4,190,3,3,1,4,2,1,28,24,171,16,9
2016-08-01,3,48,1,3,1,3,1,2,15,13,101,30,8
2016-09-01,9,337,5,9,4,16,6,14,61,64,467,35,7
2016-10-01,2,121,1,1,0,1,0,1,18,26,188,24,8
2016-11-01,1,48,0,1,0,1,0,0,8,6,40,28,9
2016-12-01,5,68,3,5,3,6,1,3,16,14,105,24,9
2017-01-01,5,58,4,3,1,5,1,3,17,16,137,40,11
2017-02-01,2,16,0,2,0,1,0,2,10,7,103,28,11
2017-03-01,4,68,1,4,0,4,1,1,17,18,148,36,16
2017-04-01,2,62,1,1,0,2,0,3,9,9,54,32,9
2017-05-01,5,178,3,3,1,7,1,6,26,18,232,44,15
2017-06-01,3,6,1,3,1,3,0,2,7,5,57,36,10
2017-07-01,2,19,0,2,0,4,3,4,11,17,105,29,8
2017-08-01,3,162,2,3,1,12,1,10,34,39,269,36,10
2017-09-01,2,151,1,2,0,3,0,3,30,31,225,33,10
2017-10-01,1,29,0,1,0,0,0,0,10,6,50,28,8
2017-11-01,2,155,0,2,0,1,0,1,18,19,110,49,18
2017-12-01,3,82,2,3,1,4,0,2,10,7,66,47,15
2018-01-01,6,122,4,5,2,6,4,6,26,42,443,55,14
2018-02-01,3,45,2,2,1,4,1,2,13,14,112,34,8
2018-03-01,4,76,3,3,1,21,1,21,33,33,171,53,14
2018-04-01,4,35,2,3,0,10,0,9,25,20,105,58,19
2018-05-01,4,13,1,2,0,2,0,3,13,12,134,60,19
2018-06-01,1,47,0,1,0,4,1,2,13,16,42,36,10
2018-07-01,1,202,0,1,0,2,1,2,19,19,51,47,10
2018-08-01,2,172,0,2,0,6,1,6,18,22,102,62,13
2018-09-01,3,15,1,3,1,0,0,1,6,8,60,51,11
2018-10-01,2,83,1,2,1,1,0,1,10,8,58,42,10
2018-11-01,4,225,2,4,1,5,0,5,21,19,103,43,13
2018-12-01,4,177,2,3,1,9,0,7,19,20,117,62,15
2019-01-01,3,172,1,3,1,5,0,5,24,22,95,58,16
2019-02-01,4,64,1,1,0,8,1,8,20,27,189,36,9
2019-03-01,1,3,0,1,0,0,1,0,6,5,27,62,17
2019-04-01,1,23,0,1,0,1,0,1,6,7,23,44,19
2019-05-01,1,93,0,1,0,6,0,6,22,21,59,53,13
2019-06-01,3,41,1,3,1,1,0,1,6,5,34,37,10
2019-07-01,6,63,3,3,1,4,0,4,15,12,112,62,19
2019-08-01,1,65,0,1,0,3,0,2,8,6,114,61,14
2019-09-01,2,24,1,2,0,2,0,2,10,12,78,45,18
2019-10-01,3,154,1,2,0,18,0,19,22,25,46,53,15
2019-11-01,1,8,0,1,0,1,0,1,4,3,17,57,12
2019-12-01,2,9,1,2,1,1,0,1,4,6,16,48,17
2020-01-01,1,27,0,1,0,3,1,0,9,7,26,40,18
2020-02-01,3,26,2,2,0,1,1,2,7,6,43,40,10
2020-03-01,2,19,0,2,0,4,0,4,7,10,15,36,13
2020-04-01,1,101,0,1,0,0,0,0,4,1,17,60,14
2020-05-01,1,33,0,1,0,1,1,0,4,3,35,54,15
2020-06-01,2,11,1,1,0,1,0,1,7,6,19,31,15
2020-07-01,1,63,0,1,0,1,0,0,4,6,35,52,11
2020-08-01,1,56,0,1,0,0,0,0,1,1,23,53,18
