dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,43,320,8,12,2,1,0,1,1,1,2,2,0
2017-01-01,33,376,7,9,4,1,0,1,1,1,4,3,0
2017-02-01,36,374,6,7,1,16,0,16,16,16,30,4,2
2017-03-01,37,465,6,6,1,9,0,4,10,4,31,8,1
2017-04-01,32,530,6,5,1,7,1,2,7,3,20,11,2
2017-05-01,18,278,0,3,0,41,2,34,50,37,210,12,7
2017-06-01,20,381,3,6,1,89,2,71,147,106,600,258,29
2017-07-01,15,397,1,3,0,81,9,58,114,100,543,47,5
2017-08-01,18,394,0,6,0,80,2,97,117,127,693,83,9
2017-09-01,19,203,3,7,2,56,4,49,92,89,586,47,6
2017-10-01,20,212,1,8,1,57,6,54,135,121,583,295,19
2017-11-01,22,180,3,8,1,52,2,44,116,83,541,106,5
2017-12-01,14,108,1,6,0,24,0,27,62,58,288,118,6
2018-01-01,12,92,2,7,0,31,1,23,54,38,277,131,12
2018-02-01,19,157,4,7,0,47,1,51,80,86,533,90,5
2018-03-01,13,141,1,7,1,38,3,41,73,77,450,112,7
2018-04-01,16,251,4,6,0,65,4,41,145,98,543,195,15
2018-05-01,18,269,3,7,1,33,5,40,91,101,442,131,8
2018-06-01,22,257,3,9,0,64,3,48,120,103,988,118,7
2018-07-01,17,150,3,8,2,40,2,38,80,81,686,101,4
2018-08-01,19,174,3,7,0,53,3,52,86,83,730,129,9
2018-09-01,16,269,3,6,2,47,2,45,72,70,761,146,4
2018-10-01,21,225,3,9,1,48,2,51,97,92,781,120,8
2018-11-01,20,173,5,10,3,44,1,31,81,71,659,104,6
2018-12-01,16,145,0,6,0,35,4,42,70,78,630,101,8
2019-01-01,16,137,3,6,1,33,0,33,76,61,700,136,15
2019-02-01,22,158,3,9,1,42,1,41,77,71,753,96,13
2019-03-01,18,134,3,7,1,21,1,23,50,48,577,125,8
2019-04-01,17,136,1,8,0,20,1,20,48,44,416,188,11
2019-05-01,19,91,3,8,1,23,2,20,60,45,469,94,8
2019-06-01,16,138,3,7,1,23,2,18,54,42,520,69,7
2019-07-01,21,243,5,9,2,37,2,30,71,59,782,56,11
2019-08-01,21,287,2,11,1,47,5,38,85,71,1103,128,9
2019-09-01,19,207,1,10,1,37,4,38,72,75,1021,117,5
2019-10-01,24,189,6,12,4,44,4,38,83,67,1095,84,15
2019-11-01,22,301,6,10,1,82,5,58,144,118,1874,89,14
2019-12-01,17,295,1,7,0,76,6,74,163,156,2030,101,7
2020-01-01,15,178,3,5,0,63,6,46,115,96,1458,61,8
2020-02-01,22,335,6,8,1,66,18,67,123,133,1767,68,13
2020-03-01,22,340,3,9,2,66,10,55,105,110,1764,66,7
2020-04-01,17,192,2,7,1,39,4,34,71,64,1086,102,15
2020-05-01,11,179,2,5,0,31,7,31,71,69,987,87,6
2020-06-01,20,460,5,10,3,74,7,71,131,118,1802,76,10
2020-07-01,21,520,3,8,0,98,9,88,185,196,2758,129,16
2020-08-01,15,419,0,8,0,131,7,91,204,167,2178,77,7
