dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-01-01,5,37,4,5,4,2,0,2,53,26,534,145,5
2017-02-01,6,51,3,5,2,3,0,2,23,23,234,57,3
2017-03-01,6,34,3,4,1,5,0,5,31,31,444,37,2
2017-04-01,11,20,8,5,2,9,0,8,36,18,218,62,8
2017-05-01,4,18,1,3,0,3,0,3,34,27,234,39,1
2017-06-01,4,13,2,2,0,3,0,3,23,14,121,32,0
2017-07-01,6,7,2,6,2,2,1,1,17,9,177,50,6
2017-08-01,4,8,2,3,1,2,0,4,16,7,108,25,2
2017-09-01,4,8,1,4,1,4,2,2,15,12,81,16,4
2017-10-01,7,31,3,5,2,5,0,5,29,47,224,34,4
2017-11-01,4,13,2,3,0,2,0,2,16,5,64,40,2
2017-12-01,1,1,0,1,0,0,0,0,10,4,68,14,1
2018-01-01,3,27,1,3,0,4,0,4,13,18,179,34,0
2018-02-01,12,38,2,5,0,13,0,13,28,30,266,22,4
2018-03-01,5,29,1,5,1,12,0,10,25,19,196,32,4
2018-04-01,10,23,1,6,0,7,0,4,20,19,179,36,1
2018-05-01,8,35,3,5,1,6,0,10,26,32,287,67,6
2018-06-01,3,9,0,3,0,1,0,2,12,11,97,39,4
2018-07-01,3,4,1,3,1,2,0,1,8,1,71,25,5
2018-08-01,4,7,1,4,0,2,2,0,15,17,122,26,2
2018-09-01,7,11,3,4,1,4,1,4,18,11,121,39,4
2018-10-01,2,72,1,2,1,0,0,0,23,40,423,36,2
2018-11-01,4,25,2,3,1,2,0,2,20,19,163,46,4
2018-12-01,17,39,5,12,4,14,0,13,32,22,191,41,5
2019-01-01,8,42,1,5,0,5,2,4,27,34,269,53,5
2019-02-01,3,16,1,3,1,2,1,1,13,21,199,30,0
2019-03-01,7,26,1,4,0,3,1,2,27,21,244,50,1
2019-04-01,1,6,0,1,0,0,0,0,18,15,124,57,2
2019-05-01,3,54,1,3,0,2,1,1,27,18,171,44,3
2019-06-01,1,26,0,1,0,0,0,0,14,31,272,53,2
2019-07-01,11,28,1,9,1,9,1,7,20,14,92,51,6
2019-08-01,4,37,1,4,0,2,1,2,27,34,224,58,4
2019-09-01,8,53,4,5,1,6,0,1,31,30,302,65,3
2019-10-01,14,51,1,10,0,13,1,14,41,39,226,73,8
2019-11-01,3,12,1,3,1,2,0,0,35,25,239,55,2
2019-12-01,1,8,0,1,0,3,0,0,13,4,52,46,8
2020-01-01,4,12,0,3,0,0,3,1,16,16,140,37,0
2020-02-01,2,7,0,2,0,0,0,0,18,13,128,56,5
2020-03-01,8,36,3,7,3,3,1,2,49,47,438,75,0
2020-04-01,6,55,1,4,0,5,1,4,58,55,449,75,5
2020-05-01,8,49,2,6,2,5,1,4,51,56,460,89,7
2020-06-01,2,12,1,2,1,2,1,0,26,19,89,57,4
2020-07-01,4,30,1,4,0,8,0,3,53,77,505,62,4
2020-08-01,8,25,1,7,1,5,3,6,44,40,247,71,7
