dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,4,207,3,3,2,2,0,2,31,11,102,103,6
2015-11-01,3,219,1,2,0,0,0,0,51,44,316,39,6
2015-12-01,3,191,1,2,0,0,0,0,55,45,381,52,11
2016-01-01,4,105,0,2,0,0,0,0,41,29,325,49,8
2016-02-01,6,180,3,3,1,2,1,1,69,59,480,47,12
2016-03-01,3,192,1,2,0,0,0,0,81,73,697,87,9
2016-04-01,3,131,1,2,0,0,0,0,88,81,554,96,10
2016-05-01,2,246,0,2,0,0,0,0,80,80,557,79,8
2016-06-01,5,162,3,3,1,0,0,0,71,61,537,86,14
2016-07-01,3,106,0,2,0,0,0,0,76,58,526,88,5
2016-08-01,2,129,0,2,0,0,0,0,48,49,372,96,8
2016-09-01,2,272,0,2,0,0,0,0,105,105,822,102,7
2016-10-01,7,264,4,3,0,0,0,0,121,125,795,156,15
2016-11-01,6,182,2,4,2,0,0,0,99,93,680,130,9
2016-12-01,3,219,0,2,0,0,0,0,91,85,556,154,13
2017-01-01,7,155,4,5,3,0,0,0,102,82,566,197,21
2017-02-01,2,245,0,2,0,0,0,0,157,138,1256,165,7
2017-03-01,5,220,2,2,0,0,0,0,142,131,1013,236,20
2017-04-01,5,142,2,4,0,1,1,0,109,77,716,195,12
2017-05-01,4,113,1,4,1,0,0,0,109,87,765,243,15
2017-06-01,4,79,0,4,0,0,0,0,107,70,659,194,14
2017-07-01,6,90,2,6,2,0,0,0,113,116,733,186,8
2017-08-01,7,113,4,6,3,0,0,0,162,132,1023,182,13
2017-09-01,6,177,3,4,1,0,0,0,131,115,903,198,16
2017-10-01,8,261,2,4,1,0,0,0,217,155,1018,214,21
2017-11-01,12,384,4,7,1,0,0,0,131,111,679,187,11
2017-12-01,12,320,3,7,3,0,0,0,125,91,707,184,14
2018-01-01,13,425,3,7,2,0,0,0,192,186,1174,216,15
2018-02-01,7,223,1,4,0,0,0,0,153,104,645,201,12
2018-03-01,9,232,1,4,0,0,0,0,186,103,888,288,27
2018-04-01,9,198,5,5,2,0,0,0,162,116,794,285,19
2018-05-01,11,254,6,8,4,0,0,0,138,81,547,259,18
2018-06-01,8,282,1,7,0,0,0,0,173,168,921,256,11
2018-07-01,5,188,2,5,2,0,0,0,174,137,885,219,18
2018-08-01,9,273,7,6,2,1,0,1,245,175,1515,243,21
2018-09-01,4,266,3,2,0,0,0,0,171,141,1098,256,20
2018-10-01,8,275,5,8,3,0,0,0,213,150,1042,253,19
2018-11-01,7,193,2,6,2,0,0,0,204,268,1371,260,19
2018-12-01,17,320,13,8,2,1,1,0,156,115,897,277,20
2019-01-01,21,577,10,12,5,0,0,0,286,218,1219,643,29
2019-02-01,6,389,0,6,0,0,0,0,210,153,720,336,20
2019-03-01,10,275,6,8,3,0,0,0,247,148,972,414,50
2019-04-01,10,411,4,7,2,0,0,0,203,163,992,427,32
2019-05-01,10,289,4,7,2,0,0,0,207,141,966,359,37
2019-06-01,6,125,2,6,1,0,0,0,158,81,631,315,32
2019-07-01,7,323,4,4,1,0,0,0,202,145,1022,366,40
2019-08-01,7,319,6,5,2,0,0,0,270,185,1425,341,44
2019-09-01,7,267,4,5,1,0,0,0,215,137,893,368,39
2019-10-01,7,158,6,5,3,0,0,0,251,322,1680,402,38
2019-11-01,6,207,5,5,2,0,0,0,191,191,1288,344,35
2019-12-01,9,242,5,8,1,0,0,0,183,229,1108,302,37
2020-01-01,9,298,6,8,3,0,0,0,293,249,1810,360,25
2020-02-01,12,247,5,7,1,0,0,0,248,200,1340,396,37
2020-03-01,12,208,4,8,0,0,0,0,261,276,1500,439,61
2020-04-01,13,335,7,8,2,0,0,0,292,397,1920,537,52
2020-05-01,8,285,3,7,2,0,0,0,251,283,1262,457,55
2020-06-01,9,308,4,5,0,1,1,0,283,245,1255,374,53
2020-07-01,10,272,3,5,0,0,0,0,290,405,1803,451,46
2020-08-01,8,323,2,6,1,0,0,0,251,242,1230,419,52
