dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,9,32,8,7,6,5,0,5,6,6,16,0,0
2015-11-01,5,60,3,4,2,10,1,7,25,12,63,0,0
2015-12-01,2,20,0,1,0,2,1,1,12,2,22,0,0
2016-01-01,2,72,0,1,0,14,1,13,28,31,57,0,2
2016-02-01,6,113,3,4,1,21,1,20,39,30,103,3,2
2016-03-01,7,110,3,5,3,21,1,20,34,28,83,6,1
2016-04-01,4,67,2,4,0,14,0,13,22,17,56,1,2
2016-05-01,3,94,0,3,0,19,2,18,28,42,86,4,1
2016-06-01,1,10,0,1,0,1,0,2,6,2,12,4,0
2016-07-01,4,97,2,2,0,8,0,8,11,8,34,0,0
2016-08-01,2,36,0,1,0,4,0,4,6,18,59,5,1
2016-09-01,3,99,2,2,0,16,0,13,25,25,190,3,3
2016-10-01,9,116,6,7,3,14,2,15,27,21,103,5,4
2016-11-01,8,113,1,6,0,22,2,16,29,19,96,54,7
2016-12-01,11,99,3,8,3,20,5,15,40,44,257,7,7
2017-01-01,8,177,3,6,1,21,3,18,41,32,218,44,9
2017-02-01,13,210,4,9,1,27,2,25,49,45,380,18,7
2017-03-01,16,225,8,10,4,37,8,30,69,53,652,74,13
2017-04-01,12,170,4,6,2,26,3,25,44,35,434,39,14
2017-05-01,13,125,4,7,1,25,2,23,38,29,340,36,10
2017-06-01,10,91,7,8,4,27,1,24,58,34,448,52,15
2017-07-01,9,151,2,4,1,37,3,34,73,70,617,57,10
2017-08-01,12,294,4,7,4,55,2,53,100,73,778,44,17
2017-09-01,21,194,7,14,6,32,4,25,52,35,447,32,14
2017-10-01,13,134,2,7,0,24,2,20,51,40,549,93,26
2017-11-01,10,83,1,5,0,26,2,20,41,30,287,66,18
2017-12-01,8,96,2,5,1,22,3,17,42,72,479,61,17
2018-01-01,10,175,4,5,2,36,5,33,65,51,505,56,16
2018-02-01,15,94,8,5,2,30,5,26,60,91,766,51,22
2018-03-01,15,202,8,5,2,44,11,32,81,77,810,97,20
2018-04-01,10,50,1,3,1,14,2,12,40,21,316,58,11
2018-05-01,7,47,2,4,2,16,1,13,40,27,293,41,16
2018-06-01,6,19,1,4,0,9,1,8,20,28,178,47,13
2018-07-01,7,90,0,3,0,19,3,12,34,35,243,39,17
2018-08-01,6,67,1,3,0,24,2,20,59,34,287,41,13
2018-09-01,6,31,3,4,2,7,1,6,20,11,106,34,15
2018-10-01,8,62,2,6,0,18,3,15,29,21,189,44,12
2018-11-01,4,41,2,3,0,10,0,9,14,12,76,39,10
2018-12-01,5,12,0,4,0,6,3,2,17,8,58,32,16
2019-01-01,6,46,0,4,0,17,2,15,28,20,154,45,14
2019-02-01,5,25,2,3,0,8,2,5,16,12,103,42,11
2019-03-01,6,23,1,4,1,16,2,7,40,31,369,56,18
2019-04-01,4,31,1,2,0,6,1,5,25,9,147,40,14
2019-05-01,6,28,2,5,1,8,1,8,26,20,203,49,20
2019-06-01,3,32,0,2,0,8,0,6,18,10,120,41,10
2019-07-01,3,29,0,2,0,8,2,5,21,11,149,41,15
2019-08-01,4,64,0,3,0,12,1,10,23,14,188,44,16
2019-09-01,3,8,1,2,0,3,1,5,15,12,94,39,18
2019-10-01,2,10,0,1,0,4,0,4,18,14,111,46,17
2019-11-01,1,2,0,1,0,2,0,0,14,1,55,43,22
2019-12-01,2,2,1,2,0,1,0,1,6,1,22,35,13
2020-01-01,3,8,0,2,0,1,0,1,9,36,259,37,10
2020-02-01,5,26,3,4,2,8,15,10,17,63,365,37,23
2020-03-01,7,86,3,6,2,26,1,22,39,88,429,65,20
2020-04-01,7,28,3,5,0,10,6,10,38,33,240,117,35
2020-05-01,5,119,1,4,1,28,6,22,48,36,267,70,21
2020-06-01,13,162,5,6,0,24,4,21,62,41,381,74,24
2020-07-01,14,374,5,5,1,70,6,57,126,88,624,76,31
2020-08-01,9,201,1,4,0,40,2,33,66,45,403,79,28
