dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-01-01,2,35,1,2,1,0,0,0,1,0,1,2,2
2017-02-01,1,20,0,1,0,0,0,0,0,0,0,29,1
2017-03-01,1,21,0,1,0,0,0,0,13,6,26,7,1
2017-04-01,2,16,1,2,1,0,0,0,8,6,38,16,3
2017-05-01,3,97,2,3,2,11,1,10,42,29,182,192,6
2017-06-01,8,187,6,5,2,37,5,32,86,82,495,89,6
2017-07-01,10,198,8,6,3,56,3,49,115,106,799,75,9
2017-08-01,9,155,3,7,3,51,5,47,90,79,479,38,6
2017-09-01,11,235,6,9,3,54,8,47,89,84,473,57,6
2017-10-01,13,159,4,9,2,54,6,47,87,80,383,81,11
2017-11-01,10,98,6,4,0,31,3,27,52,47,289,78,3
2017-12-01,9,117,3,8,1,51,3,41,70,65,296,70,5
2018-01-01,11,94,4,5,1,37,5,40,60,64,302,60,4
2018-02-01,7,67,2,4,0,22,2,20,47,41,276,57,5
2018-03-01,10,85,5,7,3,42,6,37,82,76,545,85,6
2018-04-01,5,58,1,5,1,20,2,19,42,42,260,77,2
2018-05-01,9,55,4,8,3,25,1,22,49,45,298,85,7
2018-06-01,8,34,2,6,1,23,1,23,42,38,181,40,4
2018-07-01,11,71,6,6,2,30,1,23,52,41,244,69,9
2018-08-01,11,69,6,8,4,23,1,28,51,50,201,75,8
2018-09-01,12,165,4,9,3,53,3,44,104,86,657,64,9
2018-10-01,16,67,10,7,3,62,15,50,118,113,794,78,14
2018-11-01,11,37,5,5,1,40,1,34,70,68,438,87,9
2018-12-01,7,25,1,5,1,26,5,25,49,47,297,47,6
2019-01-01,7,13,3,4,0,14,0,12,23,23,120,44,8
2019-02-01,11,39,5,5,0,38,6,34,73,77,512,59,12
2019-03-01,9,30,3,4,1,33,1,30,54,50,283,86,12
2019-04-01,8,21,4,5,2,37,9,21,61,47,349,95,5
2019-05-01,7,26,3,4,1,24,2,26,39,54,238,91,12
2019-06-01,9,49,3,4,1,48,6,49,72,77,413,76,11
2019-07-01,9,29,3,5,2,31,3,29,50,67,344,86,11
2019-08-01,9,42,3,3,0,56,5,42,87,81,385,127,14
2019-09-01,7,47,3,4,1,52,6,47,82,87,453,66,9
2019-10-01,9,57,3,6,1,67,7,57,109,90,415,80,17
2019-11-01,6,53,1,3,0,52,2,48,80,77,336,64,8
2019-12-01,13,45,8,3,0,39,1,45,66,83,373,70,13
2020-01-01,9,55,2,4,1,61,7,53,93,84,409,85,16
2020-02-01,10,45,3,5,1,45,4,45,68,78,306,68,10
2020-03-01,15,126,6,7,1,133,8,124,188,189,819,91,22
2020-04-01,10,51,4,5,2,54,5,51,81,84,336,76,12
2020-05-01,14,71,6,7,1,77,5,71,107,101,579,61,16
2020-06-01,10,52,4,4,1,57,2,52,81,77,472,86,7
2020-07-01,10,37,4,5,1,46,10,37,78,76,444,60,12
2020-08-01,12,85,2,5,0,87,0,85,127,138,721,55,14
