dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,1,59,1,1,1,1,0,1,19,9,69,107,2
2016-11-01,1,35,0,1,0,0,0,0,4,9,16,20,2
2016-12-01,1,39,0,1,0,0,0,0,5,2,59,9,3
2017-01-01,0,0,0,0,0,0,0,0,2,1,24,11,0
2017-02-01,0,0,0,0,0,0,0,0,2,0,14,4,0
2017-03-01,1,1,1,1,1,1,0,1,2,2,14,10,4
2017-04-01,2,51,1,2,1,14,0,13,22,17,52,177,4
2017-05-01,2,107,1,2,1,8,0,9,19,24,177,44,10
2017-06-01,2,47,1,2,1,6,1,5,12,13,120,125,7
2017-07-01,3,19,2,3,1,8,0,7,14,13,77,74,8
2017-08-01,1,17,0,1,0,6,0,7,20,16,168,34,4
2017-09-01,1,16,0,1,0,3,0,2,9,8,42,18,5
2017-10-01,1,26,0,1,0,3,0,2,9,9,132,37,8
2017-11-01,2,9,1,2,1,5,0,4,19,11,231,26,6
2017-12-01,3,15,2,3,2,4,0,4,14,11,129,51,6
2018-01-01,3,8,2,2,0,3,0,3,14,9,179,32,7
2018-02-01,3,3,2,2,0,2,0,1,12,7,112,64,7
2018-03-01,3,55,2,3,1,3,1,3,10,19,284,41,8
2018-04-01,3,69,2,2,0,8,1,7,29,27,275,209,18
2018-05-01,4,46,3,4,2,15,0,16,41,36,398,212,19
2018-06-01,5,29,4,4,2,9,0,7,18,13,124,59,11
2018-07-01,2,73,1,2,0,15,1,13,35,37,313,33,8
2018-08-01,3,102,1,2,0,20,2,22,37,44,305,73,10
2018-09-01,2,16,1,2,1,7,0,6,21,17,144,52,7
2018-10-01,3,18,2,3,2,7,1,8,14,14,77,66,12
2018-11-01,4,35,3,4,3,16,0,13,27,19,135,131,9
2018-12-01,1,97,0,1,0,11,1,11,17,22,207,71,11
2019-01-01,5,65,4,4,1,20,1,18,41,38,384,57,11
2019-02-01,3,49,1,3,0,12,0,11,23,26,213,71,15
2019-03-01,5,81,4,5,4,28,1,27,42,60,362,94,15
2019-04-01,3,23,1,3,1,9,0,10,17,19,97,86,8
2019-05-01,1,10,0,1,0,2,0,2,14,8,68,68,12
2019-06-01,1,6,0,1,0,3,0,2,13,6,65,59,9
2019-07-01,0,0,0,0,0,0,0,0,16,8,121,84,11
2019-08-01,1,1,1,1,1,1,0,0,12,4,55,56,15
2019-09-01,0,0,0,0,0,0,0,0,7,5,81,45,6
2019-10-01,0,0,0,0,0,3,0,0,10,4,51,36,6
2019-11-01,1,31,0,1,0,1,0,2,2,10,38,39,5
2019-12-01,1,31,0,1,0,4,1,3,10,17,100,57,10
2020-01-01,1,23,0,1,0,6,2,7,13,22,137,99,12
2020-02-01,3,8,2,2,0,3,0,3,10,6,28,67,9
2020-03-01,6,37,5,5,2,8,2,7,13,15,47,55,14
2020-04-01,0,0,0,0,0,0,0,0,13,10,90,57,11
2020-05-01,0,0,0,0,0,0,0,0,1,5,40,62,8
2020-06-01,1,1,0,1,0,1,1,0,5,5,77,55,7
2020-07-01,0,0,0,0,0,0,0,0,2,6,59,33,11
2020-08-01,1,2,0,1,0,0,0,1,8,9,62,54,3
