dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,5,65,5,3,3,21,0,21,30,28,52,68,5
2015-04-01,5,26,1,4,1,8,0,8,9,10,5,9,0
2015-05-01,4,11,0,3,0,1,0,1,2,2,4,4,2
2015-06-01,2,8,0,2,0,0,0,0,0,1,9,3,1
2015-07-01,1,7,0,1,0,0,0,0,2,2,8,2,0
2015-08-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2015-09-01,1,8,0,1,0,0,0,0,0,0,0,1,0
2015-10-01,4,12,1,3,1,2,0,2,9,8,22,3,2
2015-11-01,4,32,0,3,0,1,0,1,1,1,20,1,2
2015-12-01,3,27,0,2,0,1,0,1,3,3,17,2,0
2016-01-01,4,7,1,2,0,2,0,2,11,3,71,2,2
2016-02-01,0,0,0,0,0,0,0,0,0,1,7,0,0
2016-03-01,7,14,3,4,1,3,0,2,5,3,30,1,4
2016-04-01,3,26,0,2,0,2,0,3,8,8,59,2,1
2016-05-01,0,0,0,0,0,0,0,0,1,1,6,3,1
2016-06-01,3,5,0,2,0,2,0,2,3,4,40,3,1
2016-07-01,2,13,0,2,0,1,0,1,4,6,35,2,1
2016-08-01,8,41,4,6,4,7,3,4,18,13,104,3,2
2016-09-01,2,68,0,1,0,7,1,5,20,12,127,4,2
2016-10-01,5,71,1,3,1,9,0,9,30,25,64,4,0
2016-11-01,7,47,2,4,1,8,0,8,15,15,96,11,5
2016-12-01,6,18,2,3,0,4,0,4,10,8,56,27,7
2017-01-01,5,87,0,3,0,13,1,13,34,28,132,15,10
2017-02-01,4,31,1,2,0,11,3,8,23,22,133,9,7
2017-03-01,6,55,1,2,0,10,1,9,19,18,52,11,4
2017-04-01,3,11,2,1,0,5,2,2,16,13,57,8,2
2017-05-01,7,36,5,4,3,9,1,6,23,18,118,17,7
2017-06-01,8,45,2,4,0,8,2,9,15,21,82,19,3
2017-07-01,8,82,2,6,2,11,0,10,25,30,158,9,5
2017-08-01,8,70,3,6,2,7,0,5,14,10,71,5,4
2017-09-01,8,41,4,7,3,8,1,7,21,12,69,5,7
2017-10-01,6,22,1,6,1,5,0,4,12,8,81,27,9
2017-11-01,8,56,2,7,0,18,8,11,28,31,109,34,15
2017-12-01,6,58,2,4,1,14,0,13,26,25,77,18,9
2018-01-01,5,41,1,4,0,7,0,7,18,19,68,8,5
2018-02-01,5,42,1,4,1,12,0,10,27,12,66,9,4
2018-03-01,8,133,3,7,2,32,3,31,48,57,205,13,10
2018-04-01,6,66,3,6,3,9,0,10,26,24,57,11,3
2018-05-01,8,110,3,5,0,4,1,3,50,55,144,17,8
2018-06-01,4,80,1,3,0,0,2,0,33,39,117,102,29
2018-07-01,7,54,4,5,1,5,2,3,31,27,103,29,10
2018-08-01,8,101,4,6,2,2,2,1,61,65,259,21,10
2018-09-01,7,57,2,7,2,1,1,0,29,49,127,31,6
2018-10-01,12,68,6,9,3,2,2,0,41,42,123,23,15
2018-11-01,8,31,3,8,2,1,1,0,21,23,127,21,8
2018-12-01,4,13,2,4,1,2,0,0,12,10,66,13,5
2019-01-01,6,19,4,5,3,1,0,1,26,17,106,22,7
2019-02-01,8,40,5,6,2,4,2,3,45,32,154,22,10
2019-03-01,18,238,12,10,4,9,4,6,87,76,309,43,24
2019-04-01,18,172,10,12,5,5,1,3,107,86,769,93,26
2019-05-01,23,225,6,13,4,2,1,2,99,78,543,31,12
2019-06-01,16,236,4,9,2,8,2,5,128,143,488,38,17
2019-07-01,23,169,7,14,2,6,2,4,110,113,643,30,17
2019-08-01,20,210,4,12,2,5,4,1,98,105,613,33,18
2019-09-01,16,81,5,12,3,0,0,1,38,43,221,27,13
2019-10-01,17,95,4,11,3,2,2,0,56,55,296,26,13
2019-11-01,18,66,4,13,2,3,2,1,48,44,211,25,18
2019-12-01,21,131,8,13,4,2,1,0,48,61,400,24,17
2020-01-01,18,80,4,12,0,12,10,2,104,80,416,34,15
2020-02-01,24,100,7,12,2,8,4,3,120,100,638,37,21
2020-03-01,23,156,4,12,1,6,4,4,179,154,721,33,19
2020-04-01,22,115,3,10,0,11,7,4,174,130,654,35,25
2020-05-01,18,132,6,5,0,5,4,1,143,123,489,64,25
2020-06-01,23,115,10,8,3,14,10,3,175,187,775,43,36
2020-07-01,14,76,4,6,1,8,5,4,192,209,679,63,53
