dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-04-01,1,15,1,1,1,1,1,0,16,9,53,56,14
2016-05-01,1,115,0,1,0,1,1,0,10,11,72,35,8
2016-06-01,1,109,0,1,0,0,0,0,0,2,7,43,7
2016-07-01,1,193,0,1,0,0,0,0,4,1,11,50,12
2016-08-01,3,198,2,2,1,4,1,3,60,34,197,62,13
2016-09-01,2,179,1,2,1,2,1,1,33,47,162,96,17
2016-10-01,2,187,0,2,0,1,0,1,29,24,158,88,19
2016-11-01,2,143,1,2,1,2,0,2,34,29,240,160,36
2016-12-01,1,196,0,1,0,0,0,0,39,19,178,123,17
2017-01-01,1,56,0,1,0,0,0,0,23,18,129,107,20
2017-02-01,2,118,1,2,1,1,0,1,17,13,129,82,13
2017-03-01,2,176,1,2,1,1,0,1,31,15,139,304,24
2017-04-01,1,207,0,1,0,1,0,0,17,9,101,139,17
2017-05-01,1,135,0,1,0,0,1,0,17,34,142,162,21
2017-06-01,2,142,0,2,0,2,0,2,15,12,127,171,30
2017-07-01,1,63,0,1,0,1,1,0,22,18,159,151,26
2017-08-01,3,44,2,3,0,2,0,2,22,21,147,205,35
2017-09-01,3,141,1,3,1,2,0,2,26,18,124,185,37
2017-10-01,2,195,0,2,0,1,0,1,67,70,283,281,30
2017-11-01,3,137,1,3,1,2,0,2,45,30,150,250,44
2017-12-01,2,147,1,1,0,0,0,0,46,118,387,252,49
2018-01-01,1,84,0,1,0,0,0,0,27,21,182,301,40
2018-02-01,1,127,0,1,0,0,0,0,35,35,247,255,31
2018-03-01,1,67,0,1,0,1,0,0,48,48,318,311,43
2018-04-01,1,35,0,1,0,0,1,0,39,34,272,318,64
2018-05-01,1,12,0,1,0,0,0,0,18,20,107,404,43
2018-06-01,1,6,0,1,0,0,0,0,15,16,126,262,45
2018-07-01,1,12,0,1,0,0,0,0,27,19,144,296,34
2018-08-01,2,10,1,2,1,2,1,1,23,24,132,366,56
2018-09-01,2,10,1,2,0,2,1,1,33,28,227,329,46
2018-10-01,4,82,3,2,0,3,0,3,32,31,161,331,51
2018-11-01,2,51,0,1,0,2,1,1,19,18,184,320,38
2018-12-01,3,73,1,2,0,2,0,2,26,28,167,579,102
2019-01-01,4,80,3,3,1,4,1,3,34,29,308,436,55
2019-02-01,2,10,1,2,1,1,0,1,20,17,85,267,44
2019-03-01,1,19,0,1,0,0,0,0,20,11,76,412,59
2019-04-01,2,8,1,1,0,1,0,1,19,19,95,433,66
2019-05-01,2,18,0,1,0,1,0,1,18,20,123,395,66
2019-06-01,1,94,0,1,0,1,1,0,50,48,303,880,77
2019-07-01,2,65,0,2,0,2,1,1,33,34,187,382,70
2019-08-01,1,9,0,1,0,0,0,0,30,15,77,380,57
2019-09-01,1,15,0,1,0,1,1,0,23,9,61,336,61
2019-10-01,2,34,1,2,0,2,0,2,20,12,118,337,43
2019-11-01,3,11,2,3,2,2,0,2,24,21,97,347,61
2019-12-01,1,15,0,1,0,0,0,0,23,12,62,328,53
2020-01-01,2,12,1,1,0,2,0,2,25,22,110,303,48
2020-02-01,1,2,0,1,0,0,0,0,25,19,114,449,61
2020-03-01,1,5,0,1,0,0,0,0,18,17,84,334,84
2020-04-01,2,12,1,2,0,4,2,1,25,21,105,466,72
2020-05-01,1,6,0,1,0,1,1,0,23,17,57,414,64
2020-06-01,1,2,0,1,0,0,1,0,15,13,71,343,50
2020-07-01,2,13,0,2,0,3,1,2,45,37,243,356,83
2020-08-01,2,16,1,2,0,2,1,1,25,14,65,362,46
