dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,1,125,1,1,1,2,0,2,14,6,8,0,0
2017-01-01,7,61,6,6,5,8,2,5,16,9,28,169,28
2017-02-01,5,81,4,4,3,10,2,8,23,32,64,34,7
2017-03-01,4,22,1,3,1,3,0,4,25,17,86,21,2
2017-04-01,4,12,2,3,1,3,1,2,4,11,18,28,5
2017-05-01,2,28,0,2,0,4,0,0,5,1,4,27,3
2017-06-01,2,20,0,2,0,1,0,0,3,1,5,50,12
2017-07-01,6,66,3,4,1,5,5,3,11,10,8,31,16
2017-08-01,3,75,1,3,1,5,5,1,15,17,48,32,14
2017-09-01,9,64,6,4,1,29,2,28,35,37,102,32,13
2017-10-01,3,14,1,1,0,8,1,6,22,18,69,47,13
2017-11-01,6,36,4,2,0,10,1,7,18,17,38,41,24
2017-12-01,4,50,2,2,0,5,4,3,9,8,9,35,16
2018-01-01,5,32,2,3,1,7,2,3,13,9,26,37,20
2018-02-01,3,21,0,2,0,2,0,1,5,5,13,27,20
2018-03-01,10,62,7,4,2,11,2,11,16,17,41,42,19
2018-04-01,7,46,3,3,1,7,1,6,11,9,17,50,25
2018-05-01,7,75,3,4,1,7,1,7,18,20,81,100,40
2018-06-01,6,38,2,3,0,1,0,2,11,11,31,71,27
2018-07-01,5,27,3,2,1,3,0,3,6,8,74,30,20
2018-08-01,4,25,2,2,0,6,0,1,21,8,36,51,31
2018-09-01,9,54,7,5,3,6,1,0,16,13,41,48,36
2018-10-01,9,13,7,5,3,4,0,1,19,5,70,52,22
2018-11-01,6,66,3,4,1,6,9,9,17,53,194,45,20
2018-12-01,3,11,1,1,0,3,0,0,11,3,33,37,20
2019-01-01,4,30,2,3,0,1,0,0,6,0,22,31,21
2019-02-01,7,49,3,4,2,1,0,1,2,1,5,62,26
2019-03-01,8,26,2,2,0,2,0,1,7,2,10,43,31
2019-04-01,5,22,1,3,1,1,0,1,2,1,3,33,30
2019-05-01,3,12,2,3,2,0,0,0,2,0,2,37,23
2019-06-01,9,120,7,6,2,1,4,3,27,50,193,39,24
2019-07-01,15,92,11,8,5,9,1,7,33,26,86,60,26
2019-08-01,5,43,2,4,0,1,0,2,10,15,54,27,24
2019-09-01,3,8,1,3,0,1,0,1,6,7,48,42,25
2019-10-01,7,37,4,4,1,4,1,3,18,17,67,30,18
2019-11-01,9,72,3,4,0,12,0,3,30,11,74,23,29
2019-12-01,9,54,1,5,1,1,0,10,18,26,113,31,11
2020-01-01,4,26,1,2,0,2,0,0,11,9,91,55,24
2020-02-01,8,36,4,4,1,4,1,5,12,18,59,89,20
2020-03-01,10,43,4,6,1,2,0,0,20,4,62,30,21
2020-04-01,5,68,2,5,2,5,3,2,12,20,83,25,22
2020-05-01,3,14,1,2,0,2,1,1,9,6,39,17,16
2020-06-01,5,24,0,4,0,1,0,0,11,13,64,16,11
2020-07-01,3,10,0,3,0,2,0,0,9,5,16,39,19
2020-08-01,5,13,2,3,1,3,0,2,15,5,15,43,14
