dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,3,58,3,3,3,0,0,0,9,6,42,343,74
2016-10-01,5,36,2,4,1,4,3,1,14,16,103,326,93
2016-11-01,4,36,1,4,1,1,0,1,12,9,70,311,76
2016-12-01,3,24,0,3,0,1,1,0,8,5,19,380,102
2017-01-01,4,16,1,3,0,1,1,0,19,12,85,369,92
2017-02-01,4,42,1,3,1,2,1,1,14,6,29,302,78
2017-03-01,4,72,0,3,0,2,2,0,14,8,53,385,114
2017-04-01,3,42,0,2,0,2,2,0,12,10,62,320,105
2017-05-01,4,36,1,3,1,0,0,0,12,9,50,414,134
2017-06-01,2,40,0,1,0,2,2,0,13,12,82,339,111
2017-07-01,5,74,2,4,1,1,0,1,10,6,25,219,53
2017-08-01,5,96,1,4,1,2,1,1,14,12,68,328,55
2017-09-01,3,22,0,2,0,1,1,0,6,5,44,165,34
2017-10-01,2,32,0,1,0,3,2,0,10,5,35,160,52
2017-11-01,4,32,1,3,0,3,2,1,14,8,35,148,44
2017-12-01,2,28,0,1,0,2,2,0,13,8,34,162,47
2018-01-01,3,18,0,2,0,2,2,0,18,36,162,205,47
2018-02-01,2,32,0,2,0,2,1,0,16,9,43,170,47
2018-03-01,5,32,2,4,2,5,2,0,9,4,55,241,53
2018-04-01,2,4,0,2,0,2,2,1,11,8,37,214,58
2018-05-01,4,34,0,3,0,0,0,0,14,10,81,270,49
2018-06-01,5,56,1,4,1,1,3,1,16,11,67,292,57
2018-07-01,2,20,0,2,0,2,2,0,14,8,66,258,55
2018-08-01,4,26,0,3,0,1,0,0,19,8,45,340,68
2018-09-01,2,12,0,2,0,0,1,0,9,5,56,286,56
2018-10-01,2,22,0,1,0,1,0,0,20,17,98,417,67
2018-11-01,4,16,1,2,0,1,0,1,15,9,34,328,72
2018-12-01,1,30,0,1,0,0,0,0,10,13,51,324,70
2019-01-01,3,46,2,3,1,1,0,1,13,10,49,217,50
2019-02-01,1,20,0,1,0,4,2,0,13,8,37,237,41
2019-03-01,1,64,0,1,0,1,1,0,13,6,60,262,64
2019-04-01,2,12,0,1,0,0,1,0,15,13,40,228,61
2019-05-01,3,40,0,2,0,1,1,0,22,9,71,333,85
2019-06-01,3,26,0,2,0,2,1,0,25,38,171,274,78
2019-07-01,4,48,1,2,0,3,3,1,24,43,239,221,71
2019-08-01,3,16,0,2,0,3,3,0,47,27,224,435,73
2019-09-01,4,13,2,2,0,3,2,1,34,16,125,242,61
2019-10-01,5,17,2,4,1,5,2,2,52,27,202,285,65
2019-11-01,7,23,3,4,2,3,1,3,36,26,123,3231,304
2019-12-01,2,13,0,1,0,1,0,0,27,13,96,646,104
2020-01-01,3,16,0,2,0,2,1,0,43,33,214,404,61
2020-02-01,3,14,0,2,0,2,1,0,43,25,132,276,64
2020-03-01,3,15,0,2,0,4,1,0,45,23,176,564,120
2020-04-01,6,21,3,5,2,5,2,2,56,28,216,542,98
2020-05-01,4,14,0,3,0,0,2,1,53,26,195,776,143
2020-06-01,2,13,0,1,0,2,3,0,59,48,214,456,80
2020-07-01,2,26,0,1,0,5,6,0,60,47,278,506,116
2020-08-01,4,18,1,2,0,5,2,2,72,42,200,1105,156
