dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,5,58,5,4,4,4,0,2,11,5,55,421,8
2015-04-01,7,127,5,5,2,12,5,8,34,36,288,979,34
2015-05-01,3,85,2,3,1,15,2,13,42,39,230,70,7
2015-06-01,3,41,2,2,0,10,7,4,32,28,218,255,4
2015-07-01,7,44,6,6,4,20,10,7,55,48,264,141,19
2015-08-01,2,12,1,2,1,6,1,3,15,13,75,120,19
2015-09-01,7,35,5,5,2,16,4,10,36,30,165,104,10
2015-10-01,10,44,7,9,6,11,2,10,22,24,131,171,11
2015-11-01,4,28,3,3,1,6,5,5,29,31,199,121,17
2015-12-01,2,9,1,2,1,8,1,1,27,10,182,131,9
2016-01-01,2,6,1,2,1,14,4,7,48,26,154,143,20
2016-02-01,2,33,0,2,0,7,2,4,25,24,218,106,11
2016-03-01,8,101,5,8,5,18,13,6,63,70,384,152,22
2016-04-01,9,61,7,6,1,17,7,7,56,43,324,964,30
2016-05-01,4,43,2,4,1,7,1,4,39,32,251,229,17
2016-06-01,7,39,3,7,1,18,10,9,54,56,315,343,23
2016-07-01,2,17,1,2,0,5,3,2,20,17,177,167,12
2016-08-01,6,28,5,2,0,12,7,5,34,35,192,171,23
2016-09-01,3,36,2,3,1,7,7,4,25,30,236,264,21
2016-10-01,2,40,1,2,0,3,1,5,35,32,195,241,23
2016-11-01,6,40,3,5,1,12,11,8,55,58,492,195,20
2016-12-01,7,30,5,5,1,16,4,8,35,29,273,199,26
2017-01-01,10,42,7,8,3,16,8,10,39,40,225,223,31
2017-02-01,5,27,4,5,2,11,2,3,33,18,217,208,24
2017-03-01,4,20,3,3,1,5,0,4,30,28,157,297,28
2017-04-01,7,20,5,5,2,7,1,7,24,24,113,299,20
2017-05-01,2,10,1,2,0,3,1,1,22,29,176,280,21
2017-06-01,6,33,3,6,1,8,3,6,24,29,200,232,30
2017-07-01,5,5,5,5,3,8,1,5,14,10,78,216,30
2017-08-01,5,12,4,3,0,12,3,5,22,20,139,196,20
2017-09-01,1,5,0,1,0,3,1,0,11,8,51,239,22
2017-10-01,2,2,1,2,0,2,0,0,9,6,53,204,17
2017-11-01,2,2,1,2,0,5,1,1,17,11,86,234,27
2017-12-01,3,9,2,2,0,2,2,2,6,7,51,234,15
2018-01-01,4,10,3,3,1,5,1,4,14,10,53,282,19
2018-02-01,5,12,4,3,0,9,1,8,14,16,156,242,21
2018-03-01,7,24,5,6,2,10,2,7,26,21,140,313,29
2018-04-01,3,14,1,3,1,11,2,6,24,15,134,329,35
2018-05-01,2,3,2,2,2,4,2,1,19,10,84,304,30
2018-06-01,5,8,3,3,0,10,2,3,17,6,49,330,43
2018-07-01,3,5,1,3,0,8,1,4,13,10,134,318,27
2018-08-01,6,6,5,4,2,7,1,5,18,11,96,330,26
2018-09-01,7,8,5,4,2,7,0,8,10,11,102,268,22
2018-10-01,8,9,3,5,1,12,1,8,16,19,97,281,32
2018-11-01,1,4,0,1,0,9,0,0,21,4,76,279,24
2018-12-01,1,1,1,1,0,4,30,1,8,125,430,275,24
2019-01-01,6,11,3,4,1,12,4,6,30,25,356,313,32
2019-02-01,5,8,4,4,2,12,6,8,21,25,302,246,37
2019-03-01,5,6,5,4,2,9,1,5,20,19,141,261,40
2019-04-01,2,10,1,2,1,2,13,1,13,21,127,417,27
2019-05-01,3,3,3,3,2,9,4,3,16,13,93,339,33
2019-06-01,6,8,5,6,3,5,2,6,14,22,124,281,36
2019-07-01,4,8,3,2,0,4,1,4,17,14,64,312,30
2019-08-01,3,9,1,3,1,5,0,2,19,15,110,293,40
2019-09-01,1,1,1,1,0,6,1,1,17,12,73,272,27
2019-10-01,5,14,4,5,2,9,5,3,25,22,169,265,40
2019-11-01,1,1,1,1,0,10,2,1,18,13,61,459,30
2019-12-01,2,5,0,2,0,6,7,1,14,17,110,270,25
2020-01-01,7,9,6,3,0,9,9,9,27,30,168,289,25
2020-02-01,5,7,3,5,1,6,2,5,23,20,153,237,20
2020-03-01,3,4,2,3,0,10,6,3,27,21,157,280,28
2020-04-01,5,6,4,4,2,8,5,4,17,22,118,290,24
2020-05-01,2,2,1,2,1,4,5,1,20,23,110,265,30
2020-06-01,0,0,0,0,0,7,4,0,17,14,56,257,22
2020-07-01,5,8,3,5,1,4,1,6,17,24,87,310,22
2020-08-01,4,4,3,4,0,4,2,3,12,17,40,242,24
