dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,4,77,1,3,0,2,0,2,2,2,0,8,0
2016-03-01,2,6,0,2,0,0,0,0,0,0,0,1,0
2016-04-01,4,23,0,3,0,0,0,0,3,3,0,3,1
2016-05-01,4,29,0,3,0,0,0,0,5,5,0,4,0
2016-06-01,3,25,0,2,0,1,0,1,2,2,0,0,0
2016-07-01,3,44,0,2,0,2,0,2,3,3,2,0,0
2016-08-01,3,98,0,2,0,3,0,3,3,3,0,2,1
2016-09-01,4,8,1,2,0,2,0,2,2,2,2,3,1
2016-10-01,3,15,1,2,0,0,0,0,0,0,0,2,2
2016-11-01,3,34,0,2,0,0,0,0,1,1,14,4,0
2016-12-01,2,39,0,2,0,0,0,0,0,0,0,0,0
2017-01-01,4,98,0,2,0,0,0,0,2,2,0,1,0
2017-02-01,5,165,0,2,0,0,0,0,3,3,0,2,0
2017-03-01,5,87,0,2,0,17,1,16,26,26,32,15,6
2017-04-01,5,52,1,3,1,32,0,31,32,31,8,7,3
2017-05-01,3,3,0,2,0,2,0,2,5,3,10,9,2
2017-06-01,2,8,0,1,0,9,0,8,12,11,7,8,1
2017-07-01,3,17,1,2,0,12,1,11,21,17,36,12,3
2017-08-01,5,15,1,2,0,14,1,15,27,26,107,20,3
2017-09-01,5,18,1,2,0,17,0,16,24,27,102,13,2
2017-10-01,3,11,0,2,0,15,1,11,29,24,111,9,0
2017-11-01,5,27,0,3,0,28,1,26,47,42,116,28,1
2017-12-01,8,47,2,3,0,40,6,35,103,80,415,130,15
2018-01-01,10,20,5,5,2,29,2,18,69,50,309,143,25
2018-02-01,7,24,2,4,1,21,4,22,46,50,173,39,7
2018-03-01,8,44,2,3,0,37,3,39,61,82,265,33,7
2018-04-01,5,13,1,2,0,17,1,11,52,53,300,33,7
2018-05-01,10,23,4,6,3,19,4,19,31,37,148,21,9
2018-06-01,6,12,0,2,0,15,1,8,39,23,140,23,6
2018-07-01,5,10,1,2,0,9,2,10,15,18,103,15,3
2018-08-01,4,10,0,2,0,12,0,9,21,18,69,19,2
2018-09-01,4,26,0,2,0,30,6,24,38,45,131,15,2
2018-10-01,4,14,0,2,0,12,2,10,25,28,143,17,2
2018-11-01,4,5,1,2,0,13,2,5,19,13,67,10,0
2018-12-01,6,11,0,4,0,18,1,10,28,14,81,11,2
2019-01-01,8,40,0,4,0,29,7,26,50,47,208,19,4
2019-02-01,5,21,0,2,0,19,2,21,37,39,170,15,3
2019-03-01,5,40,1,4,0,32,5,23,43,37,90,12,5
2019-04-01,7,33,1,4,0,40,5,32,51,45,152,20,4
2019-05-01,5,21,1,3,0,26,1,21,42,31,177,19,4
2019-06-01,6,18,1,3,0,23,2,18,34,33,217,8,5
2019-07-01,5,28,0,3,0,30,5,28,38,37,202,8,2
2019-08-01,4,11,0,2,0,15,3,11,22,42,253,5,1
2019-09-01,5,27,0,3,0,31,13,27,38,46,277,6,2
2019-10-01,4,16,0,2,0,29,8,16,40,32,170,8,8
2019-11-01,6,20,0,2,0,26,4,20,30,30,83,5,2
2019-12-01,6,21,2,3,1,32,5,21,39,31,202,7,6
2020-01-01,7,34,2,4,1,30,3,34,34,50,222,10,3
2020-02-01,7,21,0,4,0,29,4,21,36,27,158,7,2
2020-03-01,3,20,0,2,0,22,6,20,25,32,163,7,3
2020-04-01,4,31,0,2,0,33,1,31,42,37,176,4,2
2020-05-01,7,23,1,3,0,26,1,23,37,43,120,6,7
2020-06-01,5,23,0,2,0,24,7,23,36,47,149,9,0
2020-07-01,6,22,2,1,0,23,1,22,27,26,70,11,2
2020-08-01,3,5,0,1,0,10,1,5,19,13,45,4,2
