dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-12-01,6,52,6,3,2,16,4,12,17,17,20,14,2
2016-01-01,6,26,2,2,0,6,0,5,18,8,55,42,6
2016-02-01,9,60,4,4,2,15,1,10,29,19,123,13,4
2016-03-01,6,27,0,3,0,11,3,12,12,15,60,8,3
2016-04-01,10,43,2,4,0,23,1,19,25,28,180,21,5
2016-05-01,10,33,1,3,0,12,0,10,12,11,42,16,1
2016-06-01,4,11,0,2,0,6,1,5,8,9,57,10,4
2016-07-01,8,12,2,5,1,5,1,7,11,9,46,9,4
2016-08-01,5,14,1,3,0,4,0,4,6,8,30,23,3
2016-09-01,10,21,3,4,1,8,0,8,15,10,26,13,3
2016-10-01,5,11,0,2,0,5,0,6,11,12,12,17,5
2016-11-01,4,17,1,3,0,5,0,5,7,7,33,18,7
2016-12-01,4,7,0,2,0,5,1,3,6,6,11,12,1
2017-01-01,4,24,0,2,0,12,2,12,13,15,37,16,1
2017-02-01,7,24,1,3,1,15,3,12,19,18,45,10,2
2017-03-01,10,38,4,6,2,21,1,13,38,22,143,11,6
2017-04-01,6,34,0,5,0,19,2,19,28,32,197,12,2
2017-05-01,4,4,3,3,2,3,2,1,3,3,33,6,5
2017-06-01,4,10,0,4,0,5,2,4,11,7,75,13,5
2017-07-01,4,12,0,4,0,5,0,4,8,10,77,8,2
2017-08-01,10,51,1,7,1,23,4,23,41,41,171,20,2
2017-09-01,6,22,1,6,1,10,0,8,25,11,61,28,6
2017-10-01,9,21,3,6,1,12,0,10,23,13,72,28,11
2017-11-01,8,36,3,4,0,17,1,16,29,29,263,48,7
2017-12-01,12,26,6,5,0,12,1,7,17,9,79,32,6
2018-01-01,9,25,3,5,0,11,0,9,23,13,80,20,5
2018-02-01,6,36,0,4,0,10,0,10,17,16,93,17,4
2018-03-01,9,38,2,4,1,9,1,13,20,22,127,16,13
2018-04-01,5,14,1,4,1,9,2,5,14,8,132,23,8
2018-05-01,10,23,5,6,2,11,1,12,18,28,124,34,3
2018-06-01,8,21,1,5,0,11,1,10,21,18,124,95,16
2018-07-01,7,63,1,4,1,33,8,21,40,34,227,36,8
2018-08-01,8,25,3,5,1,16,1,8,20,11,106,19,5
2018-09-01,6,34,0,4,0,15,6,13,20,25,135,62,22
2018-10-01,5,6,2,4,1,5,1,3,6,5,23,29,6
2018-11-01,8,27,1,4,1,14,3,13,24,21,232,26,6
2018-12-01,8,21,1,6,0,17,2,10,21,18,260,48,9
2019-01-01,9,23,1,6,1,10,1,13,16,18,81,20,5
2019-02-01,5,7,1,3,0,3,2,5,5,11,93,28,6
2019-03-01,2,3,0,2,0,1,0,2,4,6,43,67,6
2019-04-01,6,23,0,4,0,12,1,12,12,14,71,29,9
2019-05-01,6,7,0,5,0,5,3,2,9,7,43,22,3
2019-06-01,0,0,0,0,0,0,1,0,3,2,16,15,3
2019-07-01,5,10,0,4,0,6,0,2,10,3,29,33,4
2019-08-01,0,0,0,0,0,0,0,0,8,2,35,28,3
2019-09-01,6,10,5,5,2,9,1,3,10,6,80,32,6
2019-10-01,7,9,1,5,0,7,1,4,13,6,104,52,9
2019-11-01,7,16,0,5,0,6,3,7,7,12,71,27,2
2019-12-01,8,15,3,4,0,6,2,7,7,12,106,24,6
2020-01-01,8,12,2,5,1,6,1,6,7,8,79,20,8
2020-02-01,9,11,4,4,0,9,3,3,14,8,159,50,11
2020-03-01,8,23,3,5,2,16,6,11,24,20,126,21,4
2020-04-01,11,52,3,4,0,39,7,23,47,40,397,31,10
2020-05-01,9,57,1,4,0,20,2,23,30,38,223,20,8
2020-06-01,11,28,1,6,1,16,0,10,23,15,183,51,9
2020-07-01,11,56,1,6,0,25,4,25,31,44,252,55,12
2020-08-01,9,40,3,5,0,13,4,13,31,36,205,34,17
