dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-09-01,3,87,3,3,3,2,0,2,11,2,44,70,7
2016-10-01,1,1,0,1,0,0,0,0,2,0,6,24,3
2016-11-01,2,22,1,2,1,2,1,1,10,2,18,20,5
2016-12-01,2,171,1,2,1,1,0,1,20,23,76,16,3
2017-01-01,5,151,4,5,3,8,0,8,51,51,238,75,7
2017-02-01,1,1,1,1,1,0,0,0,5,2,16,28,4
2017-03-01,4,19,2,4,1,6,0,6,22,12,83,18,7
2017-04-01,4,36,2,4,0,9,0,5,15,17,135,18,4
2017-05-01,2,5,1,2,1,4,0,1,6,1,13,17,6
2017-06-01,3,12,1,3,0,5,0,7,9,7,52,21,3
2017-07-01,2,7,0,2,0,1,0,4,2,5,27,39,2
2017-08-01,0,0,0,0,0,0,0,0,3,0,29,21,2
2017-09-01,0,0,0,0,0,0,0,0,4,1,35,24,4
2017-10-01,6,42,4,6,3,16,1,14,26,27,229,27,4
2017-11-01,3,76,0,3,0,15,2,14,21,26,129,18,3
2017-12-01,1,2,0,1,0,1,0,0,4,1,40,23,3
2018-01-01,4,56,1,4,0,10,3,10,19,26,251,25,3
2018-02-01,3,40,1,3,0,14,1,13,40,28,154,17,2
2018-03-01,4,8,3,4,2,2,0,0,3,0,8,28,6
2018-04-01,4,51,1,4,1,11,1,12,16,21,104,9,3
2018-05-01,2,47,0,2,0,14,0,12,22,16,42,23,3
2018-06-01,4,36,2,4,1,9,2,8,24,19,113,18,7
2018-07-01,3,27,0,3,0,8,0,8,18,15,86,15,6
2018-08-01,4,20,1,4,0,9,0,5,16,12,72,16,7
2018-09-01,4,64,0,4,0,16,1,17,35,30,160,22,4
2018-10-01,4,84,1,4,1,24,0,24,51,47,209,8,3
2018-11-01,5,36,2,5,1,12,0,10,21,17,96,21,7
2018-12-01,1,1,0,1,0,1,0,0,2,0,11,26,3
2019-01-01,4,22,2,4,2,7,0,8,12,12,66,24,6
2019-02-01,1,9,0,1,0,5,0,5,8,8,19,15,1
2019-03-01,1,11,0,1,0,5,0,5,8,7,23,18,2
2019-04-01,3,13,2,3,2,4,0,6,6,7,31,15,5
2019-05-01,3,39,0,3,0,11,0,8,12,13,59,23,0
2019-06-01,3,30,0,3,0,6,1,7,13,21,112,26,1
2019-07-01,1,12,0,1,0,4,0,5,7,7,23,13,2
2019-08-01,3,11,1,3,0,4,0,2,5,2,16,10,1
2019-09-01,1,1,0,1,0,0,0,1,1,3,12,15,1
2019-10-01,5,114,1,5,1,26,0,25,37,39,232,17,2
2019-11-01,0,0,0,0,0,0,0,0,1,1,9,13,7
2019-12-01,0,0,0,0,0,0,0,0,4,1,16,21,3
2020-01-01,3,52,0,3,0,14,0,15,19,28,208,21,6
2020-02-01,3,64,0,3,0,8,0,7,9,8,90,13,8
2020-03-01,3,19,0,3,0,4,0,5,8,11,102,17,2
2020-04-01,5,61,2,4,1,20,0,20,45,37,182,29,9
2020-05-01,4,48,1,3,0,17,1,17,24,29,146,26,8
2020-06-01,4,42,0,3,0,5,0,6,10,10,78,12,5
2020-07-01,1,2,0,1,0,2,0,1,13,6,36,35,11
