dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-05-01,1,34,1,1,1,0,0,0,5,1,4,0,0
2016-06-01,2,125,1,2,1,0,0,0,30,24,15,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,1,19,0,1,0,0,0,0,6,6,4,0,0
2016-09-01,5,69,3,3,1,11,0,11,41,35,268,6,2
2016-10-01,5,24,3,4,2,7,3,4,28,19,117,3,3
2016-11-01,4,114,1,3,0,8,2,6,42,44,255,7,1
2016-12-01,6,142,3,4,2,8,0,8,74,59,417,146,13
2017-01-01,9,129,3,5,2,32,3,25,109,90,671,70,8
2017-02-01,13,84,7,4,2,29,5,24,62,60,494,24,8
2017-03-01,8,63,2,3,1,18,1,17,50,49,180,21,3
2017-04-01,9,149,4,3,1,18,5,14,67,64,248,16,12
2017-05-01,11,70,6,4,2,16,2,16,53,49,355,23,5
2017-06-01,6,53,1,4,1,15,2,11,42,32,183,13,3
2017-07-01,8,70,4,3,0,31,2,25,47,39,306,11,6
2017-08-01,12,68,3,3,0,34,5,35,65,63,384,9,4
2017-09-01,10,104,5,2,0,39,0,38,62,63,295,6,8
2017-10-01,10,85,2,4,1,14,0,12,26,29,161,9,4
2017-11-01,10,73,2,3,0,32,4,27,72,55,287,27,9
2017-12-01,13,107,6,4,1,37,3,31,83,80,839,72,15
2018-01-01,12,125,5,5,3,43,3,46,90,91,784,39,6
2018-02-01,17,70,7,7,3,55,5,52,109,109,692,10,9
2018-03-01,14,131,3,7,1,66,0,64,118,111,716,18,4
2018-04-01,12,84,2,6,1,44,0,40,82,70,531,17,4
2018-05-01,13,62,2,4,0,49,1,52,70,107,671,22,0
2018-06-01,12,34,3,5,1,29,5,22,57,48,432,12,4
2018-07-01,10,44,0,6,0,26,1,25,50,44,239,10,6
2018-08-01,15,45,1,6,1,32,3,29,51,46,228,35,5
2018-09-01,8,22,0,4,0,14,2,14,26,39,290,19,3
2018-10-01,12,36,1,4,0,23,2,22,44,46,285,14,2
2018-11-01,10,29,1,5,0,17,0,18,32,29,181,12,4
2018-12-01,7,27,1,4,1,15,0,15,28,28,163,10,3
2019-01-01,10,21,3,2,0,18,0,16,33,27,157,25,5
2019-02-01,12,18,4,4,1,18,1,16,32,35,204,16,5
2019-03-01,11,41,5,7,3,19,1,21,25,33,169,26,8
2019-04-01,7,27,1,2,0,14,1,12,23,21,112,20,3
2019-05-01,11,20,4,2,0,24,3,18,45,31,205,36,10
2019-06-01,9,12,2,4,1,7,0,9,15,18,145,29,4
2019-07-01,8,15,4,3,0,15,0,11,22,18,119,33,7
2019-08-01,12,15,5,4,2,15,0,13,26,20,100,41,10
2019-09-01,12,24,3,5,0,18,3,21,41,41,296,238,33
2019-10-01,33,60,23,11,5,69,6,52,92,87,455,143,81
2019-11-01,15,22,5,2,0,16,2,18,30,31,129,41,4
2019-12-01,10,19,3,4,0,14,3,15,22,31,146,25,5
2020-01-01,17,38,8,6,3,38,2,35,60,83,586,50,12
2020-02-01,15,39,4,6,1,42,5,34,62,48,164,33,9
2020-03-01,13,49,3,7,0,46,4,40,87,75,490,24,13
2020-04-01,17,69,3,6,1,72,4,66,102,97,311,30,9
2020-05-01,20,47,7,8,3,53,6,47,89,77,431,33,19
2020-06-01,10,17,5,4,1,18,4,15,28,39,183,35,7
2020-07-01,14,28,2,3,1,30,2,28,48,46,122,26,13
2020-08-01,6,9,3,4,1,12,2,9,25,18,53,16,19
