dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,3,37,3,1,1,16,1,11,34,18,25,10,2
2017-01-01,8,208,6,6,5,137,16,118,154,150,163,1,4
2017-02-01,7,487,1,5,1,272,4,270,290,285,95,11,4
2017-03-01,10,336,7,6,3,217,5,206,231,223,153,9,7
2017-04-01,8,424,0,5,0,332,16,318,337,341,158,6,2
2017-05-01,18,149,11,10,4,130,8,123,137,149,131,378,63
2017-06-01,6,216,3,3,0,151,4,146,151,151,38,66,8
2017-07-01,5,177,0,3,0,81,1,80,85,84,16,14,5
2017-08-01,6,106,3,5,2,51,1,49,55,54,28,19,4
2017-09-01,6,168,3,5,2,93,2,92,95,94,12,21,3
2017-10-01,10,239,3,6,1,141,13,123,152,148,34,16,7
2017-11-01,15,165,6,8,1,77,8,75,114,113,30,14,2
2017-12-01,16,116,1,6,0,31,3,24,117,112,86,13,2
2018-01-01,12,140,1,8,1,90,7,91,155,157,79,15,4
2018-02-01,18,293,5,9,2,12,1,10,134,136,77,8,0
2018-03-01,15,158,2,7,1,24,1,21,70,73,62,7,2
2018-04-01,12,152,0,5,0,41,0,31,76,71,46,8,4
2018-05-01,13,171,0,5,0,83,4,81,88,90,48,10,3
2018-06-01,11,149,0,5,0,76,8,70,79,81,37,5,6
2018-07-01,8,127,0,5,0,62,3,62,63,65,8,4,3
2018-08-01,7,68,0,4,0,38,1,33,39,34,9,3,3
2018-09-01,9,149,1,4,0,75,4,70,78,75,14,5,1
2018-10-01,12,160,0,5,0,77,2,71,86,83,14,3,2
2018-11-01,9,159,0,4,0,76,0,75,79,77,14,3,0
2018-12-01,14,315,4,5,1,36,3,31,115,103,12,3,3
2019-01-01,14,526,2,7,2,57,7,50,248,256,27,4,1
2019-02-01,17,421,1,7,0,87,9,83,179,177,27,10,3
2019-03-01,11,145,0,4,0,65,3,60,79,77,8,7,7
2019-04-01,9,129,0,5,0,62,3,56,107,101,11,2,3
2019-05-01,7,183,1,5,0,75,4,69,79,80,33,10,4
2019-06-01,12,252,3,5,0,97,3,90,106,103,33,1,0
2019-07-01,9,209,0,6,0,92,0,88,94,91,21,4,3
2019-08-01,6,83,0,5,0,39,1,40,39,41,4,3,0
2019-09-01,4,78,0,4,0,33,0,31,33,31,8,1,3
2019-10-01,5,146,1,4,0,69,1,68,71,71,9,2,1
2019-11-01,5,120,1,4,0,54,2,50,58,56,7,5,3
2019-12-01,4,131,0,4,0,39,1,35,43,40,38,8,1
2020-01-01,6,169,2,5,0,66,3,57,67,61,11,9,2
2020-02-01,7,126,1,5,0,50,0,47,50,47,11,6,4
2020-03-01,9,217,1,6,1,102,11,88,105,103,41,4,2
2020-04-01,6,160,1,5,1,56,0,56,61,61,16,7,0
2020-05-01,6,176,0,5,0,74,4,65,76,71,44,4,1
2020-06-01,8,207,0,6,0,74,2,73,77,78,20,1,0
2020-07-01,7,140,0,5,0,57,2,42,60,44,11,3,4
2020-08-01,8,222,0,6,0,101,7,98,101,107,28,2,0
