dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,4,123,2,2,1,0,0,0,2,2,6,2,0
2015-04-01,5,144,3,3,2,3,0,3,27,18,184,12,1
2015-05-01,2,62,0,2,0,1,0,1,12,12,75,1,0
2015-06-01,2,58,1,1,0,1,0,1,16,14,82,6,3
2015-07-01,2,61,1,2,1,4,0,4,14,12,54,3,2
2015-08-01,2,42,1,1,0,1,0,1,16,13,145,29,2
2015-09-01,2,58,0,2,0,1,0,1,25,15,111,47,1
2015-10-01,1,14,0,1,0,0,0,0,11,15,64,29,1
2015-11-01,19,217,18,12,11,40,6,28,208,122,1390,245,39
2015-12-01,8,236,5,5,3,51,15,26,236,210,2814,45,10
2016-01-01,6,124,4,3,1,32,5,13,173,107,1566,28,11
2016-02-01,10,87,6,6,2,24,5,14,85,55,597,34,14
2016-03-01,8,68,3,5,1,24,6,8,74,42,798,29,9
2016-04-01,10,338,4,8,2,37,27,22,117,188,2659,20,7
2016-05-01,10,271,2,7,0,33,11,17,160,95,1498,28,9
2016-06-01,10,119,5,6,2,27,7,18,112,79,996,22,6
2016-07-01,11,81,2,6,0,26,5,21,102,50,653,15,5
2016-08-01,11,100,3,4,1,19,27,11,126,250,2766,30,8
2016-09-01,7,99,2,5,1,31,9,15,139,103,1431,30,4
2016-10-01,9,77,4,6,2,30,7,13,147,122,2000,38,13
2016-11-01,6,46,2,4,0,15,3,7,65,40,755,39,6
2016-12-01,11,132,4,5,1,27,2,19,91,58,1063,45,10
2017-01-01,19,112,8,10,5,48,6,29,127,141,1938,36,15
2017-02-01,9,81,2,3,0,20,8,18,114,75,1475,29,10
2017-03-01,4,47,2,1,0,28,17,6,143,78,2029,21,10
2017-04-01,7,85,3,3,0,45,12,14,124,82,1386,22,11
2017-05-01,12,107,4,5,1,49,45,25,120,158,2074,29,8
2017-06-01,11,108,4,5,1,52,10,32,98,76,967,32,12
2017-07-01,10,130,3,3,0,74,19,34,184,146,1814,31,7
2017-08-01,9,85,2,5,1,46,6,27,120,112,1471,30,11
2017-09-01,13,51,4,3,0,53,5,31,105,105,1270,39,8
2017-10-01,14,89,1,5,0,52,64,55,94,141,1470,36,7
2017-11-01,14,83,4,3,0,72,18,25,131,79,1466,47,4
2017-12-01,16,78,4,4,0,82,16,49,160,98,1759,73,15
2018-01-01,17,85,5,6,1,80,41,51,141,222,3131,47,12
2018-02-01,5,6,1,3,0,18,7,7,35,20,348,36,8
2018-03-01,1,1,0,1,0,6,2,0,16,8,143,26,7
2018-04-01,4,11,2,3,2,27,7,5,58,32,521,32,15
2018-05-01,7,12,3,2,0,11,3,8,24,14,187,23,7
2018-06-01,13,42,3,5,0,25,13,19,54,61,838,33,7
2018-07-01,12,35,1,6,0,33,23,25,66,80,709,35,9
2018-08-01,9,15,3,6,3,17,5,10,44,31,520,27,7
2018-09-01,5,9,1,2,0,24,11,5,42,22,525,31,4
2018-10-01,3,3,0,2,0,9,3,0,17,6,115,62,7
2018-11-01,17,70,5,4,0,46,32,53,70,140,1995,34,8
2018-12-01,9,24,0,3,0,30,11,15,57,40,468,44,5
2019-01-01,11,53,4,4,1,35,19,18,58,54,818,28,10
2019-02-01,14,31,4,7,4,26,9,22,41,39,471,20,7
2019-03-01,12,82,2,3,0,21,18,20,41,49,598,16,6
2019-04-01,10,100,2,2,0,20,1,11,28,15,210,34,7
2019-05-01,8,39,1,3,0,28,4,17,49,115,973,57,10
2019-06-01,8,46,2,4,0,45,4,26,83,68,749,224,20
2019-07-01,9,20,3,2,0,26,10,15,47,31,505,53,7
2019-08-01,14,22,7,6,3,32,3,18,55,32,395,33,14
2019-09-01,10,45,2,2,0,28,3,17,56,29,426,33,6
2019-10-01,15,57,2,4,1,35,3,38,68,65,619,44,6
2019-11-01,12,35,1,4,0,28,5,21,65,42,414,34,7
2019-12-01,6,13,1,2,0,13,2,8,36,19,245,29,6
2020-01-01,16,44,5,3,0,30,3,34,52,62,453,57,17
2020-02-01,16,53,4,4,0,40,3,34,81,66,582,29,11
2020-03-01,13,81,3,3,0,59,7,40,104,78,736,40,8
2020-04-01,10,64,2,3,0,35,9,18,59,49,759,31,14
2020-05-01,13,46,6,5,2,45,9,13,93,55,577,49,11
2020-06-01,12,39,1,3,0,11,1,27,20,40,297,27,8
2020-07-01,18,49,3,3,1,27,22,32,55,91,782,25,15
2020-08-01,16,62,4,4,0,46,7,44,74,72,388,26,16
