dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-11-01,4,110,4,4,4,0,0,0,22,10,7,43,3
2016-12-01,4,174,1,4,1,0,0,0,23,9,13,18,2
2017-01-01,4,177,0,4,0,0,0,0,33,47,25,3,1
2017-02-01,3,68,0,3,0,0,0,0,23,14,17,3,1
2017-03-01,4,156,0,4,0,0,0,0,19,24,9,2,1
2017-04-01,4,92,1,4,1,0,0,0,24,17,14,5,0
2017-05-01,5,117,1,4,0,3,1,0,19,18,18,0,0
2017-06-01,6,136,2,5,2,0,0,0,10,10,8,3,1
2017-07-01,4,97,0,3,0,0,0,0,12,11,9,2,1
2017-08-01,6,126,2,4,1,0,0,0,19,7,5,9,0
2017-09-01,8,363,3,5,1,1,1,0,17,28,3,2,2
2017-10-01,5,174,1,4,1,4,3,0,18,17,7,6,2
2017-11-01,8,438,2,4,0,2,2,0,57,36,30,6,1
2017-12-01,8,155,2,6,1,2,2,0,11,23,38,3,0
2018-01-01,11,206,2,6,0,1,0,0,13,6,0,9,0
2018-02-01,14,381,5,6,2,7,4,4,34,43,20,2,1
2018-03-01,9,390,0,5,0,0,0,0,38,23,14,3,2
2018-04-01,11,418,0,6,0,2,2,0,69,82,33,3,1
2018-05-01,9,162,0,4,0,0,0,0,33,20,10,4,4
2018-06-01,5,99,0,4,0,0,0,0,13,1,12,10,1
2018-07-01,9,140,2,5,1,0,0,0,28,26,10,7,3
2018-08-01,10,274,2,4,0,2,0,2,38,26,11,112,11
2018-09-01,9,392,1,5,1,0,0,0,21,5,35,21,3
2018-10-01,25,532,17,13,7,10,5,1,154,149,180,39,23
2018-11-01,10,139,3,5,1,0,5,0,16,48,31,18,5
2018-12-01,10,90,1,3,0,0,2,0,28,18,16,4,4
2019-01-01,10,37,2,6,0,1,0,1,13,21,56,16,9
2019-02-01,9,33,2,6,2,0,0,0,19,11,14,9,2
2019-03-01,7,159,1,6,1,0,0,0,36,18,25,15,3
2019-04-01,20,251,8,8,1,1,0,0,42,65,60,73,10
2019-05-01,19,164,5,7,1,1,1,0,59,37,5,19,8
2019-06-01,13,211,0,6,0,1,1,0,29,24,4,13,4
2019-07-01,17,178,4,5,0,1,1,0,143,128,136,18,6
2019-08-01,12,97,2,7,2,1,0,0,105,119,176,19,6
2019-09-01,13,87,1,5,0,0,0,0,52,30,68,10,3
2019-10-01,23,217,7,10,4,5,5,1,111,80,178,25,4
2019-11-01,14,144,3,6,0,0,0,0,56,98,95,22,5
2019-12-01,15,205,2,5,0,1,1,0,84,79,107,40,30
2020-01-01,18,189,7,5,0,3,4,0,111,69,132,50,19
2020-02-01,10,61,1,4,0,0,0,0,48,29,55,32,11
2020-03-01,21,176,6,5,0,20,7,5,168,150,314,90,45
2020-04-01,20,171,4,7,0,9,7,5,98,94,122,159,27
2020-05-01,17,110,3,7,1,6,5,4,74,57,74,84,22
2020-06-01,10,81,0,5,0,3,1,0,35,15,54,63,23
2020-07-01,15,184,2,6,1,10,1,3,105,222,320,67,34
2020-08-01,16,85,5,7,1,25,22,1,85,82,190,74,58
