dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-12-01,0,0,0,0,0,0,0,0,1,0,3,2,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-05-01,1,24,1,1,1,0,0,0,0,0,0,2,0
2017-06-01,1,14,0,1,0,0,0,0,3,1,14,198,10
2017-07-01,1,1,1,1,1,0,0,0,9,0,20,184,8
2017-08-01,1,1,1,1,0,0,0,0,1,0,0,39,1
2017-09-01,0,0,0,0,0,0,0,0,1,0,4,25,2
2017-10-01,0,0,0,0,0,0,0,0,1,0,3,25,6
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,28,6
2017-12-01,1,2,0,1,0,0,0,0,3,2,8,124,2
2018-01-01,12,138,11,8,5,0,0,0,31,40,108,213,34
2018-02-01,34,287,30,17,13,0,0,0,62,53,48,1436,124
2018-03-01,60,613,47,23,14,0,0,0,182,167,149,525,114
2018-04-01,62,551,44,27,15,0,0,0,174,162,351,352,92
2018-05-01,35,149,20,14,4,0,0,0,66,36,71,308,76
2018-06-01,17,70,7,9,3,0,0,0,32,34,49,207,77
2018-07-01,22,218,12,13,6,0,0,0,84,105,54,219,76
2018-08-01,17,123,10,5,1,0,0,0,52,51,22,246,96
2018-09-01,10,108,6,4,0,0,0,0,30,17,37,171,73
2018-10-01,5,331,3,3,1,0,0,0,18,1,6,220,110
2018-11-01,6,98,4,5,0,0,0,0,18,85,147,246,114
2018-12-01,7,9,5,4,1,0,0,0,12,2,8,234,69
2019-01-01,4,5,4,1,0,0,0,0,15,4,16,133,75
2019-02-01,4,5,3,3,1,0,0,0,9,1,15,106,41
2019-03-01,1,1,0,1,0,0,0,0,6,0,6,121,56
2019-04-01,4,5,4,3,0,0,0,0,10,2,11,103,49
2019-05-01,4,5,3,2,0,0,0,0,7,1,4,108,57
2019-06-01,1,1,1,1,1,0,0,0,2,1,3,107,47
2019-07-01,0,0,0,0,0,0,0,0,2,0,2,99,45
2019-08-01,0,0,0,0,0,0,0,0,2,0,5,105,39
2019-09-01,0,0,0,0,0,0,0,0,2,1,0,76,38
2019-10-01,0,0,0,0,0,0,0,0,0,0,0,130,34
2019-11-01,1,1,1,1,0,0,0,0,1,0,1,93,34
2019-12-01,2,2,2,1,0,0,0,0,4,2,4,61,21
2020-01-01,5,132,3,4,1,0,0,0,21,64,90,82,27
2020-02-01,4,17,1,3,0,0,0,0,11,15,3,68,22
2020-03-01,1,1,1,1,0,0,0,0,5,0,19,68,29
2020-04-01,2,17,0,2,0,0,0,0,5,4,11,94,40
2020-05-01,2,3,1,2,0,0,0,0,8,4,7,89,24
2020-06-01,2,2,1,2,0,0,0,0,3,2,3,76,34
2020-07-01,4,10,2,3,0,0,0,0,18,5,5,194,59
