dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-02-01,25,123,10,8,2,0,0,0,4,3,56,0,0
2015-03-01,31,252,7,12,3,0,0,0,3,3,10,1,0
2015-04-01,25,238,4,10,3,0,0,0,10,8,39,0,0
2015-05-01,26,204,4,11,3,0,0,0,6,6,43,2,0
2015-06-01,23,103,5,8,2,0,0,0,3,3,12,0,0
2015-07-01,24,109,5,7,0,0,0,0,8,3,43,2,0
2015-08-01,18,205,1,6,0,0,0,0,6,1,46,1,0
2015-09-01,26,200,5,8,2,0,0,0,14,14,100,3,0
2015-10-01,28,266,7,14,5,0,0,0,13,14,107,1,2
2015-11-01,28,134,5,10,1,0,0,0,6,5,43,3,0
2015-12-01,31,170,8,17,5,0,0,0,13,8,110,2,2
2016-01-01,21,130,2,8,0,0,0,0,13,11,155,5,1
2016-02-01,27,191,5,8,1,0,0,0,9,12,73,4,0
2016-03-01,29,283,3,10,3,0,0,0,5,4,26,2,1
2016-04-01,19,260,3,10,1,0,0,0,8,7,40,3,2
2016-05-01,23,133,6,11,2,0,0,0,9,7,71,3,2
2016-06-01,16,133,2,7,1,0,0,0,17,14,115,3,0
2016-07-01,19,72,3,8,2,0,0,0,5,6,34,5,0
2016-08-01,16,88,2,8,0,0,0,0,7,5,65,14,2
2016-09-01,17,80,5,10,3,0,0,0,16,12,94,3,0
2016-10-01,13,107,4,7,1,0,0,0,6,7,59,5,2
2016-11-01,17,117,3,9,1,1,1,0,11,8,18,5,3
2016-12-01,15,69,2,9,2,0,0,0,13,7,71,4,1
2017-01-01,12,45,1,7,0,0,0,0,4,5,15,1,0
2017-02-01,15,90,2,8,0,0,0,0,12,11,60,2,1
2017-03-01,23,196,4,9,1,0,0,0,13,14,61,4,1
2017-04-01,25,157,5,13,3,0,0,0,11,9,82,0,0
2017-05-01,23,167,5,8,0,0,0,0,15,17,113,3,0
2017-06-01,20,198,1,10,1,0,0,0,20,7,88,1,0
2017-07-01,16,242,2,8,1,0,0,0,14,11,77,2,3
2017-08-01,20,92,4,10,2,0,0,0,5,4,27,0,1
2017-09-01,19,53,8,8,2,0,0,0,3,3,22,3,3
2017-10-01,14,58,3,8,1,0,0,0,18,15,99,1,1
2017-11-01,22,147,4,10,0,0,0,0,22,23,172,3,4
2017-12-01,10,85,2,7,0,0,0,0,2,2,0,1,0
2018-01-01,22,128,5,9,2,0,0,0,41,16,204,3,4
2018-02-01,23,159,5,10,3,0,0,0,13,13,124,4,3
2018-03-01,32,269,11,11,3,2,0,0,19,9,119,8,3
2018-04-01,26,230,7,10,2,3,0,0,18,9,92,1,0
2018-05-01,19,202,6,8,2,0,0,0,30,26,64,6,1
2018-06-01,11,173,0,3,0,0,0,0,24,16,60,10,3
2018-07-01,14,232,2,6,0,1,0,1,13,6,98,3,1
2018-08-01,22,179,8,9,3,1,0,0,7,1,50,7,0
2018-09-01,14,248,1,7,0,4,2,5,24,14,122,3,1
2018-10-01,23,150,6,10,4,9,2,8,52,32,181,7,2
2018-11-01,20,146,4,11,2,42,2,39,114,84,465,87,20
2018-12-01,12,61,2,7,0,39,3,28,105,78,518,86,23
2019-01-01,20,75,5,11,2,76,17,57,128,147,863,96,22
2019-02-01,21,103,6,10,2,86,11,77,145,164,702,79,22
2019-03-01,24,98,7,10,0,71,3,69,144,136,769,82,33
2019-04-01,25,266,7,10,1,221,7,207,289,284,1063,118,28
2019-05-01,15,102,2,6,0,91,5,86,132,119,574,84,24
2019-06-01,19,79,5,9,0,77,5,63,126,120,765,69,21
2019-07-01,18,188,4,8,2,166,6,161,216,201,716,75,25
2019-08-01,23,140,8,13,3,49,3,47,136,123,590,77,32
2019-09-01,10,158,0,4,0,40,2,31,153,130,532,90,29
2019-10-01,20,159,6,9,3,41,5,38,149,127,559,82,29
2019-11-01,18,125,1,7,0,54,8,43,144,136,658,66,38
2019-12-01,18,53,5,8,0,28,2,19,73,59,462,101,36
2020-01-01,19,68,6,6,3,43,6,42,91,132,672,65,24
2020-02-01,17,80,5,8,2,53,2,46,103,86,541,155,33
2020-03-01,12,61,2,6,1,41,30,40,75,162,895,91,41
2020-04-01,9,72,1,2,0,46,2,41,79,90,572,63,26
2020-05-01,12,46,3,5,1,33,2,31,54,165,664,59,25
2020-06-01,9,61,2,3,0,39,3,41,63,58,275,61,13
2020-07-01,10,33,1,3,0,20,0,19,42,28,145,56,17
2020-08-01,7,62,0,3,0,31,2,29,97,91,389,63,21
