dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,1,88,0,1,0,0,0,0,2,2,6,2,0
2015-11-01,1,27,0,1,0,0,0,0,0,0,0,1,0
2015-12-01,1,108,0,1,0,0,0,0,0,0,0,4,0
2016-01-01,2,43,1,2,1,0,0,0,0,0,0,3,0
2016-02-01,1,54,0,1,0,0,0,0,1,1,6,6,0
2016-03-01,2,154,1,2,1,0,0,0,1,0,3,2,0
2016-04-01,2,62,0,2,0,0,0,0,0,1,3,8,0
2016-05-01,2,126,0,2,0,0,0,0,1,1,10,2,0
2016-06-01,2,14,1,1,0,1,0,0,1,0,2,5,1
2016-07-01,3,44,0,3,0,0,0,1,0,1,2,2,0
2016-08-01,2,36,0,2,0,0,0,0,1,1,0,4,0
2016-09-01,1,41,0,1,0,0,0,0,0,0,0,0,0
2016-10-01,1,126,0,1,0,0,0,0,0,0,0,0,0
2016-11-01,1,97,0,1,0,0,0,0,2,2,16,2,0
2016-12-01,1,132,0,1,0,0,0,0,2,2,14,3,0
2017-01-01,1,87,0,1,0,0,0,0,0,0,0,5,0
2017-02-01,1,114,0,1,0,0,0,0,0,0,0,0,0
2017-03-01,1,195,0,1,0,0,0,0,9,0,20,4,0
2017-04-01,1,183,0,1,0,0,0,0,4,6,45,3,2
2017-05-01,3,152,0,2,0,1,0,1,5,4,37,7,2
2017-06-01,1,50,0,1,0,1,1,0,6,3,34,8,2
2017-07-01,1,52,0,1,0,0,0,0,6,5,72,9,1
2017-08-01,1,166,0,1,0,0,0,0,12,9,81,22,0
2017-09-01,3,205,1,2,0,1,0,1,15,12,98,16,3
2017-10-01,3,229,1,3,1,1,0,1,18,18,212,15,1
2017-11-01,1,195,0,1,0,0,0,0,14,13,109,36,0
2017-12-01,1,173,0,1,0,0,0,0,16,11,229,42,3
2018-01-01,3,149,1,3,1,1,0,1,16,12,141,12,1
2018-02-01,3,179,0,3,0,1,0,1,8,6,102,19,3
2018-03-01,4,203,1,3,1,2,0,2,14,19,165,23,5
2018-04-01,3,105,2,2,0,3,0,3,12,14,84,20,4
2018-05-01,3,185,1,3,1,1,0,0,17,15,108,24,1
2018-06-01,1,28,0,1,0,0,1,0,9,10,95,8,1
2018-07-01,4,32,1,3,0,2,0,1,11,7,80,19,4
2018-08-01,1,105,0,1,0,0,0,0,9,4,61,16,5
2018-09-01,1,147,0,1,0,0,0,0,8,7,92,19,9
2018-10-01,3,95,0,3,0,0,0,0,13,20,127,15,4
2018-11-01,2,141,0,1,0,0,0,0,22,18,199,21,8
2018-12-01,3,107,0,2,0,3,0,2,11,12,70,15,4
2019-01-01,5,68,2,3,1,2,1,2,14,17,158,33,7
2019-02-01,4,92,1,4,1,4,0,4,21,19,132,27,7
2019-03-01,4,78,1,3,1,3,1,2,17,14,106,35,9
2019-04-01,2,123,1,2,1,5,1,4,13,20,164,18,5
2019-05-01,4,180,2,4,2,3,1,3,25,25,252,31,7
2019-06-01,3,81,0,3,0,0,0,0,15,16,166,18,2
2019-07-01,3,85,1,3,1,2,0,2,24,25,344,21,3
2019-08-01,2,63,0,2,0,0,0,0,15,16,150,25,4
2019-09-01,1,32,0,1,0,0,0,0,8,5,35,13,5
2019-10-01,2,50,1,2,1,4,1,3,16,10,57,18,6
2019-11-01,2,41,0,2,0,2,1,1,13,8,40,13,6
2019-12-01,1,45,0,1,0,0,0,0,11,11,142,19,3
2020-01-01,1,34,0,1,0,0,0,0,10,8,48,29,4
2020-02-01,2,17,1,1,0,1,0,1,12,17,125,30,13
2020-03-01,2,39,1,1,0,1,0,1,14,11,61,19,8
2020-04-01,3,40,1,2,1,1,0,1,14,13,63,27,6
2020-05-01,2,26,1,2,1,2,0,2,19,22,161,20,6
2020-06-01,2,50,1,2,1,1,0,1,24,23,147,25,9
2020-07-01,3,77,1,3,1,3,0,3,29,33,355,26,5
2020-08-01,4,86,2,4,2,6,0,6,38,35,245,30,7
