dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-01-01,5,116,3,2,1,13,3,10,16,15,30,117,16
2017-02-01,2,14,0,1,0,0,0,0,0,0,0,91,12
2017-03-01,4,53,1,1,0,11,3,8,19,14,74,617,25
2017-04-01,7,89,3,2,1,19,1,13,38,22,154,905,31
2017-05-01,7,43,4,3,2,11,2,10,14,13,87,208,23
2017-06-01,2,12,1,1,0,2,3,1,8,5,51,149,8
2017-07-01,4,41,2,3,2,10,5,7,18,25,157,186,10
2017-08-01,7,83,5,4,2,24,7,15,45,36,345,2550,78
2017-09-01,16,124,10,9,6,44,9,25,87,58,761,739,55
2017-10-01,23,133,15,12,7,70,17,41,113,81,957,771,54
2017-11-01,15,88,8,8,4,31,13,26,58,79,740,617,44
2017-12-01,9,52,2,3,1,23,11,15,49,52,501,543,49
2018-01-01,8,24,3,5,1,10,7,6,30,24,242,638,61
2018-02-01,14,47,5,8,3,23,5,17,47,39,427,474,28
2018-03-01,17,88,6,7,1,38,13,29,74,70,635,520,56
2018-04-01,9,36,2,6,2,21,11,15,55,48,679,383,36
2018-05-01,8,24,3,4,1,14,1,8,35,27,341,384,38
2018-06-01,13,24,2,7,1,18,1,17,31,34,315,351,47
2018-07-01,10,45,3,5,2,21,2,21,57,43,688,348,24
2018-08-01,13,57,5,5,1,22,8,17,46,96,869,345,44
2018-09-01,11,46,2,6,0,29,4,23,49,40,321,345,30
2018-10-01,13,46,3,5,1,30,8,20,50,51,379,296,41
2018-11-01,17,36,8,8,3,30,9,21,46,41,281,309,42
2018-12-01,10,17,1,4,1,11,1,8,20,17,202,332,30
2019-01-01,19,64,9,8,3,41,5,35,66,66,619,350,37
2019-02-01,10,26,1,6,1,16,2,14,33,33,234,408,38
2019-03-01,8,25,1,5,0,15,4,10,37,34,274,428,39
2019-04-01,11,51,4,8,3,16,5,15,33,55,442,351,31
2019-05-01,11,27,5,5,2,19,3,13,30,26,224,323,29
2019-06-01,12,60,3,6,0,21,3,22,34,46,283,338,36
2019-07-01,9,29,5,5,2,16,3,12,28,24,254,399,28
2019-08-01,7,19,4,3,2,11,2,6,25,14,144,316,33
2019-09-01,9,53,5,4,1,16,4,16,24,30,212,289,43
2019-10-01,11,35,6,5,3,25,12,14,39,35,211,341,42
2019-11-01,10,22,6,4,1,14,4,10,22,26,129,239,29
2019-12-01,7,21,0,3,0,14,1,12,25,20,87,307,23
2020-01-01,6,17,2,5,1,12,0,10,19,14,55,268,28
2020-02-01,9,25,4,3,0,11,3,7,17,13,72,263,25
2020-03-01,13,34,7,4,0,24,3,20,37,37,193,263,39
2020-04-01,4,15,0,2,0,9,3,8,14,17,96,256,33
2020-05-01,9,15,5,7,3,11,3,8,16,14,59,266,27
2020-06-01,2,9,1,2,0,7,5,2,11,13,91,219,19
2020-07-01,7,8,3,5,1,8,3,7,13,15,74,228,18
2020-08-01,2,6,0,2,0,3,1,1,8,5,22,212,22
