dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,4,106,4,3,3,30,0,29,43,35,194,0,1
2015-08-01,4,61,1,2,0,26,0,27,30,32,98,1,2
2015-09-01,6,186,2,4,2,62,4,58,75,80,374,2,1
2015-10-01,7,93,3,2,0,42,4,38,54,52,326,4,5
2015-11-01,7,76,2,5,2,34,1,32,53,53,429,1,4
2015-12-01,7,47,3,5,2,18,1,17,22,22,164,2,2
2016-01-01,8,16,4,6,3,9,1,8,19,12,198,4,8
2016-02-01,8,58,3,5,0,19,0,19,24,21,147,3,1
2016-03-01,7,62,3,6,3,26,3,23,36,38,344,1,5
2016-04-01,7,48,1,4,0,22,0,21,36,25,165,2,6
2016-05-01,9,55,5,6,3,22,1,22,43,42,382,5,5
2016-06-01,6,23,2,4,1,11,0,10,19,18,148,5,7
2016-07-01,9,29,4,3,1,13,0,10,25,17,117,3,6
2016-08-01,6,31,2,3,0,15,3,14,25,26,197,6,6
2016-09-01,5,28,1,3,0,12,3,10,30,19,118,14,5
2016-10-01,8,45,2,5,0,15,2,15,22,28,128,10,4
2016-11-01,6,25,2,2,0,13,0,11,21,19,89,9,4
2016-12-01,5,11,2,3,1,6,0,5,18,9,78,9,3
2017-01-01,14,55,2,5,0,24,5,18,41,34,183,8,8
2017-02-01,11,87,4,5,1,35,5,31,48,46,248,10,7
2017-03-01,10,33,4,6,3,13,1,12,35,19,149,17,11
2017-04-01,8,37,4,5,2,14,1,11,30,18,139,24,7
2017-05-01,9,34,2,4,2,11,1,10,21,14,100,11,13
2017-06-01,10,32,2,5,0,15,3,8,30,14,110,12,8
2017-07-01,11,35,5,6,2,18,3,15,28,20,102,23,9
2017-08-01,5,17,1,4,0,7,3,9,25,17,146,22,6
2017-09-01,5,10,0,3,0,5,1,4,19,8,85,20,5
2017-10-01,11,24,5,4,0,13,1,8,23,13,81,17,13
2017-11-01,7,17,3,4,1,10,3,9,28,18,142,21,17
2017-12-01,17,78,10,4,1,23,2,21,46,31,273,21,20
2018-01-01,10,43,2,5,1,13,2,8,28,24,168,20,9
2018-02-01,3,14,0,2,0,6,1,6,22,12,121,16,4
2018-03-01,13,41,5,8,3,16,0,20,28,28,268,32,13
2018-04-01,4,9,0,3,0,7,0,4,21,12,190,28,13
2018-05-01,9,26,3,7,2,9,1,10,20,16,215,25,9
2018-06-01,11,48,5,4,0,13,3,9,27,21,239,17,11
2018-07-01,16,65,6,6,2,25,1,24,45,46,357,23,11
2018-08-01,8,26,3,3,0,13,1,13,33,32,286,29,18
2018-09-01,7,13,2,4,1,10,0,5,29,14,205,25,14
2018-10-01,11,38,5,5,2,12,2,12,25,22,228,35,15
2018-11-01,12,38,6,7,3,16,1,15,35,32,272,36,12
2018-12-01,6,26,1,4,1,12,1,11,24,30,256,34,14
2019-01-01,10,30,5,7,3,9,0,11,31,23,241,44,20
2019-02-01,16,66,7,9,1,17,0,16,40,31,281,27,13
2019-03-01,13,121,6,8,4,65,8,51,91,73,525,47,26
2019-04-01,17,56,6,6,1,21,5,17,39,33,322,36,23
2019-05-01,9,32,4,7,2,20,4,14,50,38,396,53,21
2019-06-01,5,19,1,3,0,23,1,11,51,22,255,34,17
2019-07-01,15,92,6,8,3,44,12,33,67,57,448,48,22
2019-08-01,13,84,6,8,4,33,6,31,60,222,943,50,26
2019-09-01,12,85,4,8,3,37,9,28,58,67,434,72,20
2019-10-01,14,65,6,8,2,29,10,26,53,57,407,38,23
2019-11-01,7,49,1,6,1,20,2,20,36,63,383,49,24
2019-12-01,9,42,3,5,0,23,3,18,38,39,305,56,17
2020-01-01,7,51,3,6,2,30,10,20,56,60,378,49,19
2020-02-01,14,56,10,9,4,31,4,26,59,57,461,24,24
2020-03-01,9,67,4,7,2,30,3,34,62,72,559,49,23
2020-04-01,13,85,6,7,0,39,3,31,84,68,724,49,22
2020-05-01,8,75,0,6,0,35,7,29,74,78,698,45,24
2020-06-01,11,50,3,7,2,26,4,20,63,49,475,26,20
2020-07-01,11,73,3,7,1,35,2,34,61,72,507,48,17
2020-08-01,13,75,5,10,5,43,5,35,71,73,498,57,20
