dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,4,68,4,4,4,19,0,19,34,25,80,917,32
2015-10-01,4,46,2,2,0,24,0,21,30,21,74,75,9
2015-11-01,6,44,4,4,2,14,1,14,16,15,43,41,6
2015-12-01,5,216,1,3,0,60,0,60,63,63,109,31,9
2016-01-01,7,235,3,4,1,44,0,43,47,47,175,37,5
2016-02-01,5,168,3,3,1,35,0,35,37,38,154,28,5
2016-03-01,4,129,1,2,0,21,6,17,22,25,121,24,8
2016-04-01,5,65,2,2,0,6,6,0,10,9,40,45,3
2016-05-01,3,71,0,2,0,4,4,0,8,6,62,42,6
2016-06-01,4,80,1,2,1,2,3,0,7,9,85,44,8
2016-07-01,3,69,0,2,0,6,6,0,12,11,98,35,6
2016-08-01,7,100,4,4,1,17,15,0,25,26,252,103,15
2016-09-01,5,60,1,2,0,1,3,0,5,17,121,39,2
2016-10-01,6,44,2,3,1,4,3,0,9,7,23,33,5
2016-11-01,5,79,2,3,0,7,6,0,16,10,119,49,5
2016-12-01,5,45,2,4,1,13,10,0,18,13,96,79,11
2017-01-01,4,19,2,2,0,6,1,0,10,3,67,41,4
2017-02-01,6,125,1,3,0,13,17,0,19,19,130,42,4
2017-03-01,7,137,2,3,1,4,4,0,14,10,114,41,7
2017-04-01,8,110,1,2,0,0,0,0,1,3,13,84,4
2017-05-01,3,5,0,1,0,3,1,0,9,4,36,47,6
2017-06-01,2,74,0,1,0,3,2,0,10,3,30,39,7
2017-07-01,5,96,2,1,0,2,0,0,8,1,31,24,2
2017-08-01,5,91,2,1,0,1,0,0,7,0,35,26,1
2017-09-01,4,46,0,1,0,2,0,0,8,1,23,23,1
2017-10-01,10,90,5,3,1,5,6,0,15,10,63,25,1
2017-11-01,6,123,3,1,0,0,1,0,3,1,7,15,1
2017-12-01,4,64,1,1,0,0,0,0,0,0,0,18,1
2018-01-01,4,81,0,1,0,0,1,0,0,1,1,22,5
2018-02-01,4,40,1,1,0,0,2,0,2,3,30,20,7
2018-03-01,3,30,2,1,0,3,1,0,4,2,14,20,2
2018-04-01,4,29,2,1,0,1,0,0,4,2,26,13,4
2018-05-01,3,23,2,1,0,1,1,0,3,2,22,18,4
2018-06-01,6,48,1,1,0,3,1,0,4,1,11,19,4
2018-07-01,3,26,1,1,0,1,0,0,1,0,3,19,2
2018-08-01,6,11,2,1,0,1,0,0,3,1,7,10,1
2018-09-01,4,5,1,1,0,0,0,0,1,0,6,19,2
2018-10-01,5,26,1,1,0,3,1,0,6,4,13,16,2
2018-11-01,5,18,0,1,0,3,0,0,5,1,24,12,7
2018-12-01,3,18,0,1,0,0,2,0,1,2,7,11,3
2019-01-01,4,64,1,1,0,1,0,0,3,0,6,16,3
2019-02-01,4,18,1,1,0,0,0,0,0,0,0,3,5
2019-03-01,5,60,2,1,0,3,1,0,5,1,14,8,8
2019-04-01,4,97,0,1,0,0,3,0,4,3,25,38,5
2019-05-01,17,148,10,7,5,3,17,0,15,81,358,251,13
2019-06-01,8,105,1,1,0,1,1,0,5,4,38,41,4
2019-07-01,12,43,5,3,0,3,3,0,8,6,49,35,12
2019-08-01,7,59,2,1,0,0,0,0,5,0,29,51,5
2019-09-01,7,26,2,2,0,1,1,0,10,3,38,40,4
2019-10-01,10,23,4,2,0,2,2,0,13,5,31,37,7
2019-11-01,9,15,1,2,0,1,1,0,3,1,5,42,6
2019-12-01,4,6,2,2,0,3,2,0,3,2,20,34,3
2020-01-01,7,57,1,2,0,0,1,0,2,2,10,11,4
2020-02-01,6,51,2,1,0,2,0,0,3,1,4,23,2
2020-03-01,11,69,7,3,1,4,5,0,13,8,40,34,8
2020-04-01,8,37,2,2,0,3,2,0,4,2,7,38,6
2020-05-01,9,63,3,1,0,1,0,0,2,0,3,42,3
2020-06-01,5,90,1,2,0,1,1,0,2,2,19,44,5
2020-07-01,8,63,2,3,0,2,2,0,6,4,12,48,6
2020-08-01,6,72,0,2,0,2,4,0,5,6,28,31,7
