dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-02-01,1,68,0,1,0,9,0,9,9,9,0,0,0
2016-03-01,1,56,0,1,0,10,0,10,10,10,0,0,0
2016-04-01,1,59,0,1,0,13,0,13,13,13,0,0,0
2016-05-01,4,116,3,2,1,8,1,7,53,39,158,286,13
2016-06-01,2,17,0,2,0,1,0,1,11,9,7,57,2
2016-07-01,2,21,0,2,0,0,0,0,7,5,13,29,2
2016-08-01,2,45,0,2,0,1,0,1,15,17,17,16,2
2016-09-01,1,23,0,1,0,0,0,0,6,7,4,17,2
2016-10-01,2,33,1,2,1,1,0,1,22,16,25,11,1
2016-11-01,1,14,0,1,0,0,0,0,6,5,10,13,1
2016-12-01,5,47,4,4,3,1,0,1,28,28,62,20,3
2017-01-01,3,16,0,2,0,0,0,0,23,11,37,18,2
2017-02-01,2,24,1,2,0,0,0,0,11,12,36,25,3
2017-03-01,2,17,1,2,1,1,0,1,15,18,56,23,4
2017-04-01,1,11,0,1,0,0,0,0,7,6,17,17,2
2017-05-01,3,17,1,3,0,2,1,1,10,10,4,10,2
2017-06-01,3,17,1,2,0,0,0,0,11,9,10,16,0
2017-07-01,1,26,0,1,0,0,0,0,4,3,3,8,4
2017-08-01,2,55,1,2,0,0,0,0,7,3,11,20,3
2017-09-01,3,40,1,3,0,0,0,0,12,9,20,16,0
2017-10-01,2,51,0,2,0,0,0,0,13,23,15,17,2
2017-11-01,1,59,0,1,0,0,0,0,10,4,25,19,1
2017-12-01,2,3,1,2,1,0,0,0,9,3,30,10,3
2018-01-01,1,6,0,1,0,0,0,0,8,6,23,18,4
2018-02-01,3,7,1,2,1,0,0,0,12,11,22,17,0
2018-03-01,1,4,0,1,0,0,0,0,10,12,43,31,3
2018-04-01,3,16,2,3,0,0,0,0,19,30,59,39,6
2018-05-01,3,4,2,2,0,1,0,1,13,7,28,19,7
2018-06-01,4,4,1,4,0,0,0,0,11,9,77,29,5
2018-07-01,5,27,3,3,0,0,0,0,14,12,26,53,6
2018-08-01,2,2,2,2,0,0,0,0,8,4,40,24,4
2018-09-01,4,8,1,2,0,0,0,0,22,13,58,33,5
2018-10-01,7,20,2,5,1,0,0,0,21,16,53,104,7
2018-11-01,9,24,3,5,0,0,0,0,29,38,97,56,4
2018-12-01,3,3,1,1,0,0,0,0,11,3,40,71,5
2019-01-01,8,19,3,4,0,2,0,0,20,26,83,68,12
2019-02-01,7,17,1,6,1,2,1,3,35,25,125,54,4
2019-03-01,5,12,1,4,0,0,0,0,23,55,184,61,10
2019-04-01,5,17,1,4,1,0,0,0,21,22,92,46,7
2019-05-01,13,26,9,8,4,1,1,0,50,28,227,81,16
2019-06-01,11,70,5,6,2,1,1,0,55,48,473,81,10
2019-07-01,9,84,4,5,2,1,0,1,56,47,518,51,11
2019-08-01,7,33,2,5,2,3,2,0,53,46,462,110,14
2019-09-01,12,108,6,8,3,0,0,0,58,30,497,71,17
2019-10-01,6,43,2,3,0,2,0,0,40,41,466,83,9
2019-11-01,11,38,4,7,1,1,0,0,33,36,395,87,7
2019-12-01,11,99,3,5,0,4,0,0,44,52,579,103,16
2020-01-01,6,88,2,5,1,8,0,0,41,28,372,176,19
2020-02-01,9,59,4,4,1,14,3,15,39,58,487,132,13
2020-03-01,10,48,3,8,3,26,1,24,57,44,522,99,11
2020-04-01,11,45,2,7,1,29,7,27,48,73,641,99,13
2020-05-01,8,97,1,6,0,34,1,30,63,52,584,84,20
2020-06-01,10,34,5,8,2,23,7,16,44,38,441,69,4
2020-07-01,9,45,3,6,1,24,2,26,47,48,387,102,12
2020-08-01,8,36,3,5,1,19,0,12,35,30,212,101,11
