dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,3,98,3,3,3,25,1,24,32,28,79,62,2
2016-11-01,1,9,0,1,0,4,0,4,9,8,17,14,2
2016-12-01,0,0,0,0,0,0,0,0,4,0,10,4,0
2017-01-01,1,14,0,1,0,6,0,5,10,9,19,10,0
2017-02-01,2,12,0,2,0,4,0,3,10,5,48,6,0
2017-03-01,1,17,0,1,0,6,1,6,11,12,31,10,2
2017-04-01,2,9,1,1,0,3,0,3,4,5,15,6,0
2017-05-01,0,0,0,0,0,0,0,0,1,0,0,5,0
2017-06-01,1,9,0,1,0,4,0,3,7,3,34,6,0
2017-07-01,1,3,0,1,0,1,0,2,2,2,2,5,1
2017-08-01,3,84,1,2,1,22,1,21,26,29,110,27,3
2017-09-01,3,42,1,1,0,10,1,9,18,16,90,9,5
2017-10-01,5,65,2,4,2,16,0,15,26,21,106,9,1
2017-11-01,5,103,2,3,2,16,0,17,34,33,281,49,4
2017-12-01,3,54,1,2,1,11,0,11,22,24,280,21,0
2018-01-01,3,11,0,1,0,3,0,3,6,5,65,32,1
2018-02-01,3,5,2,3,1,2,0,2,6,2,37,35,2
2018-03-01,3,48,0,2,0,10,0,9,16,15,225,21,1
2018-04-01,4,81,1,2,1,18,1,18,28,33,136,39,3
2018-05-01,6,64,1,3,0,23,2,22,34,35,166,52,6
2018-06-01,5,52,0,2,0,8,0,8,16,17,96,61,4
2018-07-01,2,17,0,1,0,2,0,2,5,2,17,36,2
2018-08-01,2,22,0,1,0,7,1,6,10,11,25,35,2
2018-09-01,3,23,1,2,1,5,2,2,10,6,91,36,2
2018-10-01,6,86,3,3,1,20,1,17,34,24,108,90,4
2018-11-01,5,54,0,2,0,13,2,13,20,25,78,34,1
2018-12-01,2,7,0,1,0,2,0,2,4,5,16,23,1
2019-01-01,1,4,0,1,0,1,0,0,5,1,34,24,2
2019-02-01,4,7,2,2,1,2,0,3,7,4,20,19,1
2019-03-01,2,34,0,1,0,3,0,3,13,10,30,40,1
2019-04-01,3,46,0,2,0,9,0,8,17,11,27,61,1
2019-05-01,2,47,0,1,0,10,0,9,15,11,19,37,2
2019-06-01,3,22,1,2,0,5,0,5,9,11,36,25,3
2019-07-01,1,2,1,1,1,1,0,0,6,2,37,30,2
2019-08-01,2,11,0,1,0,1,0,1,2,3,2,32,1
2019-09-01,2,32,0,1,0,7,0,7,8,9,18,26,1
2019-10-01,4,16,2,2,0,5,0,7,12,10,64,43,4
2019-11-01,1,2,0,1,0,1,0,1,4,1,3,23,2
2019-12-01,2,7,0,1,0,2,0,2,3,2,7,26,1
2020-01-01,0,0,0,0,0,0,0,0,2,0,0,36,2
2020-02-01,1,2,1,1,1,1,0,0,10,5,34,26,3
2020-03-01,5,28,2,4,2,7,0,8,11,10,16,38,3
2020-04-01,3,8,1,1,0,2,0,2,6,5,32,41,4
2020-05-01,3,4,1,2,0,2,0,2,4,3,4,48,2
2020-06-01,3,24,0,2,0,10,0,8,21,11,39,30,1
2020-07-01,0,0,0,0,0,0,1,0,6,4,30,54,1
2020-08-01,3,20,0,2,0,6,0,5,12,7,47,51,1
