dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,1,28,0,1,0,0,0,0,110,84,758,0,0
2015-05-01,1,51,0,1,0,0,0,0,4,19,101,4,0
2015-06-01,1,43,0,1,0,1,1,0,14,8,73,24,1
2015-07-01,4,23,3,2,1,3,0,3,15,10,94,7,4
2015-08-01,3,53,1,2,1,2,0,2,10,11,133,14,3
2015-09-01,2,55,1,2,1,1,0,1,10,6,65,28,2
2015-10-01,1,8,0,1,0,0,0,0,8,2,29,12,0
2015-11-01,2,44,1,2,1,1,0,1,9,20,112,24,1
2015-12-01,1,18,0,1,0,0,0,0,8,3,57,10,2
2016-01-01,2,15,0,2,0,2,0,2,12,7,41,10,0
2016-02-01,2,62,1,1,0,1,0,1,14,21,92,4,1
2016-03-01,1,28,0,1,0,0,0,0,12,6,53,12,0
2016-04-01,2,11,0,2,0,1,0,1,10,2,45,10,0
2016-05-01,2,38,1,2,0,1,0,1,2,7,47,16,1
2016-06-01,1,12,0,1,0,0,0,0,11,2,38,10,1
2016-07-01,1,10,1,1,1,2,1,0,3,1,50,9,0
2016-08-01,3,35,2,3,1,1,0,2,7,9,37,14,2
2016-09-01,2,55,0,2,0,0,0,0,5,3,37,89,2
2016-10-01,2,51,0,2,0,0,0,0,9,17,75,22,1
2016-11-01,2,48,0,2,0,1,0,1,14,6,65,20,0
2016-12-01,3,33,1,3,1,1,0,1,13,4,75,29,1
2017-01-01,6,57,1,5,1,10,2,8,24,14,127,19,3
2017-02-01,5,38,1,5,1,7,1,5,26,46,259,13,2
2017-03-01,4,92,2,3,0,5,0,6,12,12,126,48,2
2017-04-01,4,45,2,2,0,8,2,6,18,14,134,28,4
2017-05-01,3,31,1,3,1,4,2,2,12,13,62,23,3
2017-06-01,3,41,1,3,0,5,1,4,24,14,130,15,1
2017-07-01,2,18,1,2,0,2,0,2,7,16,104,16,3
2017-08-01,1,32,0,1,0,2,2,0,9,11,55,15,3
2017-09-01,2,32,1,2,1,1,0,1,9,10,59,12,2
2017-10-01,1,27,0,1,0,0,0,0,5,5,118,8,0
2017-11-01,2,43,0,2,0,1,0,1,15,13,132,15,2
2017-12-01,1,11,0,1,0,0,0,0,8,4,60,18,0
2018-01-01,1,27,0,1,0,0,0,0,4,14,136,13,2
2018-02-01,1,22,0,1,0,0,0,0,8,8,50,16,3
2018-03-01,1,19,0,1,0,0,0,0,2,4,31,16,1
2018-04-01,4,51,1,4,1,4,0,3,11,10,103,19,3
2018-05-01,3,44,1,2,0,6,0,2,23,10,129,9,3
2018-06-01,2,57,0,2,0,5,0,10,11,11,66,14,0
2018-07-01,2,15,1,1,0,1,0,0,5,1,12,19,3
2018-08-01,2,26,0,1,0,2,0,3,12,6,48,10,0
2018-09-01,2,21,0,2,0,2,0,2,6,8,30,13,1
2018-10-01,1,88,0,1,0,1,0,0,8,21,103,22,3
2018-11-01,2,42,1,2,1,2,1,1,12,5,69,15,2
2018-12-01,2,14,1,1,0,2,1,1,11,4,90,12,1
2019-01-01,3,50,1,2,0,5,1,3,12,14,113,10,4
2019-02-01,4,191,1,3,1,16,4,12,45,58,439,211,7
2019-03-01,2,56,1,2,1,1,0,1,5,3,47,24,5
2019-04-01,1,46,0,1,0,0,0,0,7,9,40,26,5
2019-05-01,4,35,2,4,1,8,3,4,22,9,91,23,3
2019-06-01,1,22,0,1,0,1,1,0,4,6,20,13,1
2019-07-01,2,2,1,1,0,1,0,0,4,1,19,22,1
2019-08-01,3,57,0,3,0,6,0,7,14,14,80,17,1
2019-09-01,4,98,1,4,1,9,1,9,17,26,200,16,1
2019-10-01,5,115,0,5,0,26,3,25,54,58,352,21,1
2019-11-01,2,45,0,2,0,2,0,2,15,13,117,14,1
2019-12-01,2,52,0,2,0,5,1,4,12,12,112,18,1
2020-01-01,3,36,2,2,0,2,0,1,18,19,179,18,4
2020-02-01,1,42,0,1,0,0,0,0,5,3,44,20,2
2020-03-01,3,58,2,3,1,3,1,3,11,9,96,20,4
2020-04-01,5,77,1,4,0,7,2,5,30,18,156,17,5
2020-05-01,3,74,0,3,0,3,0,3,8,23,119,24,2
2020-06-01,2,29,0,2,0,1,0,1,9,6,26,26,4
2020-07-01,5,46,2,4,1,9,2,4,23,10,78,33,2
2020-08-01,2,34,0,2,0,5,1,5,14,13,132,17,3
