dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,5,31,4,3,2,3,0,3,3,3,6,10,3
2015-06-01,5,87,2,3,1,13,2,11,18,15,35,10,1
2015-07-01,3,60,0,2,0,3,1,2,4,4,5,5,1
2015-08-01,5,54,2,3,1,4,1,1,4,2,12,9,0
2015-09-01,5,106,1,3,1,4,0,6,5,8,28,2,1
2015-10-01,1,39,0,1,0,0,0,0,0,0,0,7,0
2015-11-01,1,62,0,1,0,0,0,0,0,0,0,4,0
2015-12-01,1,86,0,1,0,0,0,0,0,0,0,12,1
2016-01-01,3,67,1,2,0,3,0,1,3,1,15,3,3
2016-02-01,3,129,0,2,0,3,0,3,9,4,27,4,0
2016-03-01,3,81,0,2,0,5,1,5,15,12,57,4,0
2016-04-01,3,26,0,2,0,3,0,3,5,5,14,2,0
2016-05-01,3,143,0,2,0,6,1,5,6,10,35,4,1
2016-06-01,3,100,0,2,0,9,0,9,10,9,34,8,0
2016-07-01,3,39,0,2,0,6,0,5,10,7,61,2,0
2016-08-01,3,81,0,2,0,11,0,10,14,13,121,6,2
2016-09-01,3,81,0,2,0,4,0,4,6,5,28,2,1
2016-10-01,3,128,0,2,0,6,2,6,11,12,78,6,0
2016-11-01,4,135,1,2,0,17,1,15,21,22,112,5,3
2016-12-01,3,208,0,2,0,10,0,10,13,11,37,10,2
2017-01-01,4,89,1,3,1,8,0,8,9,11,44,6,1
2017-02-01,4,165,0,3,0,20,0,19,36,27,151,6,2
2017-03-01,4,135,0,3,0,5,0,5,17,12,161,22,2
2017-04-01,7,106,3,3,0,13,0,11,31,31,267,9,4
2017-05-01,7,103,2,3,0,22,3,24,36,43,271,18,4
2017-06-01,4,66,0,2,0,9,1,7,27,25,310,22,3
2017-07-01,5,111,2,4,2,7,0,8,25,22,279,36,5
2017-08-01,4,57,1,2,0,5,0,5,28,20,263,26,2
2017-09-01,5,54,3,4,2,5,1,3,21,18,276,22,8
2017-10-01,7,62,3,4,1,8,0,8,22,18,182,28,9
2017-11-01,6,62,3,4,1,15,1,5,49,22,311,26,9
2017-12-01,4,16,2,3,0,4,1,5,16,12,162,29,5
2018-01-01,3,96,1,3,1,4,3,2,23,21,218,32,6
2018-02-01,4,66,2,3,0,4,1,3,25,29,377,23,7
2018-03-01,5,40,3,4,2,9,1,3,32,31,323,34,12
2018-04-01,3,60,2,3,1,2,2,1,20,15,296,40,4
2018-05-01,10,31,6,7,5,13,3,14,35,25,208,52,12
2018-06-01,6,28,2,4,1,17,3,8,59,25,350,33,11
2018-07-01,4,27,2,4,2,6,4,5,31,24,177,41,9
2018-08-01,6,55,4,5,3,6,1,4,32,21,195,52,10
2018-09-01,19,76,15,13,9,37,4,28,79,60,791,54,22
2018-10-01,6,61,2,6,1,31,3,19,62,46,380,50,13
2018-11-01,13,110,5,10,2,35,8,27,62,49,297,62,17
2018-12-01,8,151,5,6,2,26,9,23,58,51,411,59,10
2019-01-01,10,39,6,9,3,26,4,23,71,40,272,66,15
2019-02-01,20,78,9,13,4,46,8,36,76,62,370,57,16
2019-03-01,13,109,6,9,2,51,7,30,89,57,413,69,18
2019-04-01,14,114,5,10,1,39,16,27,71,58,497,57,17
2019-05-01,9,83,3,8,1,18,2,13,57,29,339,52,13
2019-06-01,9,73,2,6,0,15,4,11,47,49,485,47,6
2019-07-01,11,102,3,10,3,28,6,16,74,54,454,81,21
2019-08-01,12,54,3,10,2,20,3,14,59,31,243,59,18
2019-09-01,24,122,12,11,2,31,4,39,58,51,342,46,14
2019-10-01,13,80,7,9,2,33,3,15,96,52,525,67,19
2019-11-01,11,72,3,9,2,36,6,18,83,44,493,56,23
2019-12-01,12,27,6,6,0,22,7,14,68,49,398,62,26
2020-01-01,8,83,4,7,3,44,4,18,80,48,400,65,25
2020-02-01,18,186,12,9,3,30,11,30,69,68,545,48,9
2020-03-01,11,100,7,9,3,26,3,20,70,46,383,77,28
2020-04-01,7,96,3,5,2,22,2,14,74,35,366,63,18
2020-05-01,26,88,13,12,3,26,22,35,71,99,576,88,28
2020-06-01,16,150,7,12,2,40,12,32,99,72,513,85,13
2020-07-01,12,114,5,11,4,36,4,35,97,85,899,77,23
2020-08-01,11,55,3,9,1,41,4,23,105,54,392,56,26
