dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,15,51,15,8,8,28,3,19,34,23,136,23,5
2016-08-01,33,203,23,7,2,124,21,100,193,161,793,39,18
2016-09-01,31,216,14,8,2,96,18,74,137,113,503,66,13
2016-10-01,20,117,8,4,0,73,10,66,105,116,425,28,9
2016-11-01,25,145,12,8,4,87,11,79,165,161,634,545,29
2016-12-01,12,82,3,6,2,52,6,38,98,71,294,33,10
2017-01-01,29,173,12,9,2,96,8,91,185,176,845,47,16
2017-02-01,33,118,13,11,4,94,26,62,232,163,790,37,19
2017-03-01,34,162,14,10,1,98,26,78,237,223,1135,42,21
2017-04-01,39,282,11,7,0,133,28,99,275,233,1155,112,19
2017-05-01,45,239,14,9,0,120,14,115,232,202,904,121,28
2017-06-01,41,163,17,11,3,117,4,110,217,183,682,90,31
2017-07-01,38,131,11,10,0,112,11,100,234,168,761,84,19
2017-08-01,46,209,13,11,4,186,17,160,350,313,1190,166,29
2017-09-01,45,219,15,13,3,190,18,175,299,280,883,77,27
2017-10-01,36,198,12,9,0,178,16,158,281,315,1080,116,25
2017-11-01,41,133,17,7,0,116,16,99,212,161,763,154,29
2017-12-01,37,98,4,9,2,93,13,74,159,123,561,111,17
2018-01-01,44,118,10,12,3,104,15,96,200,229,977,207,27
2018-02-01,50,169,14,13,2,160,19,133,285,217,858,102,29
2018-03-01,56,223,17,15,3,178,20,165,292,293,1159,126,22
2018-04-01,55,189,19,12,2,180,11,160,286,322,1456,111,37
2018-05-01,59,271,17,11,3,173,23,153,340,488,2053,122,43
2018-06-01,50,261,13,12,1,205,28,178,349,335,1561,163,39
2018-07-01,55,195,19,12,2,174,37,147,343,329,1447,187,46
2018-08-01,59,265,14,15,2,245,24,221,449,454,2232,146,36
2018-09-01,50,198,13,10,0,191,21,167,329,304,2065,116,19
2018-10-01,49,206,15,14,6,194,26,166,400,356,2953,238,48
2018-11-01,48,218,9,12,0,171,23,155,350,351,2667,111,41
2018-12-01,35,115,2,8,0,123,30,89,230,247,1788,321,26
2019-01-01,62,234,16,13,1,200,12,194,354,381,3248,208,46
2019-02-01,54,205,11,11,0,164,20,143,295,266,2768,172,31
2019-03-01,47,253,9,8,0,214,22,184,397,351,3506,170,43
2019-04-01,51,241,18,9,0,169,18,161,342,337,3331,122,46
2019-05-01,50,248,10,7,0,187,26,153,411,351,3360,256,43
2019-06-01,62,205,20,13,2,175,32,141,332,327,3375,422,48
2019-07-01,45,158,12,8,1,167,32,132,371,323,3486,260,48
2019-08-01,41,149,12,7,0,153,27,126,324,323,3280,209,45
2019-09-01,40,127,4,7,0,125,15,106,337,311,2906,140,34
2019-10-01,38,131,10,5,0,121,15,102,369,306,2782,152,41
2019-11-01,31,118,4,6,0,116,26,94,306,332,2481,158,33
2019-12-01,24,93,4,7,2,92,23,75,239,259,2211,286,32
2020-01-01,36,124,10,7,1,112,17,103,265,334,2879,132,35
2020-02-01,31,148,13,7,0,155,12,122,284,342,2499,151,33
2020-03-01,43,185,19,8,2,196,24,145,356,273,2383,393,57
2020-04-01,43,255,10,9,2,262,41,226,458,373,2898,407,47
2020-05-01,53,282,19,10,2,275,33,245,465,422,3173,703,55
2020-06-01,43,228,8,10,3,253,39,198,454,347,2800,407,54
2020-07-01,52,215,18,8,0,221,42,183,415,362,3109,353,54
2020-08-01,50,277,14,7,0,305,51,245,540,422,3635,349,56
