dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,4,115,4,4,4,28,2,25,38,31,142,0,0
2016-08-01,4,117,0,4,0,39,7,30,85,59,371,0,0
2016-09-01,4,93,0,4,0,28,2,26,57,50,276,0,0
2016-10-01,4,100,0,4,0,19,4,17,40,35,265,0,0
2016-11-01,4,47,0,4,0,13,0,12,45,31,183,8,1
2016-12-01,2,84,0,2,0,24,1,19,61,41,181,6,1
2017-01-01,7,132,5,4,1,37,2,37,86,69,287,4,2
2017-02-01,8,86,2,5,1,31,2,28,60,54,308,16,0
2017-03-01,6,58,0,4,0,18,1,18,33,29,93,25,2
2017-04-01,7,92,1,4,0,27,4,23,48,55,316,31,3
2017-05-01,9,116,3,6,1,7,1,7,34,29,39,18,4
2017-06-01,10,104,4,7,2,15,1,13,46,41,85,23,1
2017-07-01,7,89,1,6,1,28,0,28,47,54,225,27,4
2017-08-01,5,41,2,4,0,23,1,20,46,31,174,28,0
2017-09-01,7,65,1,4,0,20,4,16,37,46,169,20,0
2017-10-01,13,112,4,6,1,41,4,38,59,62,150,21,1
2017-11-01,7,52,2,4,0,14,1,14,36,22,159,43,4
2017-12-01,4,50,1,3,1,16,1,14,30,32,130,17,3
2018-01-01,6,40,0,5,0,13,1,12,37,23,160,25,4
2018-02-01,11,60,4,5,0,20,1,18,44,26,139,33,4
2018-03-01,12,65,3,6,1,31,3,24,64,93,444,50,7
2018-04-01,8,30,3,6,1,13,2,12,28,24,133,38,4
2018-05-01,14,70,5,8,2,25,0,25,50,32,173,58,10
2018-06-01,8,88,3,6,2,35,2,32,71,61,383,79,11
2018-07-01,17,117,7,9,3,46,5,42,77,87,471,76,11
2018-08-01,12,140,4,9,4,45,1,45,70,66,362,123,15
2018-09-01,14,106,5,8,3,38,5,32,80,73,473,92,24
2018-10-01,24,113,17,13,7,42,3,36,67,56,328,142,32
2018-11-01,17,144,6,9,2,50,1,47,81,70,324,111,18
2018-12-01,12,71,5,8,3,21,2,20,39,46,247,160,21
2019-01-01,13,123,4,11,2,38,3,33,77,61,419,149,24
2019-02-01,15,154,7,9,1,40,1,39,81,91,588,161,32
2019-03-01,11,130,2,8,2,39,4,37,96,82,658,169,29
2019-04-01,18,186,10,12,4,68,9,55,120,110,809,184,45
2019-05-01,23,217,10,11,4,71,7,67,116,111,794,141,37
2019-06-01,15,147,6,10,3,44,5,38,90,72,430,159,42
2019-07-01,21,210,12,13,7,62,6,58,107,102,449,264,41
2019-08-01,22,178,14,14,8,59,4,62,95,111,460,219,43
2019-09-01,20,82,13,12,5,40,6,34,71,58,255,188,28
2019-10-01,21,81,12,15,7,43,2,28,82,54,442,175,29
2019-11-01,20,136,10,12,5,44,6,39,78,68,464,184,40
2019-12-01,22,105,14,12,7,35,4,37,69,55,478,304,53
2020-01-01,22,157,10,12,7,55,7,52,89,101,631,197,38
2020-02-01,22,70,14,14,8,43,6,27,75,52,367,177,34
2020-03-01,17,68,8,9,4,27,2,22,69,46,222,215,32
2020-04-01,18,62,11,8,3,31,4,20,84,47,294,226,45
2020-05-01,19,48,11,13,7,24,4,22,57,39,166,410,55
2020-06-01,14,38,7,8,3,33,3,18,71,38,176,264,48
2020-07-01,13,41,6,7,3,23,0,17,58,29,190,205,38
2020-08-01,12,51,5,9,4,25,7,17,43,61,239,165,29
