dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,4,9,2,3,1,2,0,2,2,2,2,1,1
2015-11-01,4,10,1,3,0,4,0,3,4,3,0,0,0
2015-12-01,3,13,0,3,0,1,0,2,1,2,0,0,0
2016-01-01,2,9,0,2,0,3,0,3,3,3,6,0,0
2016-02-01,0,0,0,0,0,0,0,0,1,0,2,0,0
2016-03-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2016-04-01,3,12,0,2,0,2,0,2,2,2,0,0,0
2016-05-01,4,9,1,3,0,2,0,2,2,2,2,0,0
2016-06-01,2,3,0,2,0,1,0,1,1,1,0,1,0
2016-07-01,4,22,0,3,0,3,0,3,5,5,8,1,1
2016-08-01,4,25,0,3,0,7,0,7,7,7,0,0,0
2016-09-01,4,5,2,4,2,2,0,2,2,2,0,0,0
2016-10-01,2,12,0,2,0,2,0,2,2,2,0,0,0
2016-11-01,4,10,0,2,0,3,0,3,3,3,0,0,1
2016-12-01,3,7,0,2,0,2,0,2,2,2,0,0,1
2017-01-01,2,10,0,2,0,2,0,1,2,1,0,0,0
2017-02-01,3,32,0,3,0,2,1,1,3,3,30,1,2
2017-03-01,8,133,3,6,2,27,4,24,31,33,48,0,2
2017-04-01,5,25,0,3,0,6,0,6,10,6,13,2,1
2017-05-01,3,56,0,2,0,11,2,8,16,12,26,6,4
2017-06-01,8,89,3,7,3,16,0,16,25,20,46,4,5
2017-07-01,8,67,3,6,2,19,3,15,22,18,59,3,3
2017-08-01,6,70,0,5,0,15,0,17,18,18,28,3,3
2017-09-01,7,74,2,5,1,15,1,14,35,29,98,1,5
2017-10-01,7,146,1,4,0,24,2,21,37,31,70,2,3
2017-11-01,11,154,4,8,2,28,2,27,35,33,83,4,6
2017-12-01,11,94,5,6,2,19,0,16,26,24,48,12,5
2018-01-01,10,180,2,5,0,31,2,31,48,42,93,4,2
2018-02-01,7,117,0,3,0,26,2,23,32,27,38,6,6
2018-03-01,8,118,0,4,0,19,0,19,22,22,28,7,4
2018-04-01,9,69,2,6,1,19,3,13,28,18,36,11,6
2018-05-01,10,311,2,6,1,32,2,33,68,46,117,16,7
2018-06-01,9,123,0,6,0,26,1,23,45,27,45,19,10
2018-07-01,4,78,1,3,0,22,0,23,35,26,67,15,13
2018-08-01,11,117,3,3,0,50,3,48,63,56,93,31,6
2018-09-01,10,88,1,3,0,40,5,37,57,44,121,30,13
2018-10-01,11,59,3,6,2,45,2,38,75,52,161,14,15
2018-11-01,14,46,5,7,2,29,0,31,60,132,424,30,15
2018-12-01,16,64,7,12,5,40,2,36,67,46,197,20,29
2019-01-01,8,131,2,5,1,51,4,48,91,74,192,26,19
2019-02-01,10,69,3,5,1,28,0,27,60,42,190,25,19
2019-03-01,8,62,0,4,0,26,4,17,72,56,172,21,14
2019-04-01,7,76,2,5,1,55,7,52,97,82,165,32,19
2019-05-01,7,81,2,6,2,50,3,47,119,85,228,28,21
2019-06-01,10,147,3,7,0,35,2,32,94,78,206,34,15
2019-07-01,13,190,2,6,0,37,2,34,95,81,208,30,14
2019-08-01,12,160,2,6,0,10,0,8,95,77,281,23,11
2019-09-01,17,324,4,9,3,69,17,59,158,234,819,21,29
2019-10-01,16,349,4,8,2,118,15,99,217,172,509,33,21
2019-11-01,13,243,2,8,1,77,5,64,134,96,335,34,19
2019-12-01,17,261,4,7,1,72,3,72,109,109,268,18,14
2020-01-01,15,163,2,8,1,52,7,50,116,95,317,22,23
2020-02-01,16,133,5,5,0,65,13,46,128,96,325,16,17
2020-03-01,15,253,3,6,1,64,10,62,106,93,187,26,13
2020-04-01,19,283,7,8,2,80,4,75,144,113,248,98,30
2020-05-01,27,260,9,10,3,85,2,79,124,108,230,67,32
2020-06-01,28,339,10,6,1,104,3,98,147,134,243,31,19
2020-07-01,16,155,4,4,0,58,2,31,100,48,170,29,23
2020-08-01,15,192,1,4,0,61,6,75,100,110,174,20,11
