dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,5,24,5,3,3,1,0,1,11,8,126,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,1,5,0,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,3,1
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,21,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,85,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,65,1
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,57,0
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,19,0
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,21,0
2018-05-01,7,18,6,5,3,19,1,15,37,27,158,22,3
2018-06-01,8,75,2,4,0,21,3,20,182,157,1083,12,6
2018-07-01,6,79,0,4,0,2,0,2,192,169,694,13,3
2018-08-01,6,61,1,3,0,5,1,5,126,153,521,22,17
2018-09-01,5,18,4,4,2,0,0,0,48,41,148,99,37
2018-10-01,10,24,5,4,1,1,1,0,77,61,257,164,25
2018-11-01,7,14,4,3,0,0,0,0,36,38,130,108,15
2018-12-01,8,39,3,4,0,0,0,0,90,89,413,42,14
2019-01-01,12,76,6,5,1,1,1,0,192,176,625,53,36
2019-02-01,14,88,5,4,0,0,0,0,214,202,850,44,23
2019-03-01,14,113,4,5,0,0,0,0,284,257,1415,22,9
2019-04-01,12,103,1,5,0,5,1,4,214,235,1438,14,6
2019-05-01,8,91,2,4,1,2,0,2,166,206,814,12,3
2019-06-01,8,91,1,4,0,2,0,2,164,176,470,11,2
2019-07-01,7,105,1,3,0,2,0,2,185,182,545,12,1
2019-08-01,5,65,1,3,0,1,0,1,103,115,406,18,8
2019-09-01,5,28,1,2,0,0,0,0,44,44,210,123,33
2019-10-01,6,28,2,3,0,4,1,3,41,39,73,36,8
2019-11-01,6,26,0,2,0,0,0,0,36,40,91,29,9
2019-12-01,9,33,5,2,0,2,0,2,94,86,244,113,110
2020-01-01,8,34,6,2,0,2,1,1,80,64,220,143,88
2020-02-01,2,16,0,2,0,0,0,0,31,29,60,13,5
2020-03-01,2,21,0,2,0,0,0,0,25,24,9,4,8
2020-04-01,1,14,0,1,0,0,0,0,18,20,26,8,3
2020-05-01,3,20,1,2,0,0,0,0,23,24,46,12,10
2020-06-01,1,12,0,1,0,0,0,0,16,15,6,12,5
2020-07-01,1,9,0,1,0,0,0,0,14,12,6,11,6
2020-08-01,1,6,0,1,0,0,0,0,14,11,9,20,2
