dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,4,48,4,4,4,13,1,12,25,22,39,2,2
2016-09-01,1,32,0,1,0,4,0,4,6,9,1,3,2
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-03-01,3,44,2,3,1,21,0,21,47,41,132,1,8
2017-04-01,1,2,0,1,0,1,0,1,5,2,28,1,3
2017-05-01,4,36,3,3,1,32,2,29,59,61,316,4,1
2017-06-01,3,44,1,3,1,49,3,41,108,91,760,2,2
2017-07-01,2,57,0,2,0,66,7,58,143,133,1001,1,1
2017-08-01,3,70,0,3,0,40,2,45,132,152,794,3,2
2017-09-01,3,14,1,2,0,3,0,3,26,26,91,19,17
2017-10-01,0,0,0,0,0,0,0,0,1,0,2,4,3
2017-11-01,0,0,0,0,0,0,0,0,1,0,1,19,1
2017-12-01,2,4,1,1,0,0,0,0,19,10,41,90,5
2018-01-01,2,11,1,2,1,0,0,0,48,33,255,67,8
2018-02-01,5,16,2,2,0,0,0,0,58,39,338,59,17
2018-03-01,11,68,6,3,1,0,0,0,186,204,1350,24,20
2018-04-01,7,26,1,3,0,0,0,0,48,56,428,23,5
2018-05-01,6,37,2,3,0,0,0,0,92,80,698,19,5
2018-06-01,8,63,2,3,0,0,0,0,139,131,840,5,4
2018-07-01,7,68,0,4,0,1,0,1,140,152,836,13,2
2018-08-01,4,29,0,3,0,1,0,1,56,68,288,18,3
2018-09-01,5,13,2,3,1,0,0,0,16,19,90,80,21
2018-10-01,4,8,2,2,0,0,0,0,24,19,83,156,7
2018-11-01,5,12,2,3,0,0,0,0,20,18,108,105,5
2018-12-01,4,5,1,2,0,0,0,0,15,13,98,38,13
2019-01-01,7,27,2,2,0,0,0,0,77,65,277,30,19
2019-02-01,5,15,1,2,0,0,0,0,30,31,147,30,9
2019-03-01,3,22,0,1,0,0,0,0,69,51,270,23,11
2019-04-01,5,26,1,2,0,1,0,1,28,46,124,11,1
2019-05-01,6,40,2,3,0,1,0,1,64,74,226,9,2
2019-06-01,5,47,1,3,0,6,0,6,78,92,160,7,3
2019-07-01,6,64,2,3,0,2,0,2,91,94,170,19,3
2019-08-01,3,35,0,2,0,2,0,2,69,60,183,18,13
2019-09-01,5,20,2,2,0,1,0,1,27,28,131,118,32
2019-10-01,2,13,1,1,0,0,0,0,19,17,92,29,10
2019-11-01,4,7,3,2,0,0,0,0,15,14,122,26,16
2019-12-01,5,10,1,2,0,0,0,0,30,30,195,76,53
2020-01-01,6,11,4,2,0,0,0,0,50,29,132,117,74
2020-02-01,2,5,0,1,0,0,0,0,13,9,41,13,4
2020-03-01,2,5,0,2,0,0,0,0,6,6,4,6,4
2020-04-01,1,4,0,1,0,0,0,0,6,6,5,8,1
2020-05-01,1,10,0,1,0,0,0,0,15,13,9,9,5
2020-06-01,1,7,0,1,0,0,0,0,14,10,10,12,7
2020-07-01,1,7,0,1,0,0,0,0,15,15,20,7,5
2020-08-01,1,4,0,1,0,0,0,0,15,13,15,21,3
