dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,4,28,3,3,2,4,0,4,7,7,6,26,3
2015-05-01,2,10,0,2,0,2,0,2,3,2,1,2,0
2015-06-01,6,23,5,6,4,7,1,6,9,7,19,7,7
2015-07-01,3,56,1,3,1,5,4,1,9,11,25,2,0
2015-08-01,3,19,1,3,0,0,0,0,1,1,8,1,1
2015-09-01,4,24,2,4,1,1,0,1,3,3,6,16,2
2015-10-01,2,17,1,2,1,1,0,1,4,4,12,1,2
2015-11-01,2,67,0,2,0,0,0,0,2,2,30,21,0
2015-12-01,2,22,0,2,0,0,0,0,0,0,0,1,0
2016-01-01,1,7,0,1,0,1,0,0,1,0,1,1,0
2016-02-01,2,8,0,2,0,1,1,0,3,2,16,6,1
2016-03-01,2,61,0,2,0,0,0,0,0,1,2,5,0
2016-04-01,2,38,0,2,0,1,0,1,3,3,12,2,1
2016-05-01,2,22,0,2,0,2,1,0,6,4,104,3,1
2016-06-01,3,19,1,3,1,2,0,1,3,3,57,1,1
2016-07-01,2,28,0,2,0,0,1,1,1,3,32,1,0
2016-08-01,4,71,0,4,0,3,0,3,9,9,28,2,1
2016-09-01,4,23,2,3,0,1,0,1,3,2,17,4,0
2016-10-01,2,40,0,2,0,2,0,1,5,2,34,1,1
2016-11-01,4,24,3,4,2,2,0,2,2,3,27,2,1
2016-12-01,2,42,0,2,0,0,0,0,2,1,46,4,1
2017-01-01,5,90,3,5,1,4,1,3,9,9,68,3,2
2017-02-01,5,47,2,5,2,4,1,4,13,13,87,17,2
2017-03-01,3,5,1,3,1,1,0,1,6,2,131,9,0
2017-04-01,2,49,0,2,0,1,2,0,8,7,113,9,0
2017-05-01,8,35,5,5,2,7,1,6,13,13,73,21,2
2017-06-01,10,168,5,6,1,12,2,10,26,27,304,5,3
2017-07-01,3,72,1,3,0,3,2,1,13,15,284,13,1
2017-08-01,10,113,8,10,6,33,6,27,51,52,515,8,7
2017-09-01,6,177,1,4,0,37,2,33,55,51,338,4,0
2017-10-01,5,85,2,5,2,14,1,10,24,20,156,15,3
2017-11-01,5,143,2,5,1,28,1,25,38,36,231,18,3
2017-12-01,7,42,4,7,2,14,1,13,19,16,139,5,1
2018-01-01,4,77,1,4,1,14,6,9,27,30,358,12,2
2018-02-01,6,73,2,5,0,30,2,28,46,46,376,7,1
2018-03-01,5,21,1,5,1,10,0,9,27,19,160,7,4
2018-04-01,4,63,2,4,1,21,6,16,32,34,199,6,1
2018-05-01,4,96,1,4,1,42,7,36,60,59,401,11,2
2018-06-01,4,129,0,4,0,28,3,24,39,38,336,10,1
2018-07-01,5,52,2,5,2,23,2,12,31,22,244,34,4
2018-08-01,7,164,1,6,1,61,14,59,92,100,903,36,4
2018-09-01,3,120,1,3,1,49,3,45,67,68,513,34,1
2018-10-01,4,62,2,4,1,33,4,27,51,48,465,28,1
2018-11-01,4,63,1,4,0,31,1,30,48,50,284,17,1
2018-12-01,3,41,1,3,0,22,4,21,34,33,226,19,1
2019-01-01,4,96,2,4,2,45,3,41,73,67,459,30,2
2019-02-01,8,120,5,7,3,56,7,52,69,75,420,48,6
2019-03-01,8,120,2,7,0,45,6,36,70,62,390,39,3
2019-04-01,5,63,1,5,0,34,6,29,51,52,410,23,2
2019-05-01,4,49,2,4,1,22,3,20,37,34,349,33,1
2019-06-01,4,12,2,4,2,6,0,6,15,12,82,10,3
2019-07-01,6,27,3,6,1,17,2,15,28,26,192,28,5
2019-08-01,6,83,2,6,1,49,6,43,65,63,518,17,4
2019-09-01,4,82,1,4,1,56,2,51,85,89,696,33,2
2019-10-01,5,161,0,5,0,77,7,71,93,110,687,20,2
2019-11-01,11,153,5,8,1,74,4,70,97,89,583,30,4
2019-12-01,7,74,4,7,3,38,6,31,61,56,576,27,6
2020-01-01,6,53,4,5,1,28,4,24,51,56,438,40,6
2020-02-01,7,110,4,7,3,58,4,57,88,94,673,30,2
2020-03-01,12,143,7,11,4,70,8,60,109,105,581,26,2
2020-04-01,11,143,6,9,2,78,12,68,103,102,717,26,7
2020-05-01,9,117,6,8,3,69,8,61,98,95,714,19,6
2020-06-01,4,98,1,4,0,54,5,48,84,90,941,23,4
2020-07-01,9,67,4,8,2,35,3,29,47,51,519,21,6
2020-08-01,10,66,3,7,2,34,6,30,49,55,363,16,3
