dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,1,60,0,1,0,0,0,0,1,0,0,3,1
2015-11-01,1,80,0,1,0,0,0,0,6,5,71,4,1
2015-12-01,1,44,0,1,0,0,0,0,4,3,19,2,1
2016-01-01,1,37,0,1,0,0,0,0,7,4,165,182,7
2016-02-01,1,13,0,1,0,0,0,0,0,0,0,4,1
2016-03-01,1,2,0,1,0,0,0,0,2,0,38,10,0
2016-04-01,1,12,0,1,0,0,0,0,2,1,16,6,0
2016-05-01,2,37,1,2,1,1,1,0,6,6,80,10,1
2016-06-01,1,67,0,1,0,0,0,0,3,1,20,4,1
2016-07-01,1,36,0,1,0,0,0,0,1,6,34,11,0
2016-08-01,1,7,0,1,0,0,0,0,1,2,12,10,2
2016-09-01,1,50,0,1,0,1,0,0,7,3,125,16,3
2016-10-01,3,98,2,2,1,2,2,1,16,17,196,13,1
2016-11-01,1,41,0,1,0,0,0,0,8,5,88,10,1
2016-12-01,1,17,0,1,0,1,1,0,5,3,35,11,0
2017-01-01,1,18,0,1,0,0,0,0,3,2,27,93,3
2017-02-01,2,46,1,1,0,1,0,1,11,7,96,57,0
2017-03-01,4,48,3,3,1,4,2,1,13,10,124,18,1
2017-04-01,2,19,0,2,0,1,1,0,9,9,146,11,0
2017-05-01,2,48,1,2,1,1,0,0,7,10,188,15,3
2017-06-01,2,33,0,2,0,1,0,2,8,10,90,9,0
2017-07-01,1,24,0,1,0,0,1,0,10,13,290,11,2
2017-08-01,1,18,0,1,0,0,0,0,7,4,47,7,0
2017-09-01,1,15,0,1,0,0,0,0,4,5,66,9,0
2017-10-01,1,13,0,1,0,0,0,0,7,9,107,14,0
2017-11-01,2,34,1,2,1,9,0,9,29,24,263,20,3
2017-12-01,3,29,1,3,0,6,0,6,11,11,72,23,2
2018-01-01,3,24,2,3,2,3,1,2,10,13,200,10,2
2018-02-01,3,28,1,2,0,5,2,3,14,14,144,18,5
2018-03-01,1,36,0,1,0,0,0,0,8,12,152,16,2
2018-04-01,2,21,1,2,0,1,0,1,7,9,97,15,3
2018-05-01,3,13,1,2,0,3,2,0,12,8,129,15,2
2018-06-01,2,22,1,2,1,1,2,0,9,6,148,26,4
2018-07-01,1,26,0,1,0,0,0,0,4,5,50,34,5
2018-08-01,1,21,0,1,0,0,0,0,6,7,90,13,1
2018-09-01,1,23,0,1,0,0,0,0,4,4,49,19,2
2018-10-01,2,14,1,1,0,1,1,0,7,3,79,18,3
2018-11-01,1,18,0,1,0,0,0,0,7,5,60,27,2
2018-12-01,2,18,0,2,0,12,1,8,25,16,148,29,2
2019-01-01,2,127,0,2,0,22,7,18,57,52,476,37,5
2019-02-01,2,10,1,2,1,1,0,0,10,10,150,54,2
2019-03-01,2,24,1,2,1,2,1,2,17,19,159,36,5
2019-04-01,2,6,1,2,1,2,1,1,10,9,90,21,2
2019-05-01,2,13,0,2,0,1,1,0,4,5,55,22,4
2019-06-01,0,0,0,0,0,0,0,0,3,1,15,28,4
2019-07-01,1,1,1,1,0,1,0,1,5,2,26,18,1
2019-08-01,2,4,1,2,1,2,0,0,6,4,76,36,7
2019-09-01,4,13,2,3,1,6,4,3,10,17,89,28,4
2019-10-01,1,13,0,1,0,2,0,0,8,2,58,76,6
2019-11-01,1,12,0,1,0,0,1,0,4,5,25,40,4
2019-12-01,2,5,1,2,1,2,1,1,7,5,36,33,2
2020-01-01,1,2,0,1,0,0,1,0,6,13,82,39,4
2020-02-01,1,10,0,1,0,0,1,0,5,4,68,27,2
2020-03-01,1,4,0,1,0,1,0,0,7,6,122,21,4
2020-04-01,2,16,1,1,0,3,3,1,8,9,25,36,5
2020-05-01,2,44,1,2,1,2,1,0,14,17,105,42,0
2020-06-01,2,4,1,2,1,2,2,1,14,6,27,99,6
