dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,3,96,3,3,3,19,1,18,41,36,153,2,3
2015-10-01,4,69,2,4,2,21,3,18,56,49,429,19,5
2015-11-01,4,39,2,4,2,16,2,12,29,22,288,34,8
2015-12-01,2,2,0,2,0,3,0,1,9,3,60,26,3
2016-01-01,5,25,2,5,2,12,0,12,22,19,238,19,2
2016-02-01,3,95,0,3,0,41,3,36,69,60,610,13,8
2016-03-01,3,9,1,3,1,5,0,4,13,8,39,10,2
2016-04-01,6,93,3,6,3,51,5,41,68,65,796,16,6
2016-05-01,5,73,2,5,1,26,1,31,41,42,340,7,0
2016-06-01,5,39,2,5,0,17,2,9,40,17,351,5,3
2016-07-01,2,4,1,1,0,3,1,0,8,3,90,11,4
2016-08-01,3,44,0,3,0,17,3,21,24,38,322,19,5
2016-09-01,4,36,1,4,1,23,1,14,55,25,622,20,4
2016-10-01,4,26,0,4,0,10,0,1,19,5,147,17,2
2016-11-01,2,6,1,2,1,3,0,0,8,1,48,8,1
2016-12-01,3,13,0,3,0,2,2,0,8,2,40,17,2
2017-01-01,2,12,0,2,0,6,1,1,24,5,87,16,3
2017-02-01,3,4,2,3,1,1,0,0,5,6,59,14,2
2017-03-01,2,20,0,2,0,1,0,0,13,6,121,24,2
2017-04-01,2,8,1,2,1,1,1,0,6,3,56,16,3
2017-05-01,1,3,0,1,0,0,0,0,4,3,18,19,1
2017-06-01,2,35,0,2,0,0,2,7,2,20,149,19,0
2017-07-01,3,63,0,3,0,5,2,4,17,16,179,19,2
2017-08-01,0,0,0,0,0,0,0,0,9,3,49,20,3
2017-09-01,1,3,0,1,0,0,0,0,3,2,18,9,5
2017-10-01,0,0,0,0,0,1,0,0,6,0,29,9,1
2017-11-01,1,1,0,1,0,1,0,0,9,3,37,11,4
2017-12-01,0,0,0,0,0,0,0,0,4,1,46,12,1
2018-01-01,1,2,0,1,0,1,0,0,3,0,10,19,1
2018-02-01,2,48,0,2,0,3,6,11,7,38,230,19,5
2018-03-01,5,22,0,4,0,9,3,4,15,14,83,12,4
2018-04-01,3,6,0,3,0,1,0,1,8,3,29,13,1
2018-05-01,0,0,0,0,0,2,0,0,5,0,23,13,5
2018-06-01,2,7,1,2,0,3,1,0,7,2,32,16,2
2018-07-01,2,2,1,2,0,1,0,0,3,1,8,15,5
2018-08-01,0,0,0,0,0,0,0,0,2,2,10,11,3
2018-09-01,4,55,1,4,1,9,4,13,15,36,152,15,7
2018-10-01,4,10,2,4,1,3,1,0,9,2,75,18,6
2018-11-01,4,9,2,4,2,4,0,0,11,3,65,23,5
2018-12-01,1,1,0,1,0,1,0,0,7,3,60,21,3
2019-01-01,8,65,3,6,1,8,1,17,19,44,366,41,4
2019-02-01,3,125,0,3,0,19,2,18,32,49,332,56,6
2019-03-01,3,3,1,3,0,2,0,1,6,3,51,29,4
2019-04-01,1,3,0,1,0,1,0,0,3,0,5,18,5
2019-05-01,3,10,0,3,0,1,1,1,5,7,36,18,3
2019-06-01,2,10,1,2,0,4,0,0,9,2,52,24,8
2019-07-01,2,4,1,2,0,1,0,1,6,3,30,13,4
2019-08-01,1,1,1,1,1,2,0,0,8,6,53,20,4
2019-09-01,1,47,0,1,0,6,2,6,13,18,119,22,9
2019-10-01,0,0,0,0,0,0,0,0,6,4,23,16,1
2019-11-01,1,1,0,1,0,0,0,0,2,1,27,15,2
2019-12-01,1,1,0,1,0,0,0,0,8,4,56,20,3
2020-01-01,3,8,1,3,0,4,0,4,11,8,67,18,2
2020-02-01,0,0,0,0,0,1,1,0,6,5,74,18,3
2020-03-01,3,10,2,3,0,3,1,2,10,7,77,18,8
2020-04-01,1,1,0,1,0,1,0,1,5,3,25,20,1
2020-05-01,1,3,0,1,0,2,0,0,11,2,78,22,3
2020-06-01,2,3,1,2,1,2,0,1,7,4,26,22,6
2020-07-01,0,0,0,0,0,2,1,0,8,5,39,66,4
2020-08-01,2,2,1,2,1,2,0,1,5,2,12,50,6
