dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-07-01,6,53,6,4,4,5,3,2,29,28,11,2,0
2016-08-01,14,127,10,7,4,37,5,31,102,102,86,7,9
2016-09-01,11,183,2,5,0,189,26,163,191,191,468,9,0
2016-10-01,12,172,2,5,0,179,18,157,179,175,751,23,2
2016-11-01,17,191,2,6,1,177,28,149,218,212,379,20,3
2016-12-01,10,119,1,4,0,131,16,115,171,175,340,13,4
2017-01-01,13,131,1,4,0,149,22,127,151,151,568,41,4
2017-02-01,11,147,1,4,0,158,14,145,163,162,384,19,1
2017-03-01,11,157,0,5,0,157,21,135,197,197,651,34,3
2017-04-01,8,92,0,4,0,101,16,89,105,105,379,31,3
2017-05-01,12,165,2,6,1,173,24,144,190,187,884,57,11
2017-06-01,13,190,0,6,0,100,21,78,129,128,632,126,13
2017-07-01,12,178,1,6,0,85,10,78,117,118,448,48,5
2017-08-01,13,104,2,6,0,81,12,65,108,101,443,63,8
2017-09-01,10,109,0,6,0,89,8,82,115,110,516,43,3
2017-10-01,13,118,3,6,0,73,13,60,131,120,577,61,9
2017-11-01,15,161,4,7,1,112,10,99,154,150,633,51,5
2017-12-01,13,111,2,5,0,48,12,42,98,103,353,37,9
2018-01-01,12,78,0,5,0,36,2,32,62,58,209,43,3
2018-02-01,9,71,0,4,0,38,2,36,54,51,78,50,2
2018-03-01,11,118,1,5,0,68,7,65,82,89,60,56,7
2018-04-01,8,41,3,5,0,30,5,20,46,38,65,67,9
2018-05-01,8,22,3,4,0,25,8,18,36,36,63,57,6
2018-06-01,4,32,0,4,0,19,7,14,33,34,25,47,9
2018-07-01,5,48,1,4,0,19,5,17,49,56,62,32,3
2018-08-01,8,84,3,5,1,63,4,51,67,58,19,49,10
2018-09-01,8,82,3,3,0,45,4,47,1340,1099,2155,65,6
2018-10-01,10,42,3,4,1,37,6,32,130,95,175,54,5
2018-11-01,9,87,1,3,0,83,5,77,142,132,118,47,4
2018-12-01,5,47,0,3,0,52,5,46,91,101,135,51,3
2019-01-01,6,54,0,3,0,53,8,45,77,77,81,57,6
2019-02-01,7,87,0,3,0,83,10,75,132,196,181,38,4
2019-03-01,8,194,2,4,1,55,3,52,81,87,64,54,0
2019-04-01,8,50,0,5,0,46,5,40,67,84,103,72,8
2019-05-01,8,101,0,5,0,61,6,57,82,110,149,44,6
2019-06-01,9,83,0,4,0,49,5,44,67,76,66,38,5
2019-07-01,11,90,1,4,0,37,3,32,53,58,67,49,7
2019-08-01,7,40,0,3,0,34,2,31,45,40,36,55,9
2019-09-01,7,100,0,4,0,38,3,37,59,55,55,24,4
2019-10-01,6,45,0,3,0,24,2,19,29,47,43,43,6
2019-11-01,7,43,0,3,0,27,1,28,37,37,20,54,1
2019-12-01,3,9,0,2,0,7,0,8,17,11,17,39,2
2020-01-01,5,9,0,4,0,11,1,8,28,14,41,38,3
2020-02-01,6,25,1,4,0,22,0,23,37,24,21,41,7
2020-03-01,8,40,0,4,0,41,7,29,67,43,50,40,2
2020-04-01,8,47,0,3,0,20,1,19,35,31,99,46,7
2020-05-01,4,11,0,3,0,13,2,9,20,16,30,44,6
2020-06-01,10,48,3,4,0,48,10,35,74,72,139,51,3
2020-07-01,10,36,1,4,0,35,6,30,61,42,66,76,9
2020-08-01,8,18,0,3,0,9,2,13,11,21,21,86,5
