dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-08-01,7,44,7,6,6,11,1,7,26,16,179,443,10
2015-09-01,5,59,3,5,2,6,3,6,11,14,104,126,6
2015-10-01,4,15,2,3,0,4,1,0,8,1,16,99,10
2015-11-01,5,26,2,3,0,8,2,6,21,15,187,50,5
2015-12-01,5,15,1,5,1,4,0,2,9,7,47,83,8
2016-01-01,3,11,0,3,0,5,1,6,11,10,62,152,3
2016-02-01,5,36,2,4,0,5,0,4,11,10,116,75,3
2016-03-01,5,65,2,4,1,12,4,11,22,31,113,93,10
2016-04-01,7,22,4,4,1,7,1,6,14,13,72,100,9
2016-05-01,3,10,2,3,1,1,0,0,5,2,31,75,4
2016-06-01,5,20,3,5,3,6,0,5,11,11,92,75,10
2016-07-01,4,4,2,4,1,4,0,1,6,1,47,71,6
2016-08-01,6,32,2,5,1,3,2,6,9,16,109,83,6
2016-09-01,2,4,1,2,0,5,0,4,8,5,61,161,15
2016-10-01,4,13,3,3,1,6,1,4,11,7,70,183,13
2016-11-01,11,48,7,8,3,32,11,14,46,40,243,151,11
2016-12-01,6,84,3,5,2,25,8,25,36,44,173,155,21
2017-01-01,9,131,4,6,1,34,6,29,43,52,172,141,14
2017-02-01,13,239,6,7,0,35,1,28,45,35,216,131,16
2017-03-01,10,256,3,6,1,41,2,40,54,46,206,164,20
2017-04-01,10,198,2,5,0,38,4,34,46,42,156,150,13
2017-05-01,10,164,3,7,2,34,0,34,46,42,169,226,16
2017-06-01,9,167,3,5,1,30,2,28,38,39,155,199,14
2017-07-01,6,91,1,5,1,11,1,10,21,19,134,215,11
2017-08-01,7,125,3,5,2,15,1,14,33,25,218,205,11
2017-09-01,10,30,4,5,1,9,1,4,20,9,120,203,16
2017-10-01,5,21,3,3,0,7,3,8,19,19,104,223,19
2017-11-01,8,18,4,6,2,6,0,5,9,9,62,219,23
2017-12-01,4,6,1,3,0,4,2,2,9,4,25,231,21
2018-01-01,5,15,2,4,1,3,1,0,15,3,48,252,19
2018-02-01,5,5,3,4,1,3,0,0,6,0,23,209,12
2018-03-01,2,3,2,1,0,2,0,0,5,0,37,233,20
2018-04-01,5,18,4,3,1,1,0,1,7,1,34,232,23
2018-05-01,0,0,0,0,0,1,0,0,10,1,24,215,33
2018-06-01,4,9,2,3,1,2,1,0,11,2,70,241,25
2018-07-01,0,0,0,0,0,2,0,0,13,3,47,212,33
2018-08-01,2,6,1,2,1,2,4,3,8,7,75,231,15
2018-09-01,10,25,5,8,4,6,3,5,9,12,60,238,16
2018-10-01,3,20,1,3,1,9,2,4,17,7,83,202,20
2018-11-01,1,1,1,1,1,4,0,0,11,3,56,203,25
2018-12-01,1,1,0,1,0,3,0,0,11,2,21,212,16
2019-01-01,2,4,1,2,0,1,0,1,5,2,21,254,35
2019-02-01,2,4,0,2,0,2,2,1,11,4,81,189,26
2019-03-01,4,5,4,3,1,4,0,1,10,1,26,232,21
2019-04-01,3,4,2,1,0,3,0,3,9,7,47,226,35
2019-05-01,7,46,6,4,1,32,8,29,46,45,183,216,37
2019-06-01,12,59,7,7,4,28,6,20,42,54,241,196,32
2019-07-01,7,11,3,5,1,11,5,9,22,23,147,206,18
2019-08-01,9,25,4,4,0,19,6,20,25,42,212,229,18
2019-09-01,5,16,3,3,1,12,2,10,17,19,152,196,14
2019-10-01,9,22,5,2,0,8,1,9,21,17,213,180,18
2019-11-01,7,26,4,4,2,29,9,14,43,30,194,187,29
2019-12-01,9,156,6,6,3,125,27,95,146,151,826,190,24
2020-01-01,9,106,3,5,0,113,42,61,121,108,504,179,23
2020-02-01,6,92,3,4,1,71,25,48,84,87,303,192,36
2020-03-01,17,32,10,6,2,43,26,29,56,66,279,188,39
2020-04-01,13,44,7,6,1,46,12,38,74,68,328,217,24
2020-05-01,9,28,7,4,1,21,5,20,45,47,325,258,34
2020-06-01,7,28,2,6,2,11,3,13,44,52,336,164,30
2020-07-01,1,2,0,1,0,0,0,0,17,3,24,162,17
2020-08-01,3,16,1,1,0,0,0,0,24,16,67,117,18
