dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-07-01,2,243,2,2,2,3,0,3,3,3,6,128,3
2015-08-01,2,19,1,2,1,2,1,1,10,8,81,27,2
2015-09-01,6,26,5,6,4,14,2,9,23,16,109,24,6
2015-10-01,3,8,1,3,0,3,0,2,9,6,81,33,5
2015-11-01,2,4,1,2,1,2,1,1,3,2,16,20,4
2015-12-01,4,8,2,4,1,3,0,1,12,5,57,26,3
2016-01-01,5,40,3,4,0,6,3,4,16,17,107,22,9
2016-02-01,4,23,3,3,0,7,4,2,18,14,131,30,10
2016-03-01,6,12,4,4,1,9,1,2,23,9,90,38,6
2016-04-01,5,15,4,4,2,6,0,7,12,10,70,25,6
2016-05-01,9,29,5,6,3,13,1,14,24,23,103,30,6
2016-06-01,6,7,3,5,2,9,2,1,18,5,121,28,9
2016-07-01,2,2,0,2,0,2,0,0,13,1,74,20,3
2016-08-01,7,20,4,4,1,4,1,8,10,17,116,23,4
2016-09-01,7,12,4,5,3,10,3,2,22,12,227,62,12
2016-10-01,8,14,3,7,2,12,6,10,22,25,148,87,20
2016-11-01,6,10,1,5,1,7,1,1,14,5,68,62,7
2016-12-01,5,41,2,5,2,21,9,13,37,40,253,58,10
2017-01-01,6,38,3,3,0,10,2,9,24,19,127,65,14
2017-02-01,7,20,3,4,1,11,5,6,23,17,121,57,7
2017-03-01,5,20,2,3,1,7,4,12,15,25,126,82,13
2017-04-01,12,65,6,7,1,28,4,17,46,55,334,87,16
2017-05-01,8,162,4,4,1,39,5,39,83,103,586,89,17
2017-06-01,11,73,7,5,1,35,6,31,58,60,217,81,19
2017-07-01,9,33,6,8,5,22,3,15,40,36,198,73,13
2017-08-01,10,114,7,8,5,47,8,49,95,119,381,73,19
2017-09-01,7,32,3,4,0,42,5,31,72,71,239,95,14
2017-10-01,10,37,7,7,3,38,3,34,64,64,189,99,16
2017-11-01,11,41,6,7,2,23,1,21,37,32,131,74,15
2017-12-01,8,20,1,4,0,16,1,16,30,33,68,88,10
2018-01-01,7,33,1,5,0,12,1,11,28,28,109,115,15
2018-02-01,6,62,2,5,1,24,2,20,44,38,127,84,7
2018-03-01,11,91,4,8,2,27,2,22,55,48,207,113,14
2018-04-01,3,4,1,3,0,8,1,1,19,5,53,66,17
2018-05-01,13,51,8,6,2,23,7,29,39,62,189,76,17
2018-06-01,5,55,1,4,0,27,4,21,44,37,184,74,11
2018-07-01,7,64,3,6,1,20,4,11,40,23,122,95,14
2018-08-01,8,19,6,8,4,24,9,21,50,62,212,100,28
2018-09-01,10,22,6,7,3,23,5,13,54,49,278,73,22
2018-10-01,6,23,3,6,2,21,4,16,42,44,232,68,7
2018-11-01,6,68,2,4,0,25,2,23,38,39,123,105,15
2018-12-01,5,109,2,4,1,27,4,22,41,33,94,88,17
2019-01-01,8,75,4,5,2,30,3,25,42,40,153,120,14
2019-02-01,7,21,2,3,0,12,0,13,25,19,50,83,21
2019-03-01,5,37,1,4,0,24,1,24,45,53,121,110,9
2019-04-01,4,9,1,3,0,12,1,7,35,17,127,120,14
2019-05-01,8,36,4,7,3,20,3,12,39,26,135,80,23
2019-06-01,7,20,4,6,2,14,3,19,27,36,140,89,9
2019-07-01,5,49,2,5,2,15,0,12,29,35,146,104,12
2019-08-01,7,41,4,7,2,19,2,14,28,20,57,93,25
2019-09-01,6,14,3,3,0,12,2,10,24,19,77,83,19
2019-10-01,6,32,1,5,0,12,2,14,22,22,64,89,21
2019-11-01,6,18,3,5,1,11,1,2,20,3,38,75,18
2019-12-01,5,18,1,4,1,9,3,5,16,14,44,60,10
2020-01-01,8,64,4,4,1,30,5,24,56,74,203,73,18
2020-02-01,6,24,1,4,1,13,4,8,24,20,80,68,15
2020-03-01,2,2,1,2,0,12,3,0,33,10,96,59,20
2020-04-01,6,15,3,4,1,21,8,2,48,18,108,85,18
2020-05-01,9,78,4,5,1,20,11,33,51,76,154,78,13
2020-06-01,7,22,1,5,0,23,3,10,35,23,49,70,15
2020-07-01,2,5,1,2,1,4,0,3,18,6,39,83,13
2020-08-01,7,10,5,4,0,16,6,9,27,30,41,60,12
