dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-10-01,5,36,5,3,3,1,1,0,13,2,126,74,2
2015-11-01,15,273,11,8,6,57,4,52,101,83,635,55,10
2015-12-01,6,99,0,4,0,19,2,18,36,37,271,83,0
2016-01-01,9,98,5,5,2,25,2,21,35,38,253,42,8
2016-02-01,4,24,1,3,1,5,0,6,7,6,10,17,2
2016-03-01,3,18,0,2,0,1,0,2,5,3,36,9,0
2016-04-01,1,1,0,1,0,0,0,0,2,1,5,10,4
2016-05-01,3,20,0,3,0,3,0,3,5,6,93,8,1
2016-06-01,4,9,1,3,1,2,0,2,5,4,25,6,3
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,9,0
2016-08-01,1,5,0,1,0,0,0,0,0,0,0,14,0
2016-09-01,3,18,1,2,0,4,0,4,6,5,22,6,1
2016-10-01,1,19,0,1,0,0,0,0,1,0,1,11,0
2016-11-01,1,2,0,1,0,0,0,0,0,0,0,2,0
2016-12-01,1,2,0,1,0,0,0,0,0,0,0,7,1
2017-01-01,1,6,0,1,0,0,0,0,2,1,10,5,1
2017-02-01,1,2,0,1,0,0,0,0,0,0,0,9,0
2017-03-01,2,13,1,1,0,0,0,0,0,0,0,8,0
2017-04-01,1,43,0,1,0,3,0,3,3,7,30,6,0
2017-05-01,3,43,1,1,0,9,0,9,12,11,19,11,4
2017-06-01,3,120,0,1,0,18,0,17,20,19,48,2,0
2017-07-01,5,94,2,3,2,14,0,14,16,16,71,45,1
2017-08-01,9,51,5,6,4,19,2,16,44,32,212,78,9
2017-09-01,2,40,0,2,0,4,0,4,11,7,58,49,1
2017-10-01,3,23,1,1,0,6,0,6,20,12,102,30,2
2017-11-01,5,35,3,3,1,14,3,13,36,27,240,56,4
2017-12-01,9,61,4,4,2,19,0,19,53,36,351,61,8
2018-01-01,8,21,2,6,1,9,0,9,22,10,151,22,3
2018-02-01,6,30,2,3,1,10,0,10,28,19,122,42,3
2018-03-01,11,52,7,5,4,19,0,17,30,29,223,47,6
2018-04-01,10,38,7,5,3,11,0,9,29,21,215,41,5
2018-05-01,10,142,4,6,1,34,4,27,62,50,419,42,5
2018-06-01,9,129,4,7,3,33,4,30,61,58,297,61,3
2018-07-01,9,163,5,6,2,39,3,35,65,52,286,61,5
2018-08-01,9,146,5,4,2,33,5,29,68,54,324,59,6
2018-09-01,5,134,2,3,0,22,1,21,51,37,177,53,8
2018-10-01,12,115,6,7,3,28,0,24,70,49,331,68,6
2018-11-01,8,90,3,5,1,15,1,18,46,35,264,61,8
2018-12-01,12,108,7,5,2,24,1,23,55,81,614,62,11
2019-01-01,12,72,5,8,4,25,4,22,51,45,331,53,4
2019-02-01,13,79,4,7,1,16,1,11,40,23,266,70,6
2019-03-01,11,76,4,5,2,20,3,16,43,45,427,78,6
2019-04-01,15,230,5,7,2,36,2,30,72,56,599,64,6
2019-05-01,9,120,3,4,0,25,3,26,50,42,272,53,4
2019-06-01,12,121,2,6,1,19,2,21,34,41,281,64,6
2019-07-01,15,101,4,7,2,20,0,19,40,31,327,54,6
2019-08-01,10,28,3,3,0,12,0,12,26,19,205,49,3
2019-09-01,5,41,1,3,0,7,1,7,23,15,189,53,4
2019-10-01,8,117,1,4,0,13,0,13,33,21,185,58,3
2019-11-01,12,112,6,3,0,18,3,14,40,28,251,72,8
2019-12-01,9,142,1,4,0,24,2,18,61,57,642,42,1
2020-01-01,15,180,5,8,3,48,5,44,89,100,1111,76,13
2020-02-01,8,73,3,3,1,19,0,19,55,37,461,62,6
2020-03-01,6,38,0,3,0,12,1,13,43,32,326,58,2
2020-04-01,7,27,1,3,0,8,0,8,40,30,378,69,8
2020-05-01,5,19,2,2,1,8,0,8,26,22,219,46,4
2020-06-01,2,2,1,2,0,2,0,1,7,4,17,33,5
2020-07-01,1,1,0,1,0,1,0,0,5,0,10,42,1
2020-08-01,1,1,0,1,0,0,1,1,3,4,31,22,2
