dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,2,35,0,2,0,0,0,0,2,1,0,2,0
2015-06-01,1,10,0,1,0,0,0,0,1,2,0,0,0
2015-07-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2015-08-01,1,17,0,1,0,0,0,0,1,0,0,1,0
2015-09-01,1,5,0,1,0,0,0,0,4,1,2,6,1
2015-10-01,1,9,0,1,0,0,0,0,4,4,14,3,0
2015-11-01,3,52,2,2,1,2,0,2,14,9,23,7,0
2015-12-01,1,14,0,1,0,0,0,0,3,3,6,6,0
2016-01-01,3,42,2,3,2,3,1,1,3,4,17,3,1
2016-02-01,3,116,2,2,1,12,0,11,29,17,74,20,5
2016-03-01,9,188,6,2,1,29,1,27,52,49,179,39,9
2016-04-01,5,87,3,4,2,9,0,7,19,10,36,289,27
2016-05-01,8,149,7,3,2,25,5,20,44,44,120,60,16
2016-06-01,10,111,6,5,4,20,0,16,37,25,77,26,14
2016-07-01,10,148,4,4,2,33,1,26,50,41,224,187,18
2016-08-01,8,114,4,6,3,25,1,23,49,46,198,30,9
2016-09-01,8,91,4,5,1,24,3,18,36,33,120,27,10
2016-10-01,11,204,4,6,2,52,0,52,80,74,190,126,16
2016-11-01,3,71,0,3,0,15,1,15,32,30,117,34,9
2016-12-01,5,58,2,4,1,16,2,12,25,21,69,25,7
2017-01-01,7,124,2,5,2,27,3,28,48,51,99,23,6
2017-02-01,9,33,5,6,3,12,1,9,24,10,89,27,8
2017-03-01,6,78,3,3,1,29,2,23,39,35,60,47,12
2017-04-01,4,41,1,2,0,13,2,11,22,19,53,16,6
2017-05-01,3,33,2,2,1,10,1,9,16,18,58,19,4
2017-06-01,5,34,3,2,0,16,3,11,24,21,54,41,15
2017-07-01,1,26,0,1,0,11,1,10,24,25,22,14,5
2017-08-01,3,8,2,3,2,7,0,3,9,5,7,20,3
2017-09-01,2,2,1,2,0,1,0,0,4,0,6,11,3
2017-10-01,13,63,10,9,7,24,0,19,35,26,71,28,16
2017-11-01,1,1,0,1,0,1,0,0,5,2,10,28,7
2017-12-01,2,11,2,1,0,11,0,0,14,1,20,20,6
2018-01-01,6,55,3,5,2,14,1,22,24,30,50,14,8
2018-02-01,4,39,1,3,0,14,5,12,24,28,57,24,4
2018-03-01,1,14,0,1,0,6,1,7,11,12,14,18,8
2018-04-01,1,9,0,1,0,0,0,0,2,0,9,15,8
2018-05-01,1,30,0,1,0,3,1,3,12,6,13,18,4
2018-06-01,3,42,2,3,1,4,0,3,9,4,13,16,1
2018-07-01,4,51,2,2,1,18,2,13,30,32,59,17,4
2018-08-01,2,21,1,2,0,13,7,4,23,22,31,40,9
2018-09-01,3,59,2,2,1,27,2,15,35,30,51,23,6
2018-10-01,7,110,4,4,2,57,17,44,73,67,144,18,5
2018-11-01,6,62,3,3,0,41,17,24,44,66,136,21,5
2018-12-01,6,56,1,4,1,20,1,18,23,21,23,15,1
2019-01-01,4,119,1,4,1,58,15,54,64,75,101,18,11
2019-02-01,3,38,1,2,0,24,6,15,35,24,48,29,4
2019-03-01,4,111,2,2,0,45,14,30,55,53,65,46,5
2019-04-01,4,69,0,4,0,40,16,32,53,56,77,24,4
2019-05-01,3,73,1,3,0,40,4,31,53,45,39,23,4
2019-06-01,4,23,2,3,1,20,3,9,23,13,16,23,2
2019-07-01,4,52,1,3,0,30,5,22,34,27,33,21,7
2019-08-01,4,79,1,3,0,35,5,36,37,52,41,64,12
2019-09-01,3,73,0,3,0,34,6,36,42,45,44,31,3
2019-10-01,4,73,2,3,1,48,6,25,49,33,28,29,11
2019-11-01,3,53,1,2,0,27,9,25,34,37,45,28,6
2019-12-01,2,48,0,2,0,31,7,23,34,33,24,27,4
2020-01-01,2,31,0,2,0,29,5,12,35,19,26,19,3
2020-02-01,2,74,0,2,0,30,14,39,31,56,33,19,3
2020-03-01,2,24,0,2,0,26,3,9,30,12,15,21,4
2020-04-01,1,9,0,1,0,24,9,0,28,9,20,18,8
2020-05-01,2,39,0,2,0,20,13,25,22,40,23,24,3
2020-06-01,2,28,0,2,0,28,12,10,29,23,31,10,5
2020-07-01,2,29,0,2,0,38,9,21,40,31,22,26,12
