dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-05-01,4,88,3,3,2,2,2,0,20,20,114,25,8
2015-06-01,3,48,1,3,1,3,3,0,19,15,153,39,10
2015-07-01,5,49,3,2,0,3,3,0,29,24,261,27,4
2015-08-01,6,47,3,3,1,5,2,0,24,21,211,34,12
2015-09-01,3,12,1,2,0,1,3,0,14,17,135,38,13
2015-10-01,4,49,2,3,1,2,3,0,29,34,296,68,12
2015-11-01,3,7,1,2,0,3,1,0,22,13,148,40,13
2015-12-01,6,107,4,5,2,3,5,0,42,46,350,43,13
2016-01-01,2,4,1,2,0,1,1,0,13,3,56,40,8
2016-02-01,3,15,1,3,1,0,0,0,11,10,108,31,14
2016-03-01,5,97,2,3,1,2,2,0,17,32,220,49,9
2016-04-01,5,23,3,4,2,0,0,0,7,5,32,37,11
2016-05-01,3,11,1,2,0,2,0,0,18,11,97,43,8
2016-06-01,5,24,3,4,2,1,3,0,18,21,157,34,13
2016-07-01,5,60,0,3,0,2,2,0,28,23,215,51,13
2016-08-01,6,21,3,4,1,2,2,0,22,24,199,55,11
2016-09-01,0,0,0,0,0,4,4,0,14,9,46,35,10
2016-10-01,1,8,0,1,0,1,1,0,9,1,27,32,10
2016-11-01,0,0,0,0,0,1,0,0,5,1,14,43,4
2016-12-01,0,0,0,0,0,0,0,0,3,1,18,16,4
2017-01-01,2,2,2,1,0,0,0,0,8,21,148,27,9
2017-02-01,1,1,0,1,0,1,2,0,8,11,34,29,13
2017-03-01,4,5,3,4,2,0,0,0,20,21,110,39,13
2017-04-01,3,5,0,1,0,0,0,0,8,20,92,24,4
2017-05-01,0,0,0,0,0,1,0,0,4,0,11,29,8
2017-06-01,1,1,1,1,0,0,0,1,7,4,12,34,4
2017-07-01,0,0,0,0,0,2,1,0,12,11,38,39,7
2017-08-01,0,0,0,0,0,0,0,0,5,2,17,29,12
2017-09-01,2,2,2,1,0,2,0,1,7,4,9,28,6
2017-10-01,0,0,0,0,0,1,0,0,11,9,36,27,8
2017-11-01,5,12,1,3,0,1,1,3,7,22,76,27,11
2017-12-01,0,0,0,0,0,0,0,0,5,3,10,30,6
2018-01-01,0,0,0,0,0,1,0,0,7,1,15,23,5
2018-02-01,0,0,0,0,0,0,0,0,7,1,15,23,7
2018-03-01,5,17,3,2,0,1,1,1,4,18,44,16,3
2018-04-01,0,0,0,0,0,0,0,0,3,1,6,17,6
2018-05-01,0,0,0,0,0,0,0,0,2,0,6,20,6
2018-06-01,1,2,0,1,0,0,0,0,2,7,21,18,6
2018-07-01,2,9,1,2,0,1,1,0,8,11,49,25,4
2018-08-01,0,0,0,0,0,0,0,0,1,0,1,15,2
2018-09-01,0,0,0,0,0,0,0,0,2,0,4,24,3
2018-10-01,3,3,1,3,0,0,0,0,6,5,27,17,7
2018-11-01,0,0,0,0,0,0,0,0,1,0,1,12,2
2018-12-01,2,3,1,2,0,0,0,0,7,7,37,20,7
2019-01-01,0,0,0,0,0,0,0,0,7,2,21,16,7
2019-02-01,0,0,0,0,0,0,0,0,2,0,12,12,2
2019-03-01,2,2,1,2,0,0,0,0,2,10,41,22,3
2019-04-01,0,0,0,0,0,0,0,0,5,0,18,10,3
2019-05-01,3,12,2,2,0,3,1,1,18,10,72,12,2
2019-06-01,7,21,3,3,1,1,1,1,7,18,76,11,5
2019-07-01,2,2,0,2,0,1,0,0,7,8,33,16,5
2019-08-01,0,0,0,0,0,0,0,0,7,0,1,18,4
2019-09-01,2,13,0,2,0,0,1,0,7,18,9,7,3
2019-10-01,0,0,0,0,0,0,0,0,7,0,1,16,4
2019-11-01,0,0,0,0,0,0,0,0,2,0,3,17,6
2019-12-01,3,14,1,2,0,0,0,0,9,12,13,12,5
2020-01-01,0,0,0,0,0,0,0,0,8,0,17,15,3
2020-02-01,7,12,2,3,1,0,0,0,10,24,54,9,4
2020-03-01,0,0,0,0,0,0,0,0,6,4,4,17,4
2020-04-01,1,1,0,1,0,4,4,0,39,40,67,63,21
