dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,3,117,3,3,3,1,0,1,1,1,0,0,0
2015-12-01,4,183,1,3,0,22,2,20,40,40,2,141,10
2016-01-01,6,283,2,4,1,18,1,17,45,44,9,101,5
2016-02-01,5,272,0,4,0,14,3,11,50,47,86,119,5
2016-03-01,4,185,1,2,0,9,0,9,31,29,3,24,4
2016-04-01,8,170,3,5,2,6,1,5,18,21,34,13,3
2016-05-01,4,90,2,4,1,3,0,2,15,11,18,19,2
2016-06-01,3,166,1,2,0,0,0,0,7,1,40,15,2
2016-07-01,4,226,1,4,0,17,1,17,26,32,73,28,1
2016-08-01,4,82,0,4,0,16,0,16,22,19,85,24,1
2016-09-01,2,96,0,2,0,9,0,9,19,20,23,25,4
2016-10-01,4,44,1,4,1,0,0,0,11,8,19,23,1
2016-11-01,6,142,2,5,1,7,0,7,29,33,43,19,2
2016-12-01,6,86,1,5,1,14,0,14,27,17,43,70,1
2017-01-01,5,172,1,3,0,11,0,11,25,23,52,18,1
2017-02-01,6,185,1,4,1,35,0,35,65,60,180,111,16
2017-03-01,5,220,0,5,0,8,0,8,57,54,93,19,2
2017-04-01,5,79,1,4,0,11,0,11,39,37,61,33,1
2017-05-01,3,73,0,3,0,23,0,22,40,27,82,22,1
2017-06-01,6,79,1,6,1,29,1,29,54,54,95,20,3
2017-07-01,4,33,1,4,1,11,0,10,22,24,35,22,5
2017-08-01,4,19,0,4,0,2,0,3,6,15,86,32,4
2017-09-01,5,23,2,5,1,11,0,11,14,15,59,26,3
2017-10-01,3,5,0,3,0,3,0,3,7,8,51,30,1
2017-11-01,1,3,0,1,0,2,0,2,8,5,44,30,2
2017-12-01,1,4,1,1,1,1,0,0,4,0,24,21,1
2018-01-01,1,18,0,1,0,4,0,4,9,11,77,12,1
2018-02-01,2,20,1,2,1,4,1,3,9,7,53,17,4
2018-03-01,5,43,2,5,1,11,0,12,20,22,76,18,6
2018-04-01,1,38,0,1,0,0,0,0,3,2,1,13,1
2018-05-01,1,44,0,1,0,0,0,0,5,7,14,21,0
2018-06-01,2,69,0,2,0,6,0,6,19,21,26,21,3
2018-07-01,4,27,2,4,1,7,0,4,13,9,34,17,3
2018-08-01,2,26,1,2,1,2,0,5,7,11,40,18,1
2018-09-01,3,8,1,3,1,3,0,3,4,5,20,22,4
2018-10-01,4,13,1,3,0,7,0,7,11,10,42,20,1
2018-11-01,2,6,1,2,1,2,0,1,7,10,67,38,2
2018-12-01,2,6,0,2,0,0,0,1,2,1,6,14,1
2019-01-01,2,25,0,1,0,5,1,4,7,11,29,28,2
2019-02-01,6,43,1,3,0,15,0,15,22,27,130,18,6
2019-03-01,2,10,1,2,1,4,0,4,10,5,38,32,2
2019-04-01,3,14,1,2,0,6,0,6,8,10,48,22,1
2019-05-01,1,5,0,1,0,1,0,1,5,5,27,34,3
2019-06-01,1,26,0,1,0,6,0,6,12,13,70,18,1
2019-07-01,4,20,3,3,1,10,0,10,16,16,58,32,3
2019-08-01,2,4,2,2,1,1,0,0,4,0,5,21,2
2019-09-01,1,2,0,1,0,1,1,1,1,2,1,11,1
2019-10-01,1,4,0,1,0,1,0,1,3,2,4,19,3
2019-11-01,2,2,1,2,1,2,0,1,5,3,8,10,4
2019-12-01,1,1,0,1,0,1,0,2,4,3,9,11,2
2020-01-01,1,3,1,1,0,2,0,2,4,4,49,16,3
2020-02-01,3,6,1,3,1,1,0,1,9,5,39,14,2
2020-03-01,2,13,0,2,0,9,0,7,14,16,102,9,3
2020-04-01,4,8,2,3,1,7,0,8,12,14,18,24,8
2020-05-01,5,9,4,4,2,5,1,3,10,9,67,18,1
2020-06-01,3,9,0,3,0,3,1,4,4,9,20,14,1
2020-07-01,1,1,0,1,0,0,0,0,0,0,0,25,1
2020-08-01,1,2,0,1,0,2,0,2,4,4,12,11,2
