dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,5,47,2,3,1,0,0,0,3,3,0,0,0
2016-11-01,5,34,1,2,0,0,0,0,1,0,0,0,0
2016-12-01,5,15,1,2,0,1,0,1,1,1,0,0,0
2017-01-01,9,39,5,2,0,23,0,22,24,23,6,0,0
2017-02-01,5,30,1,2,0,25,0,24,29,26,13,0,0
2017-03-01,4,19,1,3,0,15,1,16,19,20,18,0,0
2017-04-01,5,33,2,3,1,30,0,30,33,34,15,0,0
2017-05-01,6,43,1,4,0,43,4,39,52,51,71,2,0
2017-06-01,7,30,2,4,1,30,0,27,41,37,100,2,0
2017-07-01,18,85,12,8,4,76,2,73,85,84,160,3,0
2017-08-01,16,93,4,9,1,92,6,88,116,119,484,540,62
2017-09-01,17,136,5,7,1,74,3,73,97,92,288,69,12
2017-10-01,19,88,9,8,4,56,2,53,102,98,618,162,15
2017-11-01,16,50,9,8,4,43,3,36,80,75,419,65,21
2017-12-01,18,46,8,7,0,31,2,33,59,59,406,37,11
2018-01-01,32,82,16,14,6,67,9,55,110,105,540,70,22
2018-02-01,21,62,6,10,2,58,3,52,90,87,577,130,32
2018-03-01,27,86,11,10,2,72,8,65,128,131,752,131,20
2018-04-01,20,80,4,8,1,50,4,46,66,71,246,58,19
2018-05-01,26,72,11,10,4,48,7,34,77,61,533,129,33
2018-06-01,31,109,10,11,1,107,12,99,150,155,1074,103,29
2018-07-01,35,117,10,13,2,126,10,110,153,143,977,178,40
2018-08-01,30,103,8,10,0,118,12,102,164,156,1240,122,36
2018-09-01,31,72,10,12,3,86,9,72,107,106,995,180,44
2018-10-01,46,177,13,16,0,214,36,174,257,247,1653,167,45
2018-11-01,41,126,15,18,5,130,10,122,162,160,1200,151,37
2018-12-01,40,88,9,12,1,110,15,88,150,131,1145,169,50
2019-01-01,41,97,10,16,4,107,8,96,175,163,1435,177,36
2019-02-01,47,108,8,13,0,114,9,107,172,172,1386,160,29
2019-03-01,47,140,11,21,3,172,21,140,233,209,1536,197,59
2019-04-01,48,98,14,16,1,124,24,99,186,185,1414,184,54
2019-05-01,46,105,12,18,2,109,14,104,147,156,1206,237,60
2019-06-01,47,137,20,17,4,150,8,136,197,187,1118,207,59
2019-07-01,44,133,12,20,3,161,24,131,213,207,1654,203,56
2019-08-01,59,117,20,25,7,144,12,117,190,171,1195,180,64
2019-09-01,58,139,20,27,6,135,15,139,167,187,1355,166,44
2019-10-01,48,136,16,18,0,157,25,134,204,203,1411,241,77
2019-11-01,56,141,15,24,2,165,16,141,208,199,1581,175,47
2019-12-01,52,103,12,17,0,114,12,103,156,160,1272,153,57
2020-01-01,43,145,12,17,1,164,18,145,190,187,1025,126,38
2020-02-01,45,126,15,17,0,144,22,123,178,184,1426,101,51
2020-03-01,63,175,23,20,3,197,24,175,222,229,1668,101,56
2020-04-01,58,207,20,17,2,238,23,207,297,274,1785,117,45
2020-05-01,49,177,9,19,2,180,14,177,213,227,1279,125,38
2020-06-01,52,167,15,19,1,192,12,167,265,249,1475,116,47
2020-07-01,56,140,18,19,3,164,15,140,211,196,1229,130,55
2020-08-01,65,142,22,22,1,150,13,142,184,192,1184,104,53
