dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-06-01,14,99,14,3,3,11,10,0,120,78,1002,3145,249
2015-07-01,12,82,4,3,1,7,5,0,38,21,214,319,55
2015-08-01,10,106,1,1,0,0,1,0,8,18,147,179,25
2015-09-01,9,58,1,3,0,1,0,0,17,12,167,134,19
2015-10-01,11,91,2,2,1,1,4,0,10,15,111,145,18
2015-11-01,9,131,1,1,0,1,0,0,12,7,94,138,27
2015-12-01,9,127,0,1,0,2,0,0,22,12,124,115,23
2016-01-01,10,81,1,2,1,1,2,0,27,27,231,162,21
2016-02-01,14,166,3,5,2,7,8,0,35,24,204,119,27
2016-03-01,11,125,1,3,0,3,4,0,37,32,359,168,24
2016-04-01,10,109,1,2,0,1,1,0,26,56,410,109,16
2016-05-01,11,123,1,1,0,0,0,0,21,12,96,136,23
2016-06-01,11,88,1,1,0,1,0,0,16,14,159,162,33
2016-07-01,10,126,2,3,1,2,2,0,20,25,196,156,21
2016-08-01,12,131,4,4,2,8,6,0,41,33,278,110,18
2016-09-01,12,128,0,1,0,2,0,0,22,14,184,197,31
2016-10-01,12,179,1,1,0,1,2,0,20,8,132,102,22
2016-11-01,12,247,1,2,0,1,2,0,20,19,155,118,15
2016-12-01,16,199,4,4,2,4,4,0,38,37,322,112,29
2017-01-01,10,117,1,2,0,4,4,0,22,14,174,85,12
2017-02-01,13,133,3,4,2,5,4,0,21,12,141,105,20
2017-03-01,17,183,5,5,2,9,9,0,38,34,377,114,22
2017-04-01,15,116,4,4,1,2,4,0,17,19,185,135,19
2017-05-01,15,153,3,1,0,0,0,0,10,12,119,146,23
2017-06-01,20,169,4,4,2,4,4,0,22,13,104,144,20
2017-07-01,15,128,2,2,0,4,3,0,25,19,149,91,14
2017-08-01,12,131,3,2,0,1,1,0,20,9,74,170,24
2017-09-01,10,129,0,1,0,0,0,0,13,8,90,163,24
2017-10-01,13,157,2,2,0,4,1,0,21,7,94,220,28
2017-11-01,20,128,9,5,2,7,7,0,35,32,302,131,22
2017-12-01,10,80,0,1,0,1,0,0,15,7,64,98,22
2018-01-01,11,98,2,3,0,1,3,0,20,14,87,304,48
2018-02-01,13,107,2,1,0,2,0,0,15,9,90,106,14
2018-03-01,13,163,1,1,0,0,2,0,14,15,107,99,9
2018-04-01,14,130,1,1,0,0,2,0,16,19,94,110,18
2018-05-01,14,185,3,3,1,3,2,0,25,25,193,184,19
2018-06-01,11,113,1,1,0,2,2,0,23,54,382,115,8
2018-07-01,14,69,3,1,0,0,0,0,25,16,155,101,14
2018-08-01,14,125,1,2,1,1,1,0,14,11,103,92,14
2018-09-01,15,136,4,3,1,1,2,0,12,10,41,101,13
2018-10-01,10,197,0,1,0,2,2,0,10,6,53,92,20
2018-11-01,12,165,2,1,0,1,0,0,8,8,82,110,11
2018-12-01,11,117,1,1,0,0,0,0,10,6,37,96,20
2019-01-01,10,93,0,1,0,2,0,0,19,8,92,133,16
2019-02-01,14,113,4,3,1,3,4,0,12,14,89,191,25
2019-03-01,13,141,3,1,0,1,1,0,8,4,32,138,19
2019-04-01,17,101,3,3,0,2,3,0,16,15,94,132,25
2019-05-01,15,111,3,2,1,2,2,0,16,12,59,124,21
2019-06-01,11,135,2,1,0,0,1,0,11,5,45,83,18
2019-07-01,12,119,1,1,0,0,0,0,11,7,62,141,16
2019-08-01,11,109,2,1,0,0,0,0,11,1,48,121,12
2019-09-01,12,125,2,1,0,1,0,0,16,3,45,94,15
2019-10-01,12,239,0,1,0,4,4,0,19,4,72,108,25
2019-11-01,14,169,2,2,0,5,3,0,21,24,133,116,25
2019-12-01,13,126,2,3,1,2,2,0,11,10,55,118,14
2020-01-01,13,169,2,1,0,0,0,0,10,6,53,97,20
2020-02-01,13,147,0,2,0,1,1,0,7,6,24,51,15
2020-03-01,19,273,5,4,1,11,13,0,19,21,205,123,13
2020-04-01,13,214,0,2,0,3,2,0,11,4,54,75,20
2020-05-01,14,156,2,5,2,4,6,0,16,13,106,122,18
2020-06-01,14,171,4,2,0,6,4,0,14,12,73,101,18
2020-07-01,18,106,2,4,0,8,8,0,12,11,92,87,14
2020-08-01,11,136,0,1,0,2,2,0,7,4,22,91,15
