dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-03-01,9,132,7,6,4,13,1,11,45,37,273,559,34
2016-04-01,8,27,6,4,2,7,0,8,25,17,156,98,11
2016-05-01,6,58,5,5,3,4,0,3,25,22,276,66,6
2016-06-01,4,24,2,3,1,2,0,3,24,14,115,61,10
2016-07-01,2,24,0,2,0,1,0,1,19,19,211,37,3
2016-08-01,3,19,1,2,0,2,0,2,27,7,106,35,3
2016-09-01,1,27,0,1,0,0,0,0,27,25,177,15,1
2016-10-01,2,29,1,2,1,6,1,4,31,20,129,20,7
2016-11-01,3,12,1,3,1,1,0,0,12,5,85,27,2
2016-12-01,4,35,1,4,0,0,0,1,12,4,67,17,4
2017-01-01,2,67,0,1,0,0,0,0,14,8,50,19,2
2017-02-01,3,7,2,3,1,1,0,1,15,5,46,10,1
2017-03-01,3,12,1,2,0,2,0,1,20,9,64,19,4
2017-04-01,3,5,1,3,0,1,0,1,12,5,42,14,3
2017-05-01,2,5,0,2,0,0,0,0,14,4,58,14,2
2017-06-01,2,24,0,2,0,2,0,1,11,13,54,20,4
2017-07-01,3,9,1,2,0,2,0,0,16,2,39,32,5
2017-08-01,1,6,0,1,0,0,0,2,5,2,23,7,1
2017-09-01,2,3,0,2,0,0,0,0,12,4,32,15,4
2017-10-01,3,11,2,3,1,3,0,3,14,6,51,28,4
2017-11-01,4,26,2,3,0,3,0,3,10,6,39,60,3
2017-12-01,2,2,1,2,0,1,0,1,6,1,10,24,5
2018-01-01,1,22,0,1,0,0,0,0,6,8,49,25,4
2018-02-01,1,1,0,1,0,1,0,0,12,5,43,13,6
2018-03-01,0,0,0,0,0,0,0,0,6,2,23,28,2
2018-04-01,2,54,0,2,0,0,0,0,8,14,69,85,7
2018-05-01,3,14,0,2,0,1,0,1,8,5,25,37,0
2018-06-01,2,7,1,2,0,2,1,1,6,3,42,18,6
2018-07-01,6,13,3,3,1,4,0,4,10,9,30,29,5
2018-08-01,2,15,0,2,0,1,0,1,15,8,70,25,4
2018-09-01,3,14,1,2,0,1,0,1,13,7,41,27,3
2018-10-01,3,7,1,3,1,2,0,1,7,3,20,42,9
2018-11-01,2,5,0,1,0,0,0,0,10,3,25,48,4
2018-12-01,1,4,0,1,0,0,0,0,3,1,4,28,7
2019-01-01,1,11,0,1,0,1,0,0,9,2,23,35,6
2019-02-01,2,20,1,2,1,1,0,0,6,1,32,34,2
2019-03-01,1,1,0,1,0,0,0,0,1,0,0,24,7
2019-04-01,0,0,0,0,0,0,0,0,4,1,7,21,2
2019-05-01,0,0,0,0,0,0,0,0,6,3,33,20,9
2019-06-01,5,18,2,3,1,3,0,2,11,9,35,40,3
2019-07-01,0,0,0,0,0,0,0,0,4,0,8,33,4
2019-08-01,2,3,2,2,0,1,0,0,5,1,12,29,7
2019-09-01,1,1,0,1,0,1,0,1,7,1,25,28,8
2019-10-01,1,5,0,1,0,0,1,0,7,15,56,33,4
2019-11-01,2,11,0,1,0,0,0,0,3,3,24,40,5
2019-12-01,1,2,0,1,0,0,0,0,3,3,12,68,5
2020-01-01,4,7,3,4,2,4,1,2,9,6,32,40,6
2020-02-01,3,6,1,2,0,1,2,2,4,7,20,17,7
2020-03-01,1,1,0,1,0,0,0,0,5,1,4,27,1
2020-04-01,2,5,1,2,0,1,0,1,6,8,42,34,8
2020-05-01,3,14,0,2,0,2,0,2,9,7,48,28,9
2020-06-01,4,15,0,2,0,4,0,2,10,7,52,44,4
2020-07-01,3,3,1,3,1,2,1,1,12,4,17,64,13
