dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-09-01,3,496,1,3,1,56,1,55,57,57,88,3,0
2015-10-01,8,411,5,4,1,99,7,86,124,103,902,0,0
2015-11-01,21,194,15,11,8,67,2,66,96,83,409,167,9
2015-12-01,10,183,8,6,2,38,2,36,67,57,319,12,7
2016-01-01,12,157,7,6,2,42,2,42,58,55,247,16,7
2016-02-01,8,244,2,4,1,69,1,65,104,82,341,33,4
2016-03-01,10,150,6,6,3,55,0,55,102,74,445,46,8
2016-04-01,10,139,3,5,1,59,7,50,95,68,351,17,4
2016-05-01,9,94,3,4,1,40,4,37,73,61,345,18,6
2016-06-01,7,40,3,4,1,19,2,18,34,26,165,23,8
2016-07-01,7,35,2,3,0,20,2,14,38,20,126,28,2
2016-08-01,14,232,6,6,3,91,6,85,155,129,748,29,5
2016-09-01,20,355,11,4,0,133,5,129,188,195,699,20,9
2016-10-01,16,82,6,6,2,38,2,38,74,62,314,28,9
2016-11-01,19,109,11,14,10,38,2,35,71,56,390,22,12
2016-12-01,12,51,4,6,3,26,5,17,46,32,214,11,5
2017-01-01,21,94,12,10,5,29,3,30,64,42,300,25,5
2017-02-01,22,137,10,13,4,36,9,25,74,53,301,29,6
2017-03-01,19,118,8,13,4,47,3,45,94,69,327,39,18
2017-04-01,22,147,13,15,8,67,1,56,130,100,551,35,16
2017-05-01,25,151,9,12,3,78,10,65,134,101,476,101,17
2017-06-01,22,71,10,11,1,55,8,55,103,113,498,42,16
2017-07-01,12,32,4,8,3,28,1,25,57,37,206,21,9
2017-08-01,18,83,8,10,3,56,11,44,77,70,219,34,10
2017-09-01,15,83,5,7,1,51,6,45,82,106,359,29,13
2017-10-01,29,106,14,11,2,57,9,49,78,83,290,33,13
2017-11-01,18,94,4,9,1,46,1,46,81,75,243,26,8
2017-12-01,17,69,5,8,2,39,4,32,73,59,248,25,6
2018-01-01,20,80,5,8,2,46,5,37,74,71,292,41,10
2018-02-01,18,227,2,10,1,134,9,110,247,179,477,81,12
2018-03-01,32,119,16,14,4,68,10,72,143,119,519,47,29
2018-04-01,24,94,11,13,4,44,3,49,96,88,328,65,9
2018-05-01,14,62,4,8,0,44,2,33,89,57,229,44,11
2018-06-01,11,76,4,5,0,37,7,38,81,92,423,41,12
2018-07-01,16,62,8,9,4,40,3,35,73,60,242,76,14
2018-08-01,20,78,5,10,2,36,11,37,82,83,353,40,8
2018-09-01,15,105,8,9,4,63,12,48,103,85,411,51,15
2018-10-01,18,93,5,9,2,58,10,44,98,92,317,43,18
2018-11-01,23,102,12,7,3,38,2,36,79,68,373,43,16
2018-12-01,11,52,3,6,1,29,2,21,55,37,175,32,12
2019-01-01,12,139,5,5,1,38,6,23,77,45,237,29,11
2019-02-01,13,197,4,4,0,36,11,32,70,110,376,44,11
2019-03-01,11,77,2,5,1,21,8,14,64,45,217,51,18
2019-04-01,14,218,6,7,4,50,7,43,92,86,235,74,18
2019-05-01,16,365,4,8,0,85,12,73,169,123,564,44,7
2019-06-01,14,170,6,9,3,36,9,33,73,259,1087,37,13
2019-07-01,21,229,6,12,0,58,6,55,107,102,543,28,9
2019-08-01,20,198,7,11,4,40,1,32,86,70,402,24,10
2019-09-01,20,167,5,12,2,39,5,37,101,81,474,27,16
2019-10-01,11,280,2,9,0,59,11,47,114,143,588,26,4
2019-11-01,13,159,4,8,1,28,3,31,89,78,334,24,5
2019-12-01,13,131,5,7,2,39,3,31,73,62,147,25,10
2020-01-01,13,127,5,10,3,33,4,30,60,53,180,22,7
2020-02-01,9,97,1,6,0,23,1,27,55,42,174,23,4
2020-03-01,7,35,2,4,1,12,2,10,30,20,80,20,7
2020-04-01,9,52,3,3,0,19,3,12,39,25,152,29,8
2020-05-01,11,116,3,3,0,23,3,17,54,93,305,23,8
2020-06-01,9,85,1,4,0,24,5,22,69,56,304,31,3
2020-07-01,10,54,4,6,2,24,6,15,47,30,200,17,6
2020-08-01,9,78,1,4,0,30,2,28,58,44,240,23,10
