dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-06-01,1,35,1,1,1,1,1,0,8,8,44,10,1
2016-07-01,1,11,0,1,0,0,0,0,9,8,100,17,3
2016-08-01,3,112,2,1,0,8,1,7,19,20,130,19,6
2016-09-01,2,17,1,1,0,1,0,1,11,11,80,14,2
2016-10-01,1,4,0,1,0,1,1,0,12,11,104,15,6
2016-11-01,4,16,3,3,2,5,1,4,7,7,34,24,6
2016-12-01,2,7,1,1,0,1,0,1,20,15,78,26,7
2017-01-01,6,30,5,4,3,9,1,8,24,24,172,34,14
2017-02-01,4,40,1,3,1,11,2,9,40,36,275,35,10
2017-03-01,5,11,2,3,1,7,2,5,28,15,122,43,6
2017-04-01,10,30,6,7,4,12,0,12,38,23,155,61,16
2017-05-01,3,26,1,1,0,10,1,9,18,10,28,57,7
2017-06-01,6,17,3,3,1,7,0,7,19,11,96,43,13
2017-07-01,5,11,3,3,1,5,0,5,24,19,109,46,14
2017-08-01,6,43,2,4,1,11,0,11,38,47,248,60,18
2017-09-01,7,14,3,4,1,6,0,6,34,27,241,51,15
2017-10-01,4,18,2,3,1,11,1,7,31,52,230,70,14
2017-11-01,1,1,1,1,1,1,0,0,10,5,50,61,9
2017-12-01,2,2,2,2,1,2,0,0,14,9,115,45,16
2018-01-01,2,2,2,1,0,3,0,0,16,1,31,42,11
2018-02-01,0,0,0,0,0,0,0,0,10,5,25,47,13
2018-03-01,0,0,0,0,0,1,0,0,17,4,27,70,14
2018-04-01,3,8,2,2,0,2,3,6,28,15,133,53,25
2018-05-01,3,5,2,3,1,3,0,1,16,7,105,52,11
2018-06-01,3,5,0,2,0,5,0,2,20,5,65,32,13
2018-07-01,3,5,2,2,0,8,0,0,20,5,56,49,11
2018-08-01,4,10,2,3,1,4,1,3,21,12,99,58,19
2018-09-01,3,8,3,1,0,4,0,0,11,4,30,36,13
2018-10-01,1,1,0,1,0,0,0,0,9,1,18,45,7
2018-11-01,2,4,0,2,0,1,1,1,16,11,69,42,10
2018-12-01,5,27,3,2,0,5,2,9,24,22,110,47,17
2019-01-01,3,18,0,2,0,0,0,1,18,25,115,71,15
2019-02-01,7,75,5,3,1,5,7,4,27,43,157,78,19
2019-03-01,4,12,2,2,0,2,0,1,24,6,39,75,19
2019-04-01,7,191,5,3,1,12,4,6,42,26,259,174,19
2019-05-01,11,75,8,6,3,12,9,6,44,34,213,92,22
2019-06-01,9,60,4,6,2,14,4,11,34,29,142,72,16
2019-07-01,8,66,4,4,0,14,3,10,38,194,749,81,20
2019-08-01,6,54,2,4,1,8,2,7,30,41,207,79,18
2019-09-01,7,34,4,5,2,8,1,6,37,25,132,78,18
2019-10-01,8,43,5,5,1,10,1,9,49,25,144,91,20
2019-11-01,4,19,2,4,1,4,1,1,32,19,126,68,11
2019-12-01,6,77,3,4,1,10,1,10,42,25,292,74,12
2020-01-01,3,17,0,3,0,4,0,4,26,50,252,63,14
2020-02-01,2,3,0,2,0,0,0,1,37,24,365,101,28
2020-03-01,1,1,0,1,0,1,0,0,22,21,118,80,18
2020-04-01,2,9,0,2,0,5,1,2,41,69,290,122,28
2020-05-01,1,2,0,1,0,2,1,0,24,15,84,121,21
2020-06-01,2,12,2,1,0,3,2,0,20,9,72,100,18
2020-07-01,2,4,0,2,0,5,0,2,55,23,89,189,36
