dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,1,17,1,1,1,0,0,0,14,5,29,1,0
2015-04-01,1,31,0,1,0,0,0,0,4,7,46,2,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,1,1,0,1,0,0,0,0,2,0,37,6,0
2015-09-01,1,11,0,1,0,0,0,0,4,3,15,5,0
2015-10-01,1,1,0,1,0,0,0,0,1,1,2,8,0
2015-11-01,1,7,0,1,0,0,0,0,1,2,9,0,1
2015-12-01,4,18,3,4,3,7,1,4,13,7,69,2,2
2016-01-01,2,34,0,2,0,0,0,1,13,13,74,0,0
2016-02-01,3,69,0,3,0,8,4,5,37,37,187,9,0
2016-03-01,2,13,0,2,0,3,0,3,9,7,22,4,0
2016-04-01,2,6,0,2,0,4,1,3,7,6,24,4,1
2016-05-01,2,3,0,2,0,13,5,1,16,6,25,5,0
2016-06-01,2,8,0,2,0,2,4,5,4,12,11,5,0
2016-07-01,2,19,0,2,0,15,4,11,16,15,0,4,0
2016-08-01,2,3,0,2,0,2,0,1,2,4,2,5,0
2016-09-01,2,13,0,2,0,3,2,1,12,7,48,4,0
2016-10-01,2,23,0,2,0,3,1,2,8,8,4,1,0
2016-11-01,2,32,1,2,1,9,3,7,13,12,33,0,0
2016-12-01,2,17,0,2,0,7,1,3,10,4,20,1,0
2017-01-01,2,20,0,2,0,8,0,11,9,12,37,2,0
2017-02-01,2,22,0,2,0,10,0,10,11,15,17,2,0
2017-03-01,2,27,0,2,0,14,2,12,22,21,72,3,1
2017-04-01,2,20,0,2,0,12,0,11,13,11,5,2,0
2017-05-01,3,19,1,3,1,6,0,7,16,14,107,6,3
2017-06-01,1,2,0,1,0,2,0,2,3,3,8,2,0
2017-07-01,2,9,1,2,1,4,0,4,9,13,78,4,1
2017-08-01,2,2,1,2,1,2,0,2,4,5,13,6,2
2017-09-01,1,21,0,1,0,4,0,4,12,12,84,6,1
2017-10-01,1,25,0,1,0,8,0,8,19,20,146,6,0
2017-11-01,4,80,3,3,2,12,0,7,18,11,146,9,3
2017-12-01,3,65,0,2,0,11,3,9,27,20,221,19,0
2018-01-01,3,34,1,3,1,4,0,2,15,5,77,22,1
2018-02-01,3,111,1,3,0,24,3,23,45,44,222,15,6
2018-03-01,3,73,0,2,0,19,2,18,27,27,104,30,6
2018-04-01,4,52,2,3,0,15,0,14,35,22,199,41,5
2018-05-01,1,46,0,1,0,11,0,12,19,22,57,19,4
2018-06-01,3,49,1,3,0,12,1,8,19,13,95,22,2
2018-07-01,3,58,1,3,0,19,0,19,39,34,131,13,2
2018-08-01,2,39,0,2,0,9,0,6,15,11,33,18,6
2018-09-01,3,71,0,3,0,12,4,11,35,34,286,25,6
2018-10-01,1,24,0,1,0,7,0,9,13,15,34,30,1
2018-11-01,2,25,0,2,0,11,0,11,18,16,58,27,1
2018-12-01,3,21,1,2,0,7,0,5,19,8,51,26,4
2019-01-01,4,37,2,3,1,13,1,13,26,22,134,19,9
2019-02-01,1,24,0,1,0,6,1,3,15,8,81,30,2
2019-03-01,3,37,1,2,0,8,1,9,15,14,60,41,2
2019-04-01,1,38,0,1,0,8,1,7,13,13,65,23,3
2019-05-01,1,6,0,1,0,4,0,1,8,2,19,22,1
2019-06-01,2,11,0,2,0,1,1,3,3,5,17,30,4
2019-07-01,3,19,2,3,1,11,0,5,17,8,64,20,2
2019-08-01,3,7,0,2,0,3,0,4,6,6,16,18,5
2019-09-01,2,32,0,2,0,7,0,6,18,8,23,25,4
2019-10-01,4,32,2,3,0,20,1,19,40,39,160,18,2
2019-11-01,2,6,0,2,0,6,0,3,13,5,26,26,3
2019-12-01,3,23,0,3,0,11,0,13,15,27,43,19,6
2020-01-01,0,0,0,0,0,0,0,0,3,0,5,23,0
2020-02-01,1,7,0,1,0,5,0,3,9,3,6,26,3
2020-03-01,2,6,1,2,1,1,0,0,5,1,12,17,4
2020-04-01,3,31,1,3,1,5,6,6,16,30,119,45,3
2020-05-01,4,21,2,4,1,9,0,8,18,15,79,28,7
2020-06-01,3,13,1,3,0,8,1,6,15,12,64,34,8
2020-07-01,2,15,0,2,0,5,1,6,8,14,88,32,10
2020-08-01,1,1,1,1,0,1,0,1,3,3,6,30,6
